"Table_name","Variable","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Codebook_table"
"BPX_J","SEQN","SEQN","Respondent sequence number","Respondent sequence number.","Both males and females 0 YEARS - 150 YEARS",NA,NA
"BPX_J","PEASCCT1","PEASCCT1","Blood Pressure Comment","Blood Pressure Comment","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""4"", "".""]; Value.Description=[""Safety exclusion"", ""SP refusal"", ""Time constraints"", ""Other"", ""Missing""]; Count=[""0"", ""34"", ""317"", ""93"", ""8260""]; Cumulative=[""0"", ""34"", ""351"", ""444"", ""8704""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"BPX_J","BPXCHR","BPXCHR","60 sec HR (30 sec HR * 2)","60 sec HR (30 sec HR * 2)","Both males and females 0 YEARS - 7 YEARS",NA,"Code.or.Value=[""60 to 180"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""1539"", ""7165""]; Cumulative=[""1539"", ""8704""]; Skip.to.Item=[""NA"", ""NA""]"
"BPX_J","BPAARM","BPAARM","Arm selected","Arm selected:","Both males and females 8 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""8"", "".""]; Value.Description=[""Right"", ""Left"", ""Could not obtain"", ""Missing""]; Count=[""6784"", ""33"", ""0"", ""1887""]; Cumulative=[""6784"", ""6817"", ""6817"", ""8704""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
"BPX_J","BPACSZ","BPACSZ","Coded cuff size","Cuff size (cm) (width X length)","Both males and females 8 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""4"", ""5"", "".""]; Value.Description=[""Infant (6X12)"", ""Child (9X17)"", ""Adult (12X22)"", ""Large (15X32)"", ""Thigh (18X35)"", ""Missing""]; Count=[""0"", ""408"", ""2245"", ""3123"", ""1036"", ""1892""]; Cumulative=[""0"", ""408"", ""2653"", ""5776"", ""6812"", ""8704""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"BPX_J","BPXPLS","BPXPLS","60 sec. pulse (30 sec. pulse * 2)","60 sec. pulse (30 sec. pulse * 2)","Both males and females 8 YEARS - 150 YEARS",NA,"Code.or.Value=[""34 to 136"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""6742"", ""1962""]; Cumulative=[""6742"", ""8704""]; Skip.to.Item=[""NA"", ""NA""]"
"BPX_J","BPXPULS","BPXPULS","Pulse regular or irregular?","Pulse regular or irregular?","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", "".""]; Value.Description=[""Regular"", ""Irregular"", ""Missing""]; Count=[""8054"", ""227"", ""423""]; Cumulative=[""8054"", ""8281"", ""8704""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"BPX_J","BPXPTY","BPXPTY","Pulse type","Pulse type","Both males and females 8 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""8"", "".""]; Value.Description=[""Radial"", ""Brachial"", ""Could not obtain"", ""Missing""]; Count=[""6706"", ""36"", ""0"", ""1962""]; Cumulative=[""6706"", ""6742"", ""6742"", ""8704""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
"BPX_J","BPXML1","BPXML1","MIL: maximum inflation levels (mm Hg)","MIL: maximum inflation levels (mm Hg)","Both males and females 8 YEARS - 150 YEARS",NA,"Code.or.Value=[""100 to 260"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""6731"", ""1973""]; Cumulative=[""6731"", ""8704""]; Skip.to.Item=[""NA"", ""NA""]"
"BPX_J","BPXSY1","BPXSY1","Systolic: Blood pres (1st rdg) mm Hg","Systolic: Blood pressure (first reading) mm Hg","Both males and females 8 YEARS - 150 YEARS",NA,"Code.or.Value=[""72 to 228"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""6302"", ""2402""]; Cumulative=[""6302"", ""8704""]; Skip.to.Item=[""NA"", ""NA""]"
"BPX_J","BPXDI1","BPXDI1","Diastolic: Blood pres (1st rdg) mm Hg","Diastolic: Blood pressure (first reading) mm Hg","Both males and females 8 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 136"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""6302"", ""2402""]; Cumulative=[""6302"", ""8704""]; Skip.to.Item=[""NA"", ""NA""]"
"BPX_J","BPAEN1","BPAEN1","Enhancement used first reading","Enhancement used first reading","Both males and females 8 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""8"", "".""]; Value.Description=[""Yes"", ""No"", ""Could not obtain"", ""Missing""]; Count=[""2"", ""6300"", ""0"", ""2402""]; Cumulative=[""2"", ""6302"", ""6302"", ""8704""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
