"Tabela","Variavel","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Tabela_Valores"
"DXX_I","SEQN","SEQN","Respondent sequence number","Respondent sequence number","Both males and females 8 YEARS - 59 YEARS",NA,NA
"DXX_I","DXALABV","DXALABV","Left Arm Bone Invalidity Code","Left Arm Bone Invalidity Code","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""0"", ""1"", ""4"", ""5"", ""6"", ""7"", "".""]; Value.Description=[""Valid data"", ""Removable or non-removable objects"", ""Arm/leg overlap"", ""Body parts out of scan region"", ""Positioning problem"", ""Other"", ""Missing""]; Count=[""4977"", ""59"", ""42"", ""17"", ""16"", ""1"", ""668""]; Cumulative=[""4977"", ""5036"", ""5078"", ""5095"", ""5111"", ""5112"", ""5780""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"DXX_I","DXXLAA","DXXLAA","Left Arm Area (cm^2)","Left Arm Area (cm^2)","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""70.75 to 404.91"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4977"", ""803""]; Cumulative=[""4977"", ""5780""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_I","DXXLABMC","DXXLABMC","Left Arm BMC (g)","Left Arm Body Mineral Content (grams)","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""28.88 to 392.03"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4977"", ""803""]; Cumulative=[""4977"", ""5780""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_I","DXXLABMD","DXXLABMD","Left Arm BMD (g/cm^2)","Left Arm Body Mineral Density (grams/cm^2)","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""0.34 to 1.361"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4977"", ""803""]; Cumulative=[""4977"", ""5780""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_I","DXALATV","DXALATV","Left Arm Tissue Invalidity Code","Left Arm Tissue Invalidity Code","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""0"", ""1"", ""4"", ""5"", ""6"", ""7"", "".""]; Value.Description=[""Valid data"", ""Removable or non-removable objects"", ""Arm/leg overlap"", ""Body parts out of scan region"", ""Positioning problem"", ""Other"", ""Missing""]; Count=[""4985"", ""61"", ""29"", ""20"", ""16"", ""1"", ""668""]; Cumulative=[""4985"", ""5046"", ""5075"", ""5095"", ""5111"", ""5112"", ""5780""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"DXX_I","DXXLAFAT","DXXLAFAT","Left Arm Fat (g)","Left Arm Fat (grams)","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""169.4 to 7409.4"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4985"", ""795""]; Cumulative=[""4985"", ""5780""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_I","DXDLALE","DXDLALE","Left Arm Lean excl BMC (g)","Left Arm Lean excl Body Mineral Content (grams)","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""585.6 to 8611.3"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4985"", ""795""]; Cumulative=[""4985"", ""5780""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_I","DXXLALI","DXXLALI","Left Arm Lean incl BMC (g)","Left Arm Lean incl BMC (grams)","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""614.5 to 8907.6"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4977"", ""803""]; Cumulative=[""4977"", ""5780""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_I","DXDLATOT","DXDLATOT","Left Arm Total (g)","Left Arm Total (grams)","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""925.3 to 13308.5"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4955"", ""825""]; Cumulative=[""4955"", ""5780""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_I","DXDLAPF","DXDLAPF","Left Arm Percent Fat","Left Arm Percent Fat","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""10.7 to 67.2"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4985"", ""795""]; Cumulative=[""4985"", ""5780""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_I","DXALLBV","DXALLBV","Left Leg Bone Invalidity Code","Left Leg Bone Invalidity Code","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""0"", ""1"", ""4"", ""5"", ""6"", ""7"", "".""]; Value.Description=[""Valid data"", ""Removable or non-removable objects"", ""Arm/leg overlap"", ""Body parts out of scan region"", ""Positioning problem"", ""Other"", ""Missing""]; Count=[""4862"", ""70"", ""73"", ""84"", ""22"", ""1"", ""668""]; Cumulative=[""4862"", ""4932"", ""5005"", ""5089"", ""5111"", ""5112"", ""5780""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"DXX_I","DXXLLA","DXXLLA","Left Leg Area (cm^2)","Left Leg Area(cm^2)","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""159.13 to 529.65"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4862"", ""918""]; Cumulative=[""4862"", ""5780""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_I","DXXLLBMC","DXXLLBMC","Left Leg BMC (g)","Left Leg Bone Mineral Content (grams)","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""87.05 to 985.58"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4862"", ""918""]; Cumulative=[""4862"", ""5780""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_I","DXXLLBMD","DXXLLBMD","Left Leg BMD (g/cm^2)","Left Leg Bone Mineral Density (grams/cm^2)","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""0.499 to 2.904"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4862"", ""918""]; Cumulative=[""4862"", ""5780""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_I","DXALLTV","DXALLTV","Left Leg Tissue Invalidity Code","Left Leg Tissue Invalidity Code","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""1"", ""4"", ""5"", ""6"", ""7"", ""."", ""0""]; Value.Description=[""Removable or non-removable objects"", ""Arm/leg overlap"", ""Body parts out of scan region"", ""Positioning problem"", ""Other"", ""Missing"", ""Valid data""]; Count=[""71"", ""60"", ""93"", ""22"", ""1"", ""668"", ""4865""]; Cumulative=[""4936"", ""4996"", ""5089"", ""5111"", ""5112"", ""5780"", ""4865""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"DXX_I","DXXLLFAT","DXXLLFAT","Left Leg Fat (g)","Left Leg Fat (grams)","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""618.8 to 16741.6"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4865"", ""915""]; Cumulative=[""4865"", ""5780""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_I","DXDLLLE","DXDLLLE","Left Leg Lean excl BMC (g)","Left Leg Lean excl Bone Mineral Content (grams)","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""1431.2 to 18663.2"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4865"", ""915""]; Cumulative=[""4865"", ""5780""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_I","DXXLLLI","DXXLLLI","Left Leg Lean incl BMC (g)","Left Leg Lean incl Bone Mineral Content (grams)","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""1518.2 to 19301.1"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4862"", ""918""]; Cumulative=[""4862"", ""5780""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_I","DXDLLTOT","DXDLLTOT","Left Leg Total (g)","Left Leg Total (grams)","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""2745.8 to 31334.9"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4836"", ""944""]; Cumulative=[""4836"", ""5780""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_I","DXDLLPF","DXDLLPF","Left Leg Percent Fat","Left Leg Percent Fat","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""10.3 to 61"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4865"", ""915""]; Cumulative=[""4865"", ""5780""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_I","DXARABV","DXARABV","Right Arm Bone Invalidity Code","Right Arm Bone Invalidity Code","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""0"", ""1"", ""4"", ""5"", ""6"", ""7"", "".""]; Value.Description=[""Valid data"", ""Removable or non-removable objects"", ""Arm/leg overlap"", ""Body parts out of scan region"", ""Positioning problem"", ""Other"", ""Missing""]; Count=[""4973"", ""50"", ""51"", ""22"", ""15"", ""1"", ""668""]; Cumulative=[""4973"", ""5023"", ""5074"", ""5096"", ""5111"", ""5112"", ""5780""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"DXX_I","DXXRAA","DXXRAA","Right Arm Area (cm^2)","Right Arm Area (cm^2)","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""81.95 to 404.91"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4973"", ""807""]; Cumulative=[""4973"", ""5780""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_I","DXXRABMC","DXXRABMC","Right Arm BMC (g)","Right Arm Bone Mineral Content (grams)","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""30.18 to 414.16"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4973"", ""807""]; Cumulative=[""4973"", ""5780""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_I","DXXRABMD","DXXRABMD","Right Arm BMD (g/cm^2)","Right Arm Bone Mineral Density (grams/cm^2)","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""0.318 to 1.264"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4973"", ""807""]; Cumulative=[""4973"", ""5780""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_I","DXARATV","DXARATV","Right Arm Tissue Invalidity Code","Right Arm Tissue Invalidity Code","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""0"", ""1"", ""4"", ""5"", ""6"", ""7"", "".""]; Value.Description=[""Valid data"", ""Removable or non-removable objects"", ""Arm/leg overlap"", ""Body parts out of scan region"", ""Positioning problem"", ""Other"", ""Missing""]; Count=[""4961"", ""51"", ""60"", ""24"", ""15"", ""1"", ""668""]; Cumulative=[""4961"", ""5012"", ""5072"", ""5096"", ""5111"", ""5112"", ""5780""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
