"Tabela","Variavel","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Tabela_Valores"
"DXX_I","SEQN","SEQN","Respondent sequence number","Respondent sequence number","Both males and females 8 YEARS - 59 YEARS",NA,NA
"DXX_I","DXXPEA","DXXPEA","Pelvis Area (cm^2)","Pelvis Area (cm^2)","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""69.76 to 358.94"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4946"", ""834""]; Cumulative=[""4946"", ""5780""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_I","DXXPEBMC","DXXPEBMC","Pelvis BMC (g)","Pelvis Bone Mineral Content (grams)","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""48.66 to 629.44"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4946"", ""834""]; Cumulative=[""4946"", ""5780""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_I","DXXPEBMD","DXXPEBMD","Pelvis BMD (g/cm^2)","Pelvis Bone Mineral Density (grams/cm^2)","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""0.49 to 2.127"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4946"", ""834""]; Cumulative=[""4946"", ""5780""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_I","DXATRBV","DXATRBV","Trunk Bone Invalidity Code","Trunk Bone Invalidity Code","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""5"", ""6"", ""7"", ""."", ""0"", ""1"", ""3"", ""4""]; Value.Description=[""Body parts out of scan region"", ""Positioning problem"", ""Other"", ""Missing"", ""Valid data"", ""Removable or non-removable objects"", ""Excessive x-ray noise due to morbid obesity"", ""Arm/leg overlap""]; Count=[""0"", ""1"", ""1"", ""668"", ""4946"", ""162"", ""0"", ""2""]; Cumulative=[""5110"", ""5111"", ""5112"", ""5780"", ""4946"", ""5108"", ""5108"", ""5110""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"DXX_I","DXDTRA","DXDTRA","Trunk Bone area (cm^2)","Trunk Bone area (cm^2)","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""286.83 to 996.25"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4946"", ""834""]; Cumulative=[""4946"", ""5780""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_I","DXDTRBMC","DXDTRBMC","Trunk BMC (g)","Trunk Bone Mineral Content (grams)","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""121.37 to 1266.25"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4946"", ""834""]; Cumulative=[""4946"", ""5780""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_I","DXDTRBMD","DXDTRBMD","Trunk Bone BMD (g/cm^2)","Trunk Bone BMD (g/cm^2)","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""0.418 to 1.389"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4946"", ""834""]; Cumulative=[""4946"", ""5780""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_I","DXATRTV","DXATRTV","Trunk Tissue Invalidity Code","Trunk Tissue Invalidity Code","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""0"", ""1"", ""3"", ""4"", ""5"", ""6"", ""7"", "".""]; Value.Description=[""Valid data"", ""Removable or non-removable objects"", ""Excessive x-ray noise due to morbid obesity"", ""Arm/leg overlap"", ""Body parts out of scan region"", ""Positioning problem"", ""Other"", ""Missing""]; Count=[""4939"", ""163"", ""0"", ""3"", ""5"", ""1"", ""1"", ""668""]; Cumulative=[""4939"", ""5102"", ""5102"", ""5105"", ""5110"", ""5111"", ""5112"", ""5780""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"DXX_I","DXXTRFAT","DXXTRFAT","Trunk Fat (g)","Trunk Fat (grams)","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""980.2 to 47828"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4939"", ""841""]; Cumulative=[""4939"", ""5780""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_I","DXDTRLE","DXDTRLE","Trunk Lean excl BMC (g)","Trunk Lean excl Bone Mineral Content (grams)","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""5327.8 to 51338.2"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4939"", ""841""]; Cumulative=[""4939"", ""5780""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_I","DXXTRLI","DXXTRLI","Trunk Lean incl BMC (g)","Trunk Lean incl Bone Mineral Content (grams)","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""5455.3 to 54681.1"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4946"", ""834""]; Cumulative=[""4946"", ""5780""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_I","DXDTRTOT","DXDTRTOT","Trunk Total (g)","Trunk Total (grams)","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""7011.8 to 91081.5"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4938"", ""842""]; Cumulative=[""4938"", ""5780""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_I","DXDTRPF","DXDTRPF","Trunk Percent Fat","Trunk Percent Fat","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""9.9 to 55"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4939"", ""841""]; Cumulative=[""4939"", ""5780""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_I","DXDSTA","DXDSTA","Subtotal Area (cm^2)","Subtotal Area (cm^2)","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""813.34 to 2677.65"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4602"", ""1178""]; Cumulative=[""4602"", ""5780""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_I","DXDSTBMC","DXDSTBMC","Subtotal BMC (g)","Subtotal Bone Mineral Content (grams)","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""364.96 to 3575.34"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4602"", ""1178""]; Cumulative=[""4602"", ""5780""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_I","DXDSTBMD","DXDSTBMD","Subtotal BMD (g/cm^2)","Subtotal Bone Mineral Density (grams/cm^2)","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""0.427 to 1.375"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4602"", ""1178""]; Cumulative=[""4602"", ""5780""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_I","DXDSTFAT","DXDSTFAT","Subtotal Fat (g)","Subtotal Fat (g)","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""2506.7 to 76324.7"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4708"", ""1072""]; Cumulative=[""4708"", ""5780""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_I","DXDSTLE","DXDSTLE","Subtotal Lean excl BMC (g)","Subtotal Lean excl BMC (g)","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""9407.6 to 104152.2"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4708"", ""1072""]; Cumulative=[""4708"", ""5780""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_I","DXDSTLI","DXDSTLI","Subtotal Lean incl BMC (g)","Subtotal Lean incl BMC (g)","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""9772.6 to 107268.4"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4586"", ""1194""]; Cumulative=[""4586"", ""5780""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_I","DXDSTTOT","DXDSTTOT","Subtotal (Total excl Head) (g)","Subtotal (Total excl Head) (g)","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""14904.4 to 172671.1"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4708"", ""1072""]; Cumulative=[""4708"", ""5780""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_I","DXDSTPF","DXDSTPF","Subtotal Percent Fat","Subtotal Percent Fat","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""10.8 to 55.9"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4708"", ""1072""]; Cumulative=[""4708"", ""5780""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_I","DXDTOA","DXDTOA","Total Area (cm^2)","Total Area (cm^2)","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""1010.92 to 2904.16"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4613"", ""1167""]; Cumulative=[""4613"", ""5780""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_I","DXDTOBMC","DXDTOBMC","Total Bone Mineral Content (g)","Total Bone Mineral Content (g)","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""582.91 to 4356.01"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4613"", ""1167""]; Cumulative=[""4613"", ""5780""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_I","DXDTOBMD","DXDTOBMD","Total Bone Mineral Density (g/cm^2)","Total Bone Mineral Density (g/cm^2)","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""0.55 to 1.518"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4613"", ""1167""]; Cumulative=[""4613"", ""5780""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_I","DXDTOFAT","DXDTOFAT","Total Fat (g)","Total Fat (g)","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""3197.1 to 77483.6"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4598"", ""1182""]; Cumulative=[""4598"", ""5780""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_I","DXDTOLE","DXDTOLE","Total Lean excl BMC (g)","Total Lean excl BMC (g)","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""11594.7 to 107867.8"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4708"", ""1072""]; Cumulative=[""4708"", ""5780""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_I","DXDTOLI","DXDTOLI","Total Lean incl BMC (g)","Total Lean incl BMC (g)","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""12177.6 to 111462.9"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4598"", ""1182""]; Cumulative=[""4598"", ""5780""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_I","DXDTOTOT","DXDTOTOT","Total Lean+Fat (g)","Total Lean+Fat(g)","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""17913.4 to 178619.1"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4598"", ""1182""]; Cumulative=[""4598"", ""5780""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_I","DXDTOPF","DXDTOPF","Total Percent Fat","Total Percent Fat","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""11.7 to 54.7"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4598"", ""1182""]; Cumulative=[""4598"", ""5780""]; Skip.to.Item=[""NA"", ""NA""]"
