"Table_name","Variable","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Codebook_table"
"DXXT12_H","SEQN","SEQN","Sequence number","Sequence number","Both males and females 40 YEARS - 150 YEARS",NA,NA
"DXXT12_H","DXDLSPST","DXDLSPST","IVA lateral spine scan status","IVA lateral spine scan status","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""4"", ""5"", "".""]; Value.Description=[""IVA Lateral Spine scan completed, all vertebra are valid"", ""IVA Lateral Spine scan completed, but one or more vertebrae are invalid"", ""IVA Lateral Spine not scanned, pregnancy"", ""IVA Lateral Spine not scanned, weight > 450 lbs"", ""IVA Lateral Spine not scanned, other reason"", ""Missing""]; Count=[""2875"", ""455"", ""3"", ""1"", ""374"", ""0""]; Cumulative=[""2875"", ""3330"", ""3333"", ""3334"", ""3708"", ""3708""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"DXXT12_H","DXXT12CC","DXXT12CC","T12 fracture invalidity code","T12 fracture invalidity code","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", ""3"", ""4"", ""5"", ""6"", "".""]; Value.Description=[""Valid data"", ""Removable or non-removable objects"", ""Excessive x-ray noise due to morbid obesity"", ""Insufficient scan area"", ""Movement"", ""Other (degenerative diseases, spinal fusion, fractures)"", ""Missing""]; Count=[""3291"", ""1"", ""17"", ""1"", ""1"", ""19"", ""378""]; Cumulative=[""3291"", ""3292"", ""3309"", ""3310"", ""3311"", ""3330"", ""3708""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"DXXT12_H","DXXINITX","DXXINITX","x-coordinate used as center point","x-coordinate used as center point","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""104.8 to 385.7"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3295"", ""413""]; Cumulative=[""3295"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT12_H","DXXINITY","DXXINITY","y-coordinate used as center point","y-coordinate used as center point","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""356.7 to 993.2"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3295"", ""413""]; Cumulative=[""3295"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT12_H","DXXANIDX","DXXANIDX","Number of vertebra","Num of the vertebra from 0 (T4) to 12 (L4)","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""8"", "".""]; Value.Description=[""8"", ""Missing""]; Count=[""3295"", ""413""]; Cumulative=[""3295"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT12_H","DXXLABEL","DXXLABEL","Label of the vertebra (T4 to L4)","Label of the vertebra (T4 to L4)","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""T12"", ""< blank >""]; Value.Description=[""T12"", ""Missing""]; Count=[""3295"", ""413""]; Cumulative=[""3295"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT12_H","DXXSQSCR","DXXSQSCR","Genant SQ score","Genant semi-quantitative score","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 3"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3293"", ""415""]; Cumulative=[""3293"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT12_H","DXXPOSTH","DXXPOSTH","Posterior height of the vertebra","Posterior height of the vertebra","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""46.8 to 91.4"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3295"", ""413""]; Cumulative=[""3295"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT12_H","DXXANTEH","DXXANTEH","Anterior height of the vertebra","Anterior height of the vertebra","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""26.8 to 85"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3295"", ""413""]; Cumulative=[""3295"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT12_H","DXXMIDH","DXXMIDH","Middle height of the vertebra","Middle height of the vertebra","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""24.5 to 81.3"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3295"", ""413""]; Cumulative=[""3295"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT12_H","DXXWDGRT","DXXWDGRT","Amount of wedge","Amount of wedge","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.4 to 1.1"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3295"", ""413""]; Cumulative=[""3295"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
