"Table_name","Variable","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Codebook_table"
"MGX_H","SEQN","SEQN","Respondent sequence number","Respondent sequence number.","Both males and females 6 YEARS - 150 YEARS",NA,NA
"MGX_H","MGDEXSTS","MGDEXSTS","Grip test status","Grip test status","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", "".""]; Value.Description=[""Completed test on both hands"", ""Completed test on only one hand"", ""Did not perform test"", ""Missing""]; Count=[""7677"", ""130"", ""484"", ""0""]; Cumulative=[""7677"", ""7807"", ""8291"", ""8291""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
"MGX_H","MGD050","MGD050","Ever had surgery on hands or wrists","Have you ever had surgery on your hands or wrists for  arthritis or carpal tunnel syndrome?","Both males and females 20 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""192"", ""5016"", ""0"", ""3"", ""3080""]; Cumulative=[""192"", ""5208"", ""5208"", ""5211"", ""8291""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"MGX_H","MGD060","MGD060","Which hand or wrist had surgery","Which hand or wrist was the surgery on?","Both males and females 20 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""7"", ""9"", "".""]; Value.Description=[""Right hand/wrist"", ""Left hand/wrist"", ""Both hands/wrists"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""70"", ""42"", ""78"", ""0"", ""2"", ""8099""]; Cumulative=[""70"", ""112"", ""190"", ""190"", ""192"", ""8291""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"MGX_H","MGQ070","MGQ070","Recent pain/aching/stiffness-right hand","Have you had any pain aching or stiffness in your right hand  in the past 7 days?","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""941"", ""6805"", ""0"", ""5"", ""540""]; Cumulative=[""941"", ""7746"", ""7746"", ""7751"", ""8291""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"MGX_H","MGQ080","MGQ080","Cause of recent pain in right hand","Is the pain aching or stiffness in your right hand caused by  arthritis tendonitis or carpal tunnel syndrome?","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""501"", ""196"", ""0"", ""244"", ""7350""]; Cumulative=[""501"", ""697"", ""697"", ""941"", ""8291""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"MGX_H","MGQ090","MGQ090","Pain in right hand gotten worse recently","Has the pain aching or stiffness in your right hand gotten  worse in the past 7 days?","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""110"", ""828"", ""0"", ""3"", ""7350""]; Cumulative=[""110"", ""938"", ""938"", ""941"", ""8291""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"MGX_H","MGQ100","MGQ100","Recent pain/aching/stiffness-left hand","Have you had any pain aching or stiffness in your left hand  in the past 7 days?","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""755"", ""6989"", ""2"", ""6"", ""539""]; Cumulative=[""755"", ""7744"", ""7746"", ""7752"", ""8291""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"MGX_H","MGQ110","MGQ110","Cause of recent pain in left hand","Is the pain aching or stiffness in your left hand caused by  arthritis tendonitis or carpal tunnel syndrome?","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""423"", ""164"", ""0"", ""168"", ""7536""]; Cumulative=[""423"", ""587"", ""587"", ""755"", ""8291""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"MGX_H","MGQ120","MGQ120","Pain in left hand gotten worse recently","Has the pain aching or stiffness in your left hand gotten  worse in the past 7 days?","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""112"", ""643"", ""0"", ""0"", ""7536""]; Cumulative=[""112"", ""755"", ""755"", ""755"", ""8291""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"MGX_H","MGD130","MGD130","Dominant hand","Are you right-handed left-handed or do you use both hands  equally?","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""7"", ""9"", "".""]; Value.Description=[""Right-handed"", ""Left-handed"", ""Use both hands equally"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""6916"", ""670"", ""221"", ""0"", ""0"", ""484""]; Cumulative=[""6916"", ""7586"", ""7807"", ""7807"", ""7807"", ""8291""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"MGX_H","MGQ90DG","MGQ90DG","90 degree angle with index finger","Was the participant able to achieve a 90 degree angle with  the index finger on the eligible hand(s)?","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""4"", "".""]; Value.Description=[""Yes"", ""No - Not right hand"", ""No - Not left hand"", ""No - Not either hand"", ""Missing""]; Count=[""7750"", ""24"", ""14"", ""19"", ""484""]; Cumulative=[""7750"", ""7774"", ""7788"", ""7807"", ""8291""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
