"Table_name","Variable","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Codebook_table"
"DXXT11_H","SEQN","SEQN","Sequence number","Sequence number","Both males and females 40 YEARS - 150 YEARS",NA,NA
"DXXT11_H","DXDLSPST","DXDLSPST","IVA lateral spine scan status","IVA lateral spine scan status","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""4"", ""5"", "".""]; Value.Description=[""IVA Lateral Spine scan completed, all vertebra are valid"", ""IVA Lateral Spine scan completed, but one or more vertebrae are invalid"", ""IVA Lateral Spine not scanned, pregnancy"", ""IVA Lateral Spine not scanned, weight > 450 lbs"", ""IVA Lateral Spine not scanned, other reason"", ""Missing""]; Count=[""2875"", ""455"", ""3"", ""1"", ""374"", ""0""]; Cumulative=[""2875"", ""3330"", ""3333"", ""3334"", ""3708"", ""3708""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"DXXT11_H","DXXT11CC","DXXT11CC","T11 fracture invalidity code","T11 fracture invalidity code","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", ""3"", ""4"", ""5"", ""6"", "".""]; Value.Description=[""Valid data"", ""Removable or non-removable objects"", ""Excessive x-ray noise due to morbid obesity"", ""Insufficient scan area"", ""Movement"", ""Other (degenerative diseases, spinal fusion, fractures)"", ""Missing""]; Count=[""3298"", ""0"", ""12"", ""0"", ""0"", ""20"", ""378""]; Cumulative=[""3298"", ""3298"", ""3310"", ""3310"", ""3310"", ""3330"", ""3708""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"DXXT11_H","DXXINITX","DXXINITX","x-coordinate used as center point","x-coordinate used as center point","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""88.5 to 361.1"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3300"", ""408""]; Cumulative=[""3300"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT11_H","DXXINITY","DXXINITY","y-coordinate used as center point","y-coordinate used as center point","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""280.6 to 921.3"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3300"", ""408""]; Cumulative=[""3300"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT11_H","DXXANIDX","DXXANIDX","Number of vertebra","Num of the vertebra from 0 (T4) to 12 (L4)","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""7"", "".""]; Value.Description=[""7"", ""Missing""]; Count=[""3300"", ""408""]; Cumulative=[""3300"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT11_H","DXXLABEL","DXXLABEL","Label of the vertebra (T4 to L4)","Label of the vertebra (T4 to L4)","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""T11"", ""< blank >""]; Value.Description=[""T11"", ""Missing""]; Count=[""3300"", ""408""]; Cumulative=[""3300"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT11_H","DXXSQSCR","DXXSQSCR","Genant SQ score","Genant semi-quantitative score","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 3"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3298"", ""410""]; Cumulative=[""3298"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT11_H","DXXPOSTH","DXXPOSTH","Posterior height of the vertebra","Posterior height of the vertebra","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""45.8 to 86.9"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3300"", ""408""]; Cumulative=[""3300"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT11_H","DXXANTEH","DXXANTEH","Anterior height of the vertebra","Anterior height of the vertebra","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""28.3 to 78.4"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3300"", ""408""]; Cumulative=[""3300"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT11_H","DXXMIDH","DXXMIDH","Middle height of the vertebra","Middle height of the vertebra","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""33.7 to 76.2"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3300"", ""408""]; Cumulative=[""3300"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT11_H","DXXWDGRT","DXXWDGRT","Amount of wedge","Amount of wedge","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.6 to 1.1"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3300"", ""408""]; Cumulative=[""3300"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
