"Table_name","Variable","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Codebook_table"
"DXXSPN_H","SEQN","SEQN","Respondent sequence number","Respondent sequence number.","Both males and females 40 YEARS - 150 YEARS",NA,NA
"DXXSPN_H","DXASPNST","DXASPNST","Spine scan status","Spine scan status","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""4"", ""5"", "".""]; Value.Description=[""Spine scan completed, all vertebrae are valid"", ""Spine scan completed, but one or more vertebrae are invalid"", ""Spine not scanned, pregnancy"", ""Spine not scanned, weight > 450 lbs"", ""Spine not scanned, other reason"", ""Missing""]; Count=[""2135"", ""1209"", ""3"", ""1"", ""360"", ""0""]; Cumulative=[""2135"", ""3344"", ""3347"", ""3348"", ""3708"", ""3708""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"DXXSPN_H","DXXOSBCC","DXXOSBCC","Total spine BMD invalidity code","Total spine BMD invalidity code","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", "".""]; Value.Description=[""Valid data"", ""Invalid data"", ""Missing""]; Count=[""2135"", ""1209"", ""364""]; Cumulative=[""2135"", ""3344"", ""3708""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"DXXSPN_H","DXXL1BCC","DXXL1BCC","L1 BMD invalidity code","L1 BMD invalidity code","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", ""3"", ""4"", ""5"", ""6"", "".""]; Value.Description=[""Valid data"", ""Removable or non-removable objects"", ""Excessive x-ray noise due to morbid obesity"", ""Insufficient scan area"", ""Movement"", ""Other (degenerative diseases, spinal fusion, fractures)"", ""Missing""]; Count=[""3063"", ""26"", ""0"", ""3"", ""0"", ""252"", ""364""]; Cumulative=[""3063"", ""3089"", ""3089"", ""3092"", ""3092"", ""3344"", ""3708""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"DXXSPN_H","DXXL2BCC","DXXL2BCC","L2 BMD invalidity code","L2 BMD invalidity code","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", ""3"", ""4"", ""5"", ""6"", "".""]; Value.Description=[""Valid data"", ""Removable or non-removable objects"", ""Excessive x-ray noise due to morbid obesity"", ""Insufficient scan area"", ""Movement"", ""Other (degenerative diseases, spinal fusion, fractures)"", ""Missing""]; Count=[""2836"", ""20"", ""0"", ""3"", ""1"", ""484"", ""364""]; Cumulative=[""2836"", ""2856"", ""2856"", ""2859"", ""2860"", ""3344"", ""3708""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"DXXSPN_H","DXXL3BCC","DXXL3BCC","L3 BMD invalidity code","L3 BMD invalidity code","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", ""3"", ""4"", ""5"", ""6"", "".""]; Value.Description=[""Valid data"", ""Removable or non-removable objects"", ""Excessive x-ray noise due to morbid obesity"", ""Insufficient scan area"", ""Movement"", ""Other (degenerative diseases, spinal fusion, fractures)"", ""Missing""]; Count=[""2735"", ""35"", ""0"", ""3"", ""1"", ""570"", ""364""]; Cumulative=[""2735"", ""2770"", ""2770"", ""2773"", ""2774"", ""3344"", ""3708""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"DXXSPN_H","DXXL4BCC","DXXL4BCC","L4 BMD invalidity code","L4 BMD invalidity code","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", ""3"", ""4"", ""5"", ""6"", "".""]; Value.Description=[""Valid data"", ""Removable or non-removable objects"", ""Excessive x-ray noise due to morbid obesity"", ""Insufficient scan area"", ""Movement"", ""Other (degenerative diseases, spinal fusion, fractures)"", ""Missing""]; Count=[""2637"", ""56"", ""0"", ""3"", ""1"", ""647"", ""364""]; Cumulative=[""2637"", ""2693"", ""2693"", ""2696"", ""2697"", ""3344"", ""3708""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"DXXSPN_H","DXXOSBMD","DXXOSBMD","Total spine BMD","Total spine BMD","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.517 to 1.693"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""2135"", ""1573""]; Cumulative=[""2135"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXSPN_H","DXXOSBMC","DXXOSBMC","Total spine BMC","Total spine BMC","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""26.15 to 132.96"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""2135"", ""1573""]; Cumulative=[""2135"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXSPN_H","DXXOSA","DXXOSA","Total spine area","Total spine area","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""37.75 to 87.77"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""2135"", ""1573""]; Cumulative=[""2135"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXSPN_H","DXXL1BMD","DXXL1BMD","L1 BMD","L1 BMD","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.406 to 1.984"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3063"", ""645""]; Cumulative=[""3063"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXSPN_H","DXXL1BMC","DXXL1BMC","L1 BMC","L1 BMC","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""4.88 to 37.6"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3063"", ""645""]; Cumulative=[""3063"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
