"Table_name","Variable","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Codebook_table"
"DXXT10_H","SEQN","SEQN","Sequence number","Sequence number","Both males and females 40 YEARS - 150 YEARS",NA,NA
"DXXT10_H","DXDLSPST","DXDLSPST","IVA lateral spine scan status","IVA lateral spine scan status","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""4"", ""5"", "".""]; Value.Description=[""IVA Lateral Spine scan completed, all vertebra are valid"", ""IVA Lateral Spine scan completed, but one or more vertebrae are invalid"", ""IVA Lateral Spine not scanned, pregnancy"", ""IVA Lateral Spine not scanned, weight > 450 lbs"", ""IVA Lateral Spine not scanned, other reason"", ""Missing""]; Count=[""2875"", ""455"", ""3"", ""1"", ""374"", ""0""]; Cumulative=[""2875"", ""3330"", ""3333"", ""3334"", ""3708"", ""3708""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"DXXT10_H","DXXT10CC","DXXT10CC","T10 fracture invalidity code","T10 fracture invalidity code","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""6"", ""."", ""0"", ""1"", ""3"", ""4"", ""5""]; Value.Description=[""Other (degenerative diseases, spinal fusion, fractures)"", ""Missing"", ""Valid data"", ""Removable or non-removable objects"", ""Excessive x-ray noise due to morbid obesity"", ""Insufficient scan area"", ""Movement""]; Count=[""18"", ""378"", ""3301"", ""0"", ""11"", ""0"", ""0""]; Cumulative=[""3330"", ""3708"", ""3301"", ""3301"", ""3312"", ""3312"", ""3312""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"DXXT10_H","DXXINITX","DXXINITX","x-coordinate used as center point","x-coordinate used as center point","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""78.9 to 316.3"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3302"", ""406""]; Cumulative=[""3302"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT10_H","DXXINITY","DXXINITY","y-coordinate used as center point","y-coordinate used as center point","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""213.4 to 851.9"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3302"", ""406""]; Cumulative=[""3302"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT10_H","DXXANIDX","DXXANIDX","Number of vertebra","Num of the vertebra from 0 (T4) to 12 (L4)","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""6"", "".""]; Value.Description=[""6"", ""Missing""]; Count=[""3302"", ""406""]; Cumulative=[""3302"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT10_H","DXXLABEL","DXXLABEL","Label of the vertebra (T4 to L4)","Label of the vertebra (T4 to L4)","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""T10"", ""< blank >""]; Value.Description=[""T10"", ""Missing""]; Count=[""3302"", ""406""]; Cumulative=[""3302"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT10_H","DXXSQSCR","DXXSQSCR","Genant SQ score","Genant semi-quantitative score","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 2"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3301"", ""407""]; Cumulative=[""3301"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT10_H","DXXPOSTH","DXXPOSTH","Posterior height of the vertebra","Posterior height of the vertebra","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""45.1 to 82.8"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3302"", ""406""]; Cumulative=[""3302"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT10_H","DXXANTEH","DXXANTEH","Anterior height of the vertebra","Anterior height of the vertebra","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""35 to 83.2"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3302"", ""406""]; Cumulative=[""3302"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT10_H","DXXMIDH","DXXMIDH","Middle height of the vertebra","Middle height of the vertebra","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""33.8 to 79"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3302"", ""406""]; Cumulative=[""3302"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT10_H","DXXWDGRT","DXXWDGRT","Amount of wedge","Amount of wedge","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.7 to 1.1"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3302"", ""406""]; Cumulative=[""3302"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
