"Tabela","Variavel","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Tabela_Valores"
"ENX_E","SEQN","SEQN","Respondent sequence number","Respondent sequence number","Both males and females 6 YEARS - 79 YEARS",NA,NA
"ENX_E","ENXSTAT","ENXSTAT","Status code for ENO exam","Status code for ENO exam","Both males and females 6 YEARS - 79 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""4"", ""5"", "".""]; Value.Description=[""Two reproducible FENO measurements"", ""One or more FENO measurement; not reproducible"", ""Attempted exam; no FENO measurements"", ""Medical exclusion; no FENO measurements"", ""Exam not done; no FENO measurements"", ""Missing""]; Count=[""6188"", ""182"", ""391"", ""196"", ""786"", ""0""]; Cumulative=[""6188"", ""6370"", ""6761"", ""6957"", ""7743"", ""7743""]; Skip.to.Item=["""", """", """", """", ""ENXCMT"", """"]"
"ENX_E","ENXCMT","ENXCMT","Comment for ENO exams not done","Comment for ENO exams not done","Both males and females 6 YEARS - 79 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""14"", ""27"", ""56"", ""84"", ""99"", "".""]; Value.Description=[""Safety exclusion"", ""SP refusal"", ""No time"", ""Physical limitation"", ""Communication problem"", ""Equipment failure"", ""SP ill/emergency"", ""Interrupted"", ""Proxy no information"", ""Came late/left early"", ""SP with child"", ""Other"", ""Missing""]; Count=[""8"", ""48"", ""26"", ""32"", ""31"", ""21"", ""13"", ""1"", ""3"", ""526"", ""43"", ""34"", ""6957""]; Cumulative=[""8"", ""56"", ""82"", ""114"", ""145"", ""166"", ""179"", ""180"", ""183"", ""709"", ""752"", ""786"", ""7743""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"ENX_E","ENQ010","ENQ010","Breathing problem require oxygen?","Medical Exclusion Question","Both males and females 6 YEARS - 79 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""67"", ""6887"", ""0"", ""3"", ""786""]; Cumulative=[""67"", ""6954"", ""6954"", ""6957"", ""7743""]; Skip.to.Item=[""End of Section"", """", ""End of Section"", ""End of Section"", """"]"
"ENX_E","ENQ020","ENQ020","Problem taking deep breath?","Medical Exclusion Question","Both males and females 6 YEARS - 79 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""121"", ""6761"", ""0"", ""5"", ""856""]; Cumulative=[""121"", ""6882"", ""6882"", ""6887"", ""7743""]; Skip.to.Item=[""End of Section"", """", ""End of Section"", ""End of Section"", """"]"
"ENX_E","ENQ040","ENQ040","Smoked last hour?","Within the last hour have you smoked a cigarette cigar pipe  or used any other tobacco product?","Both males and females 16 YEARS - 79 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""368"", ""4536"", ""0"", ""0"", ""2839""]; Cumulative=[""368"", ""4904"", ""4904"", ""4904"", ""7743""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"ENX_E","ENQ050","ENQ050","Exercised strenuously last hour?","[Within the last hour] have you exercised strenuously?","Both males and females 12 YEARS - 79 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""73"", ""5366"", ""0"", ""0"", ""2304""]; Cumulative=[""73"", ""5439"", ""5439"", ""5439"", ""7743""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"ENX_E","ENQ060","ENQ060","Ate or drink last hour?","[Within the last hour] have you had anything to eat or drink?","Both males and females 12 YEARS - 79 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""3444"", ""1994"", ""0"", ""1"", ""2304""]; Cumulative=[""3444"", ""5438"", ""5438"", ""5439"", ""7743""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"ENX_E","ENQ070","ENQ070","Ate NO-rich vegetables 3 hours?","Within the last three hours have you eaten beets broccoli cabbage celery lettuce spinach or radishes?","Both males and females 12 YEARS - 79 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""214"", ""5224"", ""0"", ""1"", ""2304""]; Cumulative=[""214"", ""5438"", ""5438"", ""5439"", ""7743""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"ENX_E","ENQ080","ENQ080","Ate NO-rich rich meats 3 hours?","Within the last three hours have you eaten bacon ham hot dogs or smoked fish?","Both males and females 12 YEARS - 79 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""207"", ""5232"", ""0"", ""0"", ""2304""]; Cumulative=[""207"", ""5439"", ""5439"", ""5439"", ""7743""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"ENX_E","ENQ090","ENQ090","Used oral or inhaled steroids 2 days?","Within the last two days {have you/has SP} used any oral or inhaled steroids? This list provides some examples","Both males and females 6 YEARS - 79 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""248"", ""6118"", ""0"", ""4"", ""1373""]; Cumulative=[""248"", ""6366"", ""6366"", ""6370"", ""7743""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"ENX_E","ENQ100","ENQ100","Cough cold resp illness 7 days?","In the past 7 days {have you/has SP} had a cough cold phlegm runny nose or other respiratory illness? Do not count allergies or hay fever","Both males and females 6 YEARS - 79 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""1354"", ""5013"", ""0"", ""3"", ""1373""]; Cumulative=[""1354"", ""6367"", ""6367"", ""6370"", ""7743""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"ENX_E","ENAATMPT","ENAATMPT","Total number of exhalation attempts","Enter total number of attempts","Both males and females 6 YEARS - 79 YEARS",NA,"Code.or.Value=[""1 to 10"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""6761"", ""982""]; Cumulative=[""6761"", ""7743""]; Skip.to.Item=[""NA"", ""NA""]"
"ENX_E","ENXTR1G","ENXTR1G","Trial 1 result status","Trial 1: Status of Exhalation Attempt","Both males and females 6 YEARS - 79 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""4"", "".""]; Value.Description=[""Acceptable measurement"", ""Could Not Obtain"", ""< 5 ppb"", ""> 300 ppb"", ""Missing""]; Count=[""5585"", ""391"", ""785"", ""0"", ""982""]; Cumulative=[""5585"", ""5976"", ""6761"", ""6761"", ""7743""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"ENX_E","ENXTR1Q","ENXTR1Q","Trial 1 FENO Measurement (ppb)","Trial 1 measurement of fractional concentration of orally exhaled nitric oxide (FENO) in parts per billion","Both males and females 6 YEARS - 79 YEARS",NA,"Code.or.Value=[""5 to 218"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""5585"", ""2158""]; Cumulative=[""5585"", ""7743""]; Skip.to.Item=[""NA"", ""NA""]"
"ENX_E","ENXTR2G","ENXTR2G","Trial 2 result status","Trial 2: Status of Exhalation Attempt","Both males and females 6 YEARS - 79 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""4"", "".""]; Value.Description=[""Acceptable measurement"", ""Could Not Obtain"", ""< 5 ppb"", ""> 300 ppb"", ""Missing""]; Count=[""5744"", ""88"", ""530"", ""4"", ""1377""]; Cumulative=[""5744"", ""5832"", ""6362"", ""6366"", ""7743""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"ENX_E","ENXTR2Q","ENXTR2Q","Trial 2 FENO Measurement (ppb)","Trial 2 measurement of fractional concentration of orally exhaled nitric oxide (FENO) in parts per billion","Both males and females 6 YEARS - 79 YEARS",NA,"Code.or.Value=[""5 to 227"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""5744"", ""1999""]; Cumulative=[""5744"", ""7743""]; Skip.to.Item=[""NA"", ""NA""]"
"ENX_E","ENXTR3G","ENXTR3G","Trial 3 result status","Trial 3: Status of Exhalation Attempt","Both males and females 6 YEARS - 79 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""4"", "".""]; Value.Description=[""Acceptable measurement"", ""Could Not Obtain"", ""< 5 ppb"", ""> 300 ppb"", ""Missing""]; Count=[""1891"", ""49"", ""119"", ""1"", ""5683""]; Cumulative=[""1891"", ""1940"", ""2059"", ""2060"", ""7743""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"ENX_E","ENXTR3Q","ENXTR3Q","Trial 3 FENO Measurement (ppb)","Trial 3 measurement of fractional concentration of orally exhaled nitric oxide (FENO) in parts per billion","Both males and females 6 YEARS - 79 YEARS",NA,"Code.or.Value=[""5 to 215"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""1891"", ""5852""]; Cumulative=[""1891"", ""7743""]; Skip.to.Item=[""NA"", ""NA""]"
"ENX_E","ENXTR4G","ENXTR4G","Trial 4 result status","Trial 4: Status of Exhalation Attempt","Both males and females 6 YEARS - 79 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""4"", "".""]; Value.Description=[""Acceptable measurement"", ""Could Not Obtain"", ""< 5 ppb"", ""> 300 ppb"", ""Missing""]; Count=[""227"", ""11"", ""4"", ""0"", ""7501""]; Cumulative=[""227"", ""238"", ""242"", ""242"", ""7743""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"ENX_E","ENXTR4Q","ENXTR4Q","Trial 4 FENO Measurement (ppb)","Trial 4 measurement of fractional concentration of orally exhaled nitric oxide (FENO) in parts per billion","Both males and females 6 YEARS - 79 YEARS",NA,"Code.or.Value=[""5 to 171"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""227"", ""7516""]; Cumulative=[""227"", ""7743""]; Skip.to.Item=[""NA"", ""NA""]"
"ENX_E","ENXMEAN","ENXMEAN","Mean 2 reproducible FENO measures (ppb)","Mean of two reproducible FENO measurements in parts per billion","Both males and females 6 YEARS - 79 YEARS",NA,"Code.or.Value=[""3.5 to 217.5"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""6188"", ""1555""]; Cumulative=[""6188"", ""7743""]; Skip.to.Item=[""NA"", ""NA""]"
