"Table_name","Variable","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Codebook_table"
"DXXL3_H","SEQN","SEQN","Sequence number","Sequence number","Both males and females 40 YEARS - 150 YEARS",NA,NA
"DXXL3_H","DXDLSPST","DXDLSPST","IVA lateral spine scan status","IVA lateral spine scan status","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""4"", ""5"", "".""]; Value.Description=[""IVA Lateral Spine scan completed, all vertebra are valid"", ""IVA Lateral Spine scan completed, but one or more vertebrae are invalid"", ""IVA Lateral Spine not scanned, pregnancy"", ""IVA Lateral Spine not scanned, weight > 450 lbs"", ""IVA Lateral Spine not scanned, other reason"", ""Missing""]; Count=[""2875"", ""455"", ""3"", ""1"", ""374"", ""0""]; Cumulative=[""2875"", ""3330"", ""3333"", ""3334"", ""3708"", ""3708""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"DXXL3_H","DXXL3CC","DXXL3CC","L3 fracture invalidity code","L3 fracture invalidity code","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", ""3"", ""4"", ""5"", ""6"", "".""]; Value.Description=[""Valid data"", ""Removable or non-removable objects"", ""Excessive x-ray noise due to morbid obesity"", ""Insufficient scan area"", ""Movement"", ""Other (degenerative diseases, spinal fusion, fractures)"", ""Missing""]; Count=[""3263"", ""14"", ""26"", ""6"", ""1"", ""20"", ""378""]; Cumulative=[""3263"", ""3277"", ""3303"", ""3309"", ""3310"", ""3330"", ""3708""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"DXXL3_H","DXXINITX","DXXINITX","x-coordinate used as center point","x-coordinate used as center point","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""139.9 to 367"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3274"", ""434""]; Cumulative=[""3274"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXL3_H","DXXINITY","DXXINITY","y-coordinate used as center point","y-coordinate used as center point","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""614.5 to 1192.1"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3274"", ""434""]; Cumulative=[""3274"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXL3_H","DXXANIDX","DXXANIDX","Number of vertebra","Num of the vertebra from 0 (T4) to 12 (L4)","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""11"", "".""]; Value.Description=[""11"", ""Missing""]; Count=[""3274"", ""434""]; Cumulative=[""3274"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXL3_H","DXXLABEL","DXXLABEL","Label of the vertebra (T4 to L4)","Label of the vertebra (T4 to L4)","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""L3"", ""< blank >""]; Value.Description=[""L3"", ""Missing""]; Count=[""3274"", ""434""]; Cumulative=[""3274"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXL3_H","DXXSQSCR","DXXSQSCR","Genant SQ score","Genant semi-quantitative score","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 3"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3267"", ""441""]; Cumulative=[""3267"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXL3_H","DXXPOSTH","DXXPOSTH","Posterior height of the vertebra","Posterior height of the vertebra","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""46.5 to 106.8"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3274"", ""434""]; Cumulative=[""3274"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXL3_H","DXXANTEH","DXXANTEH","Anterior height of the vertebra","Anterior height of the vertebra","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""43.7 to 101.3"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3274"", ""434""]; Cumulative=[""3274"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXL3_H","DXXMIDH","DXXMIDH","Middle height of the vertebra","Middle height of the vertebra","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""36.6 to 95.4"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3274"", ""434""]; Cumulative=[""3274"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXL3_H","DXXWDGRT","DXXWDGRT","Amount of wedge","Amount of wedge","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.8 to 1.2"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3274"", ""434""]; Cumulative=[""3274"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXL3_H","DXXBICRT","DXXBICRT","Amount of biconcave","Amount of biconcave","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.6 to 1"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3274"", ""434""]; Cumulative=[""3274"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXL3_H","DXXCRURT","DXXCRURT","Amount of UCSF crush","Amount of UCSF crush","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.7 to 1.5"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3274"", ""434""]; Cumulative=[""3274"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
