"Table_name","Variable","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Codebook_table"
"OHXPRL_B","SEQN","SEQN","Respondent sequence number","Respondent sequence number.","Both males and females 13 YEARS - 150 YEARS",NA,NA
"OHXPRL_B","OHAEXSTS","OHAEXSTS","Overall Oral Health Exam Status","Overall Oral Health Exam Status","Both males and females 13 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", "".""]; Value.Description=[""Complete"", ""Partial"", ""Not done"", ""Missing""]; Count=[""5488"", ""1147"", ""495"", ""0""]; Cumulative=[""5488"", ""6635"", ""7130"", ""7130""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
"OHXPRL_B","OHASCST4","OHASCST4","Periodontal Status Code","Periodontal Status Code","Both males and females 13 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", "".""]; Value.Description=[""Complete"", ""Partial"", ""Not done"", ""Missing""]; Count=[""5587"", ""45"", ""1498"", ""0""]; Cumulative=[""5587"", ""5632"", ""7130"", ""7130""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
"OHXPRL_B","OHD18CJM","OHD18CJM","LOA: mid-facial #18 FGM/CEJ","Loss of Attachment: Lower left 2nd molar (2M) mid-facial - FGM to CEJ measurement (mm)","Both males and females 13 YEARS - 150 YEARS",NA,"Code.or.Value=[""-6 to 3"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""2232"", ""548"", ""4350""]; Cumulative=[""2232"", ""2780"", ""7130""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPRL_B","OHD18PCM","OHD18PCM","LOA: mid-facial #18 PD","Loss of Attachment: Lower left 2nd molar (2M) mid-facial - FGM to sulcus base (pocket depth) (mm)","Both males and females 13 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 9"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""2232"", ""548"", ""4350""]; Cumulative=[""2232"", ""2780"", ""7130""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPRL_B","OHD18LAM","OHD18LAM","LOA: mid-facial #18 calculated LA","Loss of Attachment: Lower left 2nd molar (2M) mid-facial - Level of attachment calculation of : (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm)","Both males and females 13 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 8"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Calculation cannot be determined"", ""Missing""]; Count=[""2232"", ""548"", ""4350""]; Cumulative=[""2232"", ""2780"", ""7130""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPRL_B","OHD18CJS","OHD18CJS","LOA: mesial #18 FGM/CEJ","Loss of Attachment: Lower left 2nd molar (2M) mesio-facial - FGM to CEJ measurement (mm)","Both males and females 13 YEARS - 150 YEARS",NA,"Code.or.Value=[""-5 to 5"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""2244"", ""536"", ""4350""]; Cumulative=[""2244"", ""2780"", ""7130""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPRL_B","OHD18PCS","OHD18PCS","LOA: mesial #18 PD","Loss of Attachment: Lower left 2nd molar (2M) mesio-facial - FGM to sulcus base (pocket depth) (mm)","Both males and females 13 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 8"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""2244"", ""536"", ""4350""]; Cumulative=[""2244"", ""2780"", ""7130""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPRL_B","OHD18LAS","OHD18LAS","LOA: mesial #18 calculated LA","Loss of Attachment: Lower left 2nd molar (2M) mesio-facial - Level of attachment calculation of : (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm)","Both males and females 13 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 9"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Calculation cannot be determined"", ""Missing""]; Count=[""2244"", ""536"", ""4350""]; Cumulative=[""2244"", ""2780"", ""7130""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPRL_B","OHD18CJD","OHD18CJD","LOA: distal #18 FGM/CEJ","Loss of Attachment: Lower left 2nd molar (2M) distal - FGM to CEJ measurement (mm)","Both males and females 13 YEARS - 150 YEARS",NA,"Code.or.Value=[""-4 to 6"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""2225"", ""555"", ""4350""]; Cumulative=[""2225"", ""2780"", ""7130""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPRL_B","OHD18PCD","OHD18PCD","LOA: distal #18 PD","Loss of Attachment: Lower left 2nd molar (2M) distal - FGM to sulcus base (pocket depth) (mm)","Both males and females 13 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 11"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""2225"", ""555"", ""4350""]; Cumulative=[""2225"", ""2780"", ""7130""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPRL_B","OHD18LAD","OHD18LAD","LOA: distal #18 calculated LA","Loss of Attachment: Lower left 2nd molar (2M) distal - Calculation of : (FGM to CEJ measurement) - (FGM to sulcus base measurement) (mm)","Both males and females 13 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 11"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""2225"", ""555"", ""4350""]; Cumulative=[""2225"", ""2780"", ""7130""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
