"Table_name","Variable","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Codebook_table"
"PAXHR_G","SEQN","SEQN","Respondent sequence number","Respondent sequence number.","Both males and females 6 YEARS - 150 YEARS",NA,NA
"PAXHR_G","PAXDAYH","PAXDAYH","Day of PAM measurements for this hour","The day (e.g. 1 2 3) when PAM measurements for this hour summary record were taken","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9"", ""< blank >""]; Value.Description=[""1st day of wear"", ""2nd day of wear"", ""3rd day of wear"", ""4th day of wear"", ""5th day of wear"", ""6th day of wear"", ""7th day of wear"", ""8th day of wear"", ""9th day of wear"", ""Missing""]; Count=[""61301"", ""165538"", ""164879"", ""164101"", ""163152"", ""162126"", ""161043"", ""159517"", ""106337"", ""0""]; Cumulative=[""61301"", ""226839"", ""391718"", ""555819"", ""718971"", ""881097"", ""1042140"", ""1201657"", ""1307994"", ""1307994""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"PAXHR_G","PAXDAYWH","PAXDAYWH","Day of the week for this hour","Day of the week for this hour (e.g. Mon Tue Wed)","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""< blank >""]; Value.Description=[""Sunday"", ""Monday"", ""Tuesday"", ""Wednesday"", ""Thursday"", ""Friday"", ""Saturday"", ""Missing""]; Count=[""203641"", ""196038"", ""185162"", ""178670"", ""176269"", ""179023"", ""189191"", ""0""]; Cumulative=[""203641"", ""399679"", ""584841"", ""763511"", ""939780"", ""1118803"", ""1307994"", ""1307994""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"PAXHR_G","PAXSSNHP","PAXSSNHP","Starting sample number for the hour","Starting data point number for the hour summary record (from the 80hz sampled data)","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 55324800"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""1307994"", ""0""]; Cumulative=[""1307994"", ""1307994""]; Skip.to.Item=[""NA"", ""NA""]"
"PAXHR_G","PAXTMH","PAXTMH","Total minutes with data for this hour","Total minutes with data for this hour","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""1 to 60"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""1307994"", ""0""]; Cumulative=[""1307994"", ""1307994""]; Skip.to.Item=[""NA"", ""NA""]"
"PAXHR_G","PAXAISMH","PAXAISMH","Hour count: 80hz data in idle sleep mode","Hour count: 80hz data in idle sleep mode","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 288000"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""1307994"", ""0""]; Cumulative=[""1307994"", ""1307994""]; Skip.to.Item=[""NA"", ""NA""]"
"PAXHR_G","PAXVMH","PAXVMH","Hour count: mins valid data no QC flag","Hour count: minutes of valid data - not flagged for quality control issues","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 60"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""1307994"", ""0""]; Cumulative=[""1307994"", ""1307994""]; Skip.to.Item=[""NA"", ""NA""]"
"PAXHR_G","PAXMTSH","PAXMTSH","Hour sum: MIMS triaxial value","Hour sum: MIMS triaxial value","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 9605.754"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""1307994"", ""0""]; Cumulative=[""1307994"", ""1307994""]; Skip.to.Item=[""NA"", ""NA""]"
"PAXHR_G","PAXWWMH","PAXWWMH","Hour sum: valid wake wear minutes","Hour sum: valid wake wear minutes","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 60"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""1307994"", ""0""]; Cumulative=[""1307994"", ""1307994""]; Skip.to.Item=[""NA"", ""NA""]"
"PAXHR_G","PAXSWMH","PAXSWMH","Hour sum: valid sleep wear minutes","Hour sum: valid sleep wear minutes","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 60"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""1307994"", ""0""]; Cumulative=[""1307994"", ""1307994""]; Skip.to.Item=[""NA"", ""NA""]"
"PAXHR_G","PAXNWMH","PAXNWMH","Hour sum: valid non-wear minutes","Hour sum: valid non-wear minutes","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 60"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""1307994"", ""0""]; Cumulative=[""1307994"", ""1307994""]; Skip.to.Item=[""NA"", ""NA""]"
"PAXHR_G","PAXUMH","PAXUMH","Hour sum: valid unknown minutes","Hour sum: valid unknown minutes","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 60"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""1307994"", ""0""]; Cumulative=[""1307994"", ""1307994""]; Skip.to.Item=[""NA"", ""NA""]"
