"Tabela","Variavel","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Tabela_Valores"
"DXXL1_H","SEQN","SEQN","Sequence number","Sequence number","Both males and females 40 YEARS - 150 YEARS",NA,NA
"DXXL1_H","DXDLSPST","DXDLSPST","IVA lateral spine scan status","IVA lateral spine scan status","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""4"", ""5"", "".""]; Value.Description=[""IVA Lateral Spine scan completed, all vertebra are valid"", ""IVA Lateral Spine scan completed, but one or more vertebrae are invalid"", ""IVA Lateral Spine not scanned, pregnancy"", ""IVA Lateral Spine not scanned, weight > 450 lbs"", ""IVA Lateral Spine not scanned, other reason"", ""Missing""]; Count=[""2875"", ""455"", ""3"", ""1"", ""374"", ""0""]; Cumulative=[""2875"", ""3330"", ""3333"", ""3334"", ""3708"", ""3708""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"DXXL1_H","DXXL1CC","DXXL1CC","L1 fracture invalidity code","L1 fracture invalidity code","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", ""3"", ""4"", ""5"", ""6"", "".""]; Value.Description=[""Valid data"", ""Removable or non-removable objects"", ""Excessive x-ray noise due to morbid obesity"", ""Insufficient scan area"", ""Movement"", ""Other (degenerative diseases, spinal fusion, fractures)"", ""Missing""]; Count=[""3291"", ""2"", ""20"", ""3"", ""1"", ""13"", ""378""]; Cumulative=[""3291"", ""3293"", ""3313"", ""3316"", ""3317"", ""3330"", ""3708""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"DXXL1_H","DXXINITX","DXXINITX","x-coordinate used as center point","x-coordinate used as center point","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""117 to 343.8"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3294"", ""414""]; Cumulative=[""3294"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXL1_H","DXXINITY","DXXINITY","y-coordinate used as center point","y-coordinate used as center point","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""436.6 to 1024.6"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3294"", ""414""]; Cumulative=[""3294"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXL1_H","DXXANIDX","DXXANIDX","Number of vertebra","Num of the vertebra from 0 (T4) to 12 (L4)","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""9"", "".""]; Value.Description=[""9"", ""Missing""]; Count=[""3294"", ""414""]; Cumulative=[""3294"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXL1_H","DXXLABEL","DXXLABEL","Label of the vertebra (T4 to L4)","Label of the vertebra (T4 to L4)","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""L1"", ""< blank >""]; Value.Description=[""L1"", ""Missing""]; Count=[""3294"", ""414""]; Cumulative=[""3294"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXL1_H","DXXSQSCR","DXXSQSCR","Genant SQ score","Genant semi-quantitative score","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 3"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3291"", ""417""]; Cumulative=[""3291"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXL1_H","DXXPOSTH","DXXPOSTH","Posterior height of the vertebra","Posterior height of the vertebra","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""45.9 to 92.9"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3294"", ""414""]; Cumulative=[""3294"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXL1_H","DXXANTEH","DXXANTEH","Anterior height of the vertebra","Anterior height of the vertebra","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""22.7 to 88.2"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3294"", ""414""]; Cumulative=[""3294"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXL1_H","DXXMIDH","DXXMIDH","Middle height of the vertebra","Middle height of the vertebra","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""22.6 to 83.1"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3294"", ""414""]; Cumulative=[""3294"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXL1_H","DXXWDGRT","DXXWDGRT","Amount of wedge","Amount of wedge","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.5 to 1.1"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3294"", ""414""]; Cumulative=[""3294"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
