"Table_name","Variable","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Codebook_table"
"DXXT8_H","SEQN","SEQN","Sequence number","Sequence number","Both males and females 40 YEARS - 150 YEARS",NA,NA
"DXXT8_H","DXDLSPST","DXDLSPST","IVA lateral spine scan status","IVA lateral spine scan status","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""4"", ""5"", "".""]; Value.Description=[""IVA Lateral Spine scan completed, all vertebra are valid"", ""IVA Lateral Spine scan completed, but one or more vertebrae are invalid"", ""IVA Lateral Spine not scanned, pregnancy"", ""IVA Lateral Spine not scanned, weight > 450 lbs"", ""IVA Lateral Spine not scanned, other reason"", ""Missing""]; Count=[""2875"", ""455"", ""3"", ""1"", ""374"", ""0""]; Cumulative=[""2875"", ""3330"", ""3333"", ""3334"", ""3708"", ""3708""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"DXXT8_H","DXXT8CC","DXXT8CC","T8 fracture invalidity code","T8 fracture invalidity code","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", ""3"", ""4"", ""5"", ""6"", "".""]; Value.Description=[""Valid data"", ""Removable or non-removable objects"", ""Excessive x-ray noise due to morbid obesity"", ""Insufficient scan area"", ""Movement"", ""Other (degenerative diseases, spinal fusion, fractures)"", ""Missing""]; Count=[""3274"", ""1"", ""20"", ""0"", ""0"", ""35"", ""378""]; Cumulative=[""3274"", ""3275"", ""3295"", ""3295"", ""3295"", ""3330"", ""3708""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"DXXT8_H","DXXINITX","DXXINITX","x-coordinate used as center point","x-coordinate used as center point","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""81.1 to 258.3"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3276"", ""432""]; Cumulative=[""3276"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT8_H","DXXINITY","DXXINITY","y-coordinate used as center point","y-coordinate used as center point","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""80.6 to 720.3"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3276"", ""432""]; Cumulative=[""3276"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT8_H","DXXANIDX","DXXANIDX","Number of vertebra","Num of the vertebra from 0 (T4) to 12 (L4)","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""4"", "".""]; Value.Description=[""4"", ""Missing""]; Count=[""3276"", ""432""]; Cumulative=[""3276"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT8_H","DXXLABEL","DXXLABEL","Label of the vertebra (T4 to L4)","Label of the vertebra (T4 to L4)","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""T8"", ""< blank >""]; Value.Description=[""T8"", ""Missing""]; Count=[""3276"", ""432""]; Cumulative=[""3276"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT8_H","DXXSQSCR","DXXSQSCR","Genant SQ score","Genant semi-quantitative score","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 3"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3276"", ""432""]; Cumulative=[""3276"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT8_H","DXXPOSTH","DXXPOSTH","Posterior height of the vertebra","Posterior height of the vertebra","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""40.3 to 74.4"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3276"", ""432""]; Cumulative=[""3276"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT8_H","DXXANTEH","DXXANTEH","Anterior height of the vertebra","Anterior height of the vertebra","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""12.6 to 67.2"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3276"", ""432""]; Cumulative=[""3276"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT8_H","DXXMIDH","DXXMIDH","Middle height of the vertebra","Middle height of the vertebra","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""27.6 to 66.6"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3276"", ""432""]; Cumulative=[""3276"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT8_H","DXXWDGRT","DXXWDGRT","Amount of wedge","Amount of wedge","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.3 to 1.1"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3276"", ""432""]; Cumulative=[""3276"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
