"Table_name","Variable","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Codebook_table"
"DXX_H","DXALABV","DXALABV","Left Arm Bone Invalidity Code","Left Arm Bone Invalidity Code","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""0"", ""0"", ""1"", ""1"", ""4"", ""4"", ""5"", ""5"", ""6"", ""6"", ""7"", ""7"", ""."", "".""]; Value.Description=[""Valid data"", ""Valid data"", ""Removable or non-removable objects"", ""Removable or non-removable objects"", ""Arm/leg overlap"", ""Arm/leg overlap"", ""Body parts out of scan region"", ""Body parts out of scan region"", ""Positioning problem"", ""Positioning problem"", ""Other"", ""Other"", ""Missing"", ""Missing""]; Count=[""5347"", ""5347"", ""59"", ""59"", ""17"", ""17"", ""16"", ""16"", ""7"", ""7"", ""0"", ""0"", ""587"", ""587""]; Cumulative=[""5347"", ""5347"", ""5406"", ""5406"", ""5423"", ""5423"", ""5439"", ""5439"", ""5446"", ""5446"", ""5446"", ""5446"", ""6033"", ""6033""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"DXX_H","DXXLAA","DXXLAA","Left Arm Area (cm^2)","Left Arm Area (cm^2)","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""54.36 to 382.31"", ""54.36 to 382.31"", ""."", "".""]; Value.Description=[""Range of Values"", ""Range of Values"", ""Missing"", ""Missing""]; Count=[""5347"", ""5347"", ""686"", ""686""]; Cumulative=[""5347"", ""5347"", ""6033"", ""6033""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
"DXX_H","DXXLABMC","DXXLABMC","Left Arm BMC (g)","Left Arm Body Mineral Content (grams)","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""25.39 to 408.54"", ""25.39 to 408.54"", ""."", "".""]; Value.Description=[""Range of Values"", ""Range of Values"", ""Missing"", ""Missing""]; Count=[""5347"", ""5347"", ""686"", ""686""]; Cumulative=[""5347"", ""5347"", ""6033"", ""6033""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
"DXX_H","DXXLABMD","DXXLABMD","Left Arm BMD (g/cm^2)","Left Arm Body Mineral Density (grams/cm^2)","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""0.313 to 1.496"", ""0.313 to 1.496"", ""."", "".""]; Value.Description=[""Range of Values"", ""Range of Values"", ""Missing"", ""Missing""]; Count=[""5347"", ""5347"", ""686"", ""686""]; Cumulative=[""5347"", ""5347"", ""6033"", ""6033""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
"DXX_H","DXALATV","DXALATV","Left Arm Tissue Invalidity Code","Left Arm Tissue Invalidity Code","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""0"", ""0"", ""1"", ""1"", ""4"", ""4"", ""5"", ""5"", ""6"", ""6"", ""7"", ""7"", ""."", "".""]; Value.Description=[""Valid data"", ""Valid data"", ""Removable or non-removable objects"", ""Removable or non-removable objects"", ""Arm/leg overlap"", ""Arm/leg overlap"", ""Body parts out of scan region"", ""Body parts out of scan region"", ""Positioning problem"", ""Positioning problem"", ""Other"", ""Other"", ""Missing"", ""Missing""]; Count=[""5348"", ""5348"", ""59"", ""59"", ""16"", ""16"", ""16"", ""16"", ""7"", ""7"", ""0"", ""0"", ""587"", ""587""]; Cumulative=[""5348"", ""5348"", ""5407"", ""5407"", ""5423"", ""5423"", ""5439"", ""5439"", ""5446"", ""5446"", ""5446"", ""5446"", ""6033"", ""6033""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"DXX_H","DXXLAFAT","DXXLAFAT","Left Arm Fat (g)","Left Arm Fat (grams)","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""178.8 to 7248"", ""178.8 to 7248"", ""."", "".""]; Value.Description=[""Range of Values"", ""Range of Values"", ""Missing"", ""Missing""]; Count=[""5348"", ""5348"", ""685"", ""685""]; Cumulative=[""5348"", ""5348"", ""6033"", ""6033""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
"DXX_H","DXDLALE","DXDLALE","Left Arm Lean excl BMC (g)","Left Arm Lean excl Body Mineral Content (grams)","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""485.2 to 7790.2"", ""485.2 to 7790.2"", ""."", "".""]; Value.Description=[""Range of Values"", ""Range of Values"", ""Missing"", ""Missing""]; Count=[""5348"", ""5348"", ""685"", ""685""]; Cumulative=[""5348"", ""5348"", ""6033"", ""6033""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
"DXX_H","DXXLALI","DXXLALI","Left Arm Lean incl BMC (g)","Left Arm Lean incl BMC (grams)","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""521.9 to 8139.2"", ""521.9 to 8139.2"", ""."", "".""]; Value.Description=[""Range of Values"", ""Range of Values"", ""Missing"", ""Missing""]; Count=[""5347"", ""5347"", ""686"", ""686""]; Cumulative=[""5347"", ""5347"", ""6033"", ""6033""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
"DXX_H","DXDLATOT","DXDLATOT","Left Arm Total (g)","Left Arm Total (grams)","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""829.2 to 12134.5"", ""829.2 to 12134.5"", ""."", "".""]; Value.Description=[""Range of Values"", ""Range of Values"", ""Missing"", ""Missing""]; Count=[""5347"", ""5347"", ""686"", ""686""]; Cumulative=[""5347"", ""5347"", ""6033"", ""6033""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
"DXX_H","DXDLAPF","DXDLAPF","Left Arm Percent Fat","Left Arm Percent Fat","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""11.3 to 70"", ""11.3 to 70"", ""."", "".""]; Value.Description=[""Range of Values"", ""Range of Values"", ""Missing"", ""Missing""]; Count=[""5348"", ""5348"", ""685"", ""685""]; Cumulative=[""5348"", ""5348"", ""6033"", ""6033""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
