"Table_name","Variable","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Codebook_table"
"LEXAB_B","SEQN","SEQN","Respondent sequence number","Respondent sequence number","Both males and females 40 YEARS - 150 YEARS",NA,NA
"LEXAB_B","LEDSCCT2","LEDSCCT2","ABPI Section Comment","ABPI section comment","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""14"", ""22"", ""43"", ""56"", ""58"", ""72"", ""84"", ""101"", ""103"", ""104"", ""999"", "".""]; Value.Description=[""None"", ""Safety exclusion"", ""SP refusal"", ""No time"", ""Physical limitation"", ""Communication problem"", ""Equipment failure"", ""SP ill/emergency"", ""Interrupted"", ""Pain or discomfort"", ""Weight limitation on equipment"", ""Came late/left early"", ""Unable to obtain all bps"", ""Error (technician/software/supply)"", ""SP with child"", ""Bandage, stocking, or other obstruction"", ""As per doctor's request"", ""Swollen legs/ankle edema"", ""Other, specify"", ""Missing""]; Count=[""2334"", ""1"", ""76"", ""17"", ""95"", ""2"", ""4"", ""16"", ""1"", ""7"", ""3"", ""143"", ""461"", ""2"", ""15"", ""1"", ""1"", ""1"", ""4"", ""0""]; Cumulative=[""2334"", ""2335"", ""2411"", ""2428"", ""2523"", ""2525"", ""2529"", ""2545"", ""2546"", ""2553"", ""2556"", ""2699"", ""3160"", ""3162"", ""3177"", ""3178"", ""3179"", ""3180"", ""3184"", ""3184""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"LEXAB_B","LEAARM","LEAARM","Arm tested","Arm tested","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""8"", "".""]; Value.Description=[""Right"", ""Left"", ""Could not obtain"", ""Missing""]; Count=[""2886"", ""17"", ""3"", ""278""]; Cumulative=[""2886"", ""2903"", ""2906"", ""3184""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
"LEXAB_B","LEAARMC","LEAARMC","Arm comment","Arm comment","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""4"", "".""]; Value.Description=[""Lesion, bandage"", ""Rash"", ""Amputation"", ""Other"", ""Missing""]; Count=[""0"", ""1"", ""0"", ""18"", ""3165""]; Cumulative=[""0"", ""1"", ""1"", ""19"", ""3184""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"LEXAB_B","LEDARMCF","LEDARMCF","Brachial cuff size used","Brachial cuff size used for BP measurement","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""3"", ""4"", ""5"", ""8"", "".""]; Value.Description=[""9 cm"", ""12 cm"", ""15 cm"", ""18 cm"", ""Could not obtain"", ""Missing""]; Count=[""10"", ""770"", ""1918"", ""163"", ""7"", ""316""]; Cumulative=[""10"", ""780"", ""2698"", ""2861"", ""2868"", ""3184""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"LEXAB_B","LEQ020","LEQ020","Large adult used poor thigh cuff fit","Large adult cuff selected due to poor thigh cuff fit?","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", "".""]; Value.Description=[""Yes"", ""No"", ""Missing""]; Count=[""187"", ""1731"", ""1266""]; Cumulative=[""187"", ""1918"", ""3184""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"LEXAB_B","LEAANKL","LEAANKL","Ankle(s) tested","Ankle(s) tested","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""8"", "".""]; Value.Description=[""Right"", ""Left"", ""Both"", ""Could not obtain"", ""Missing""]; Count=[""11"", ""12"", ""2878"", ""2"", ""281""]; Cumulative=[""11"", ""23"", ""2901"", ""2903"", ""3184""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"LEXAB_B","LEAANKLC","LEAANKLC","Ankle comment","Ankle comment","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""4"", "".""]; Value.Description=[""Edema, lesions, bandages"", ""Rash"", ""Amputation"", ""Other"", ""Missing""]; Count=[""12"", ""1"", ""6"", ""6"", ""3159""]; Cumulative=[""12"", ""13"", ""19"", ""25"", ""3184""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"LEXAB_B","LEDANKCF","LEDANKCF","Ankle cuff size used","Ankle cuff size used for BP measurement","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""3"", ""4"", ""5"", ""8"", "".""]; Value.Description=[""9 cm"", ""12 cm"", ""15 cm"", ""18 cm"", ""Could not obtain"", ""Missing""]; Count=[""8"", ""774"", ""2083"", ""0"", ""1"", ""318""]; Cumulative=[""8"", ""782"", ""2865"", ""2865"", ""2866"", ""3184""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"LEXAB_B","LEXBRP1","LEXBRP1","Brachial SBP 1 (mm Hg)","Brachial systolic blood pressure 1 (in millimeters of mercury)","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""82 to 250"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""2813"", ""371""]; Cumulative=[""2813"", ""3184""]; Skip.to.Item=[""NA"", ""NA""]"
"LEXAB_B","LEXBRP2","LEXBRP2","Brachial SBP 2 (mm Hg)","Brachial systolic blood pressure 2 (in millimeters of mercury)","Both males and females 40 YEARS - 59 YEARS",NA,"Code.or.Value=[""84 to 219"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""1367"", ""1817""]; Cumulative=[""1367"", ""3184""]; Skip.to.Item=[""NA"", ""NA""]"
"LEXAB_B","LEXBRPM","LEXBRPM","Mean Brachial SBP (mm Hg)","Mean brachial systolic blood pressure (in millimeters of mercury)","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""82 to 250"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""2831"", ""353""]; Cumulative=[""2831"", ""3184""]; Skip.to.Item=[""NA"", ""NA""]"
"LEXAB_B","LEXLPTS1","LEXLPTS1","Left Posterior Tibial SBP 1 (mm Hg)","Left posterior tibial systolic blood pressure 1 (in millimeters of mercury)","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""53 to 239"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""2531"", ""653""]; Cumulative=[""2531"", ""3184""]; Skip.to.Item=[""NA"", ""NA""]"
