"Tabela","Variavel","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Tabela_Valores"
"DXXAG_D","SEQN","SEQN","Respondent sequence number","Respondent sequence number.","Both males and females 8 YEARS - 69 YEARS",NA,NA
"DXXAG_D","DXATRST","DXATRST","Trunk (A/G region) scan status","Trunk (A/G region) scan status","Both males and females 8 YEARS - 69 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""4"", ""5"", "".""]; Value.Description=[""Trunk scan completed, trunk scan is valid"", ""Trunk scan completed, but trunk scan is invalid"", ""Not scanned, pregnancy"", ""Not scanned, weight > 300 lbs"", ""Not scanned, other reason"", ""Missing""]; Count=[""5590"", ""129"", ""371"", ""85"", ""718"", ""0""]; Cumulative=[""5590"", ""5719"", ""6090"", ""6175"", ""6893"", ""6893""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"DXXAG_D","DXATRTV","DXATRTV","Trunk tissue invalidity code","Trunk tissue invalidity code","Both males and females 8 YEARS - 69 YEARS",NA,"Code.or.Value=[""0"", ""1"", ""2"", ""3"", ""4"", ""5"", ""7"", "".""]; Value.Description=[""Valid data"", ""Objects not removed"", ""Non-removable objects such as implants"", ""Excessive x-ray noise due to morbid obesity"", ""Hip arm overlap"", ""Movement"", ""Other"", ""Missing""]; Count=[""5590"", ""9"", ""57"", ""45"", ""3"", ""2"", ""12"", ""1175""]; Cumulative=[""5590"", ""5599"", ""5656"", ""5701"", ""5704"", ""5706"", ""5718"", ""6893""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"DXXAG_D","DXXANFM","DXXANFM","Android fat mass","Android fat mass","Both males and females 8 YEARS - 69 YEARS",NA,"Code.or.Value=[""102.9 to 7106.1"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""5589"", ""1304""]; Cumulative=[""5589"", ""6893""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXAG_D","DXXANLM","DXXANLM","Android lean mass","Android lean mass","Both males and females 8 YEARS - 69 YEARS",NA,"Code.or.Value=[""784.5 to 8182.4"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""5589"", ""1304""]; Cumulative=[""5589"", ""6893""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXAG_D","DXXANTOM","DXXANTOM","Android total mass","Android total mass","Both males and females 8 YEARS - 69 YEARS",NA,"Code.or.Value=[""978.4 to 14971.8"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""5589"", ""1304""]; Cumulative=[""5589"", ""6893""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXAG_D","DXXGYFM","DXXGYFM","Gynoid fat mass","Gynoid fat mass","Both males and females 8 YEARS - 69 YEARS",NA,"Code.or.Value=[""453.9 to 12528"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""5589"", ""1304""]; Cumulative=[""5589"", ""6893""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXAG_D","DXXGYLM","DXXGYLM","Gynoid lean mass","Gynoid lean mass","Both males and females 8 YEARS - 69 YEARS",NA,"Code.or.Value=[""1564.6 to 15694.3"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""5589"", ""1304""]; Cumulative=[""5589"", ""6893""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXAG_D","DXXGYTOM","DXXGYTOM","Gynoid total mass","Gynoid total mass","Both males and females 8 YEARS - 69 YEARS",NA,"Code.or.Value=[""2486.6 to 23971.2"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""5589"", ""1304""]; Cumulative=[""5589"", ""6893""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXAG_D","DXXAGRAT","DXXAGRAT","Android to Gynoid ratio","Android to gynoid ratio","Both males and females 8 YEARS - 69 YEARS",NA,"Code.or.Value=[""0.4 to 1.9"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""5589"", ""1304""]; Cumulative=[""5589"", ""6893""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXAG_D","DXXAPFAT","DXXAPFAT","Android percent fat","Android percent fat","Both males and females 8 YEARS - 69 YEARS",NA,"Code.or.Value=[""6.6 to 58.9"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""5589"", ""1304""]; Cumulative=[""5589"", ""6893""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXAG_D","DXXGPFAT","DXXGPFAT","Gynoid percent fat","Gynoid percent fat","Both males and females 8 YEARS - 69 YEARS",NA,"Code.or.Value=[""7.7 to 56.6"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""5589"", ""1304""]; Cumulative=[""5589"", ""6893""]; Skip.to.Item=[""NA"", ""NA""]"
