"Table_name","Variable","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Codebook_table"
"ENX_G","SEQN","SEQN","Respondent sequence number","Respondent sequence number","Both males and females 6 YEARS - 79 YEARS",NA,NA
"ENX_G","ENXSTAT","ENXSTAT","Status code for ENO exam","Status code for ENO exam","Both males and females 6 YEARS - 79 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""4"", ""5"", "".""]; Value.Description=[""Two reproducible FENO measurements"", ""One or more FENO measurement; not reproducible"", ""Attempted exam; no FENO measurements"", ""Medical exclusion; no FENO measurements"", ""Exam not done; no FENO measurements"", ""Missing""]; Count=[""6525"", ""117"", ""297"", ""109"", ""447"", ""0""]; Cumulative=[""6525"", ""6642"", ""6939"", ""7048"", ""7495"", ""7495""]; Skip.to.Item=["""", """", """", """", ""ENXCMT"", """"]"
"ENX_G","ENXCMT","ENXCMT","Comment for ENO exams not done","Comment for ENO exams not done","Both males and females 6 YEARS - 79 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""14"", ""56"", ""84"", ""99"", "".""]; Value.Description=[""Safety exclusion"", ""SP refusal"", ""No time"", ""Physical limitation"", ""Communication problem"", ""Equipment failure"", ""SP ill/emergency"", ""Interrupted"", ""Came late/left early"", ""SP with child"", ""Other"", ""Missing""]; Count=[""11"", ""32"", ""46"", ""25"", ""35"", ""8"", ""14"", ""1"", ""225"", ""33"", ""17"", ""7048""]; Cumulative=[""11"", ""43"", ""89"", ""114"", ""149"", ""157"", ""171"", ""172"", ""397"", ""430"", ""447"", ""7495""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"ENX_G","ENQ010","ENQ010","Breathing problem require oxygen?","Medical Exclusion Question","Both males and females 6 YEARS - 79 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""41"", ""7007"", ""0"", ""0"", ""447""]; Cumulative=[""41"", ""7048"", ""7048"", ""7048"", ""7495""]; Skip.to.Item=[""End of Section"", """", ""End of Section"", ""End of Section"", """"]"
"ENX_G","ENQ020","ENQ020","Problem taking deep breath?","Medical Exclusion Question","Both males and females 6 YEARS - 79 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""66"", ""6939"", ""0"", ""2"", ""488""]; Cumulative=[""66"", ""7005"", ""7005"", ""7007"", ""7495""]; Skip.to.Item=[""End of Section"", """", ""End of Section"", ""End of Section"", """"]"
"ENX_G","ENQ040","ENQ040","Smoked last hour?","Within the last hour have you smoked a cigarette cigar pipe  or used any other tobacco product?","Both males and females 16 YEARS - 79 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""277"", ""4693"", ""0"", ""0"", ""2525""]; Cumulative=[""277"", ""4970"", ""4970"", ""4970"", ""7495""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"ENX_G","ENQ050","ENQ050","Exercised strenuously last hour?","[Within the last hour] have you exercised strenuously?","Both males and females 12 YEARS - 79 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""54"", ""5501"", ""0"", ""0"", ""1940""]; Cumulative=[""54"", ""5555"", ""5555"", ""5555"", ""7495""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"ENX_G","ENQ060","ENQ060","Ate or drink last hour?","[Within the last hour] have you had anything to eat or drink?","Both males and females 12 YEARS - 79 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""2997"", ""2558"", ""0"", ""0"", ""1940""]; Cumulative=[""2997"", ""5555"", ""5555"", ""5555"", ""7495""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"ENX_G","ENQ070","ENQ070","Ate NO-rich vegetables 3 hours?","Within the last three hours have you eaten beets broccoli cabbage celery lettuce spinach or radishes?","Both males and females 12 YEARS - 79 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""238"", ""5317"", ""0"", ""0"", ""1940""]; Cumulative=[""238"", ""5555"", ""5555"", ""5555"", ""7495""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"ENX_G","ENQ080","ENQ080","Ate NO-rich rich meats 3 hours?","Within the last three hours have you eaten bacon ham hot dogs or smoked fish?","Both males and females 12 YEARS - 79 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""212"", ""5343"", ""0"", ""0"", ""1940""]; Cumulative=[""212"", ""5555"", ""5555"", ""5555"", ""7495""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"ENX_G","ENQ090","ENQ090","Used oral or inhaled steroids 2 days?","Within the last two days {have you/has SP} used any oral or inhaled steroids? This list provides some examples","Both males and females 6 YEARS - 79 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""266"", ""6373"", ""0"", ""3"", ""853""]; Cumulative=[""266"", ""6639"", ""6639"", ""6642"", ""7495""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"ENX_G","ENQ100","ENQ100","Cough cold resp illness 7 days?","In the past 7 days {have you/has SP} had a cough cold phlegm runny nose or other respiratory illness? Do not count allergies or hay fever","Both males and females 6 YEARS - 79 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""1259"", ""5379"", ""0"", ""4"", ""853""]; Cumulative=[""1259"", ""6638"", ""6638"", ""6642"", ""7495""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"ENX_G","ENAATMPT","ENAATMPT","Total number of exhalation attempts","Enter total number of attempts","Both males and females 6 YEARS - 79 YEARS",NA,"Code.or.Value=[""1 to 10"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""6939"", ""556""]; Cumulative=[""6939"", ""7495""]; Skip.to.Item=[""NA"", ""NA""]"
"ENX_G","ENXTR1G","ENXTR1G","Trial 1 result status","Trial 1: Status of Exhalation Attempt","Both males and females 6 YEARS - 79 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""4"", "".""]; Value.Description=[""Acceptable measurement"", ""Could Not Obtain"", ""< 5 ppb"", ""> 300 ppb"", ""Missing""]; Count=[""5999"", ""297"", ""643"", ""0"", ""556""]; Cumulative=[""5999"", ""6296"", ""6939"", ""6939"", ""7495""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
