"Table_name","Variable","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Codebook_table"
"DXX_2_B","SEQN","SEQN","Respondent sequence number","","Both males and females 8 YEARS - 150 YEARS",NA,NA
"DXX_2_B","DX2EXSTS","DX2EXSTS","Exam Status","","Both males and females 8 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", "".""]; Value.Description=[""Scan completed"", ""Scan completed, but invalid"", ""Missing""]; Count=[""479"", ""6"", ""0""]; Cumulative=[""479"", ""485"", ""485""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"DXX_2_B","DX2HETOT","DX2HETOT","Head Total (g)","Head Total (grams)","Both males and females 8 YEARS - 150 YEARS",NA,"Code.or.Value=[""3231.3 to 6688"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""479"", ""6""]; Cumulative=[""479"", ""485""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_2_B","DX2LSA","DX2LSA","Lumbar Spine Area (cm^2)","Lumbar Spine Area (cm^2)","Both males and females 8 YEARS - 150 YEARS",NA,"Code.or.Value=[""27.16 to 146.71"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""443"", ""42""]; Cumulative=[""443"", ""485""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_2_B","DX2LSBMC","DX2LSBMC","Lumbar Spine BMC (g)","Lumbar Spine Bone Mineral Content (grams)","Both males and females 8 YEARS - 150 YEARS",NA,"Code.or.Value=[""17.38 to 152.67"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""443"", ""42""]; Cumulative=[""443"", ""485""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_2_B","DX2LSBMD","DX2LSBMD","Lumbar Spine BMD (g/cm^2)","Lumbar Spine Bone Mineral Density (grams/cm^2)","Both males and females 8 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.605 to 1.724"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""443"", ""42""]; Cumulative=[""443"", ""485""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_2_B","DX2LAA","DX2LAA","Left Arm Area (cm^2)","Left Arm Area (cm^2)","Both males and females 8 YEARS - 150 YEARS",NA,"Code.or.Value=[""141.8 to 346.7"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""464"", ""21""]; Cumulative=[""464"", ""485""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_2_B","DX2LABMC","DX2LABMC","Left Arm BMC (g)","Left Arm Body Mineral Content (grams)","Both males and females 8 YEARS - 150 YEARS",NA,"Code.or.Value=[""89.14 to 588.09"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""464"", ""21""]; Cumulative=[""464"", ""485""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_2_B","DX2LABMD","DX2LABMD","Left Arm BMD (g/cm^2)","Left Arm Body Mineral Density (grams/cm^2)","Both males and females 8 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.558 to 2.146"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""464"", ""21""]; Cumulative=[""464"", ""485""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_2_B","DX2LAFAT","DX2LAFAT","Left Arm Fat (g)","Left Arm Fat (grams)","Both males and females 8 YEARS - 150 YEARS",NA,"Code.or.Value=[""361.2 to 5545.4"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""464"", ""21""]; Cumulative=[""464"", ""485""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_2_B","DX2LALI","DX2LALI","Left Arm Lean incl BMC (g)","Left Arm Lean incl BMC (grams)","Both males and females 8 YEARS - 150 YEARS",NA,"Code.or.Value=[""1228.5 to 6388.7"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""464"", ""21""]; Cumulative=[""464"", ""485""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_2_B","DX2LALE","DX2LALE","Left Arm Lean excl BMC (g)","Left Arm Lean excl Body Mineral Content (grams)","Both males and females 8 YEARS - 150 YEARS",NA,"Code.or.Value=[""1138 to 6113.9"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""464"", ""21""]; Cumulative=[""464"", ""485""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_2_B","DX2LAPF","DX2LAPF","Left Arm Percent Fat","Left Arm Percent Fat","Both males and females 8 YEARS - 150 YEARS",NA,"Code.or.Value=[""11.8 to 60.9"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""464"", ""21""]; Cumulative=[""464"", ""485""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_2_B","DX2LATOT","DX2LATOT","Left Arm Total (g)","Left Arm Total (grams)","Both males and females 8 YEARS - 150 YEARS",NA,"Code.or.Value=[""1984 to 9448.4"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""464"", ""21""]; Cumulative=[""464"", ""485""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_2_B","DX2LLA","DX2LLA","Left Leg Area (cm^2)","Left Leg Area(cm^2)","Both males and females 8 YEARS - 150 YEARS",NA,"Code.or.Value=[""250.72 to 517.65"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""467"", ""18""]; Cumulative=[""467"", ""485""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_2_B","DX2LLBMC","DX2LLBMC","Left Leg BMC (g)","Left Leg Bone Mineral Content (grams)","Both males and females 8 YEARS - 150 YEARS",NA,"Code.or.Value=[""233.14 to 849.27"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""467"", ""18""]; Cumulative=[""467"", ""485""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_2_B","DX2LLBMD","DX2LLBMD","Left Leg BMD (g/cm^2)","Left Leg Bone Mineral Density (grams/cm^2)","Both males and females 8 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.865 to 1.867"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""467"", ""18""]; Cumulative=[""467"", ""485""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_2_B","DX2LLFAT","DX2LLFAT","Left Leg Fat (g)","Left Leg Fat (grams)","Both males and females 8 YEARS - 150 YEARS",NA,"Code.or.Value=[""980.9 to 16774.1"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""467"", ""18""]; Cumulative=[""467"", ""485""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_2_B","DX2LLLI","DX2LLLI","Left Leg Lean incl BMC (g)","Left Leg Lean incl Bone Mineral Content (grams)","Both males and females 8 YEARS - 150 YEARS",NA,"Code.or.Value=[""3706.8 to 16146.2"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""467"", ""18""]; Cumulative=[""467"", ""485""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_2_B","DX2LLLE","DX2LLLE","Left Leg Lean excl BMC (g)","Left Leg Lean excl Bone Mineral Content (grams)","Both males and females 8 YEARS - 150 YEARS",NA,"Code.or.Value=[""3464.8 to 15424.4"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""467"", ""18""]; Cumulative=[""467"", ""485""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_2_B","DX2LLPF","DX2LLPF","Left Leg Percent Fat","Left Leg Percent Fat","Both males and females 8 YEARS - 150 YEARS",NA,"Code.or.Value=[""11.5 to 56.1"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""467"", ""18""]; Cumulative=[""467"", ""485""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_2_B","DX2LLTOT","DX2LLTOT","Left Leg Total (g)","Left Leg Total (grams)","Both males and females 8 YEARS - 150 YEARS",NA,"Code.or.Value=[""6532 to 30984"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""467"", ""18""]; Cumulative=[""467"", ""485""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_2_B","DX2LRA","DX2LRA","Left Ribs Area (cm^2)","Left Ribs Area(cm^2)","Both males and females 8 YEARS - 150 YEARS",NA,"Code.or.Value=[""74.28 to 184.86"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""443"", ""42""]; Cumulative=[""443"", ""485""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_2_B","DX2LRBMC","DX2LRBMC","Left Ribs BMC (g)","Left Ribs Bone Mineral Content (grams)","Both males and females 8 YEARS - 150 YEARS",NA,"Code.or.Value=[""37.75 to 148.6"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""443"", ""42""]; Cumulative=[""443"", ""485""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_2_B","DX2LRBMD","DX2LRBMD","Left Ribs BMD (g/cm^2)","Left Ribs Bone Mineral Density (grams/cm^2)","Both males and females 8 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.456 to 1.014"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""443"", ""42""]; Cumulative=[""443"", ""485""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_2_B","DX2PEA","DX2PEA","Pelvis Area (cm^2)","Pelvis Area (cm^2)","Both males and females 8 YEARS - 150 YEARS",NA,"Code.or.Value=[""62.44 to 348"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""443"", ""42""]; Cumulative=[""443"", ""485""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_2_B","DX2PEBMC","DX2PEBMC","Pelvis BMC (g)","Pelvis Bone Mineral Content (grams)","Both males and females 8 YEARS - 150 YEARS",NA,"Code.or.Value=[""80.77 to 568.27"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""443"", ""42""]; Cumulative=[""443"", ""485""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_2_B","DX2PEBMD","DX2PEBMD","Pelvis BMD (g/cm^2)","Pelvis Bone Mineral Density (grams/cm^2)","Both males and females 8 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.891 to 2.481"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""443"", ""42""]; Cumulative=[""443"", ""485""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_2_B","DX2RAA","DX2RAA","Right Arm Area (cm^2)","Right Arm Area (cm^2)","Both males and females 8 YEARS - 150 YEARS",NA,"Code.or.Value=[""139.99 to 334.73"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""464"", ""21""]; Cumulative=[""464"", ""485""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_2_B","DX2RABMC","DX2RABMC","Right Arm BMC (g)","Right Arm Bone Mineral Content (grams)","Both males and females 8 YEARS - 150 YEARS",NA,"Code.or.Value=[""84.39 to 364.45"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""464"", ""21""]; Cumulative=[""464"", ""485""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_2_B","DX2RABMD","DX2RABMD","Right Arm BMD (g/cm^2)","Right Arm Bone Mineral Density (grams/cm^2)","Both males and females 8 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.577 to 1.117"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""464"", ""21""]; Cumulative=[""464"", ""485""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_2_B","DX2RAFAT","DX2RAFAT","Right Arm Fat (g)","Right Arm Fat (grams)","Both males and females 8 YEARS - 150 YEARS",NA,"Code.or.Value=[""379.6 to 5987.1"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""464"", ""21""]; Cumulative=[""464"", ""485""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_2_B","DX2RALI","DX2RALI","Right Arm Lean incl BMC (g)","Right Arm Lean incl Bone Mineral Content (grams)","Both males and females 8 YEARS - 150 YEARS",NA,"Code.or.Value=[""1419.4 to 6788.7"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""464"", ""21""]; Cumulative=[""464"", ""485""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_2_B","DX2RALE","DX2RALE","Right Arm Lean excl BMC (g)","Right Arm Lean excl Bone Mineral Content (grams)","Both males and females 8 YEARS - 150 YEARS",NA,"Code.or.Value=[""1335 to 6503.4"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""464"", ""21""]; Cumulative=[""464"", ""485""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_2_B","DX2RAPF","DX2RAPF","Right Arm Percent Fat","Right Arm Percent Fat","Both males and females 8 YEARS - 150 YEARS",NA,"Code.or.Value=[""12 to 61.4"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""464"", ""21""]; Cumulative=[""464"", ""485""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_2_B","DX2RATOT","DX2RATOT","Right Arm Total (g)","Right Arm Total (grams)","Both males and females 8 YEARS - 150 YEARS",NA,"Code.or.Value=[""2147.7 to 10669"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""464"", ""21""]; Cumulative=[""464"", ""485""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_2_B","DX2RLA","DX2RLA","Right Leg Area (cm^2)","Right Leg Area (cm^2)","Both males and females 8 YEARS - 150 YEARS",NA,"Code.or.Value=[""151.07 to 521.95"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""466"", ""19""]; Cumulative=[""466"", ""485""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_2_B","DX2RLBMC","DX2RLBMC","Right Leg BMC (g)","Right Leg Bone Mineral Content (grams)","Both males and females 8 YEARS - 150 YEARS",NA,"Code.or.Value=[""197.74 to 846.71"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""466"", ""19""]; Cumulative=[""466"", ""485""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_2_B","DX2RLBMD","DX2RLBMD","Right Leg BMD(g/cm^2)","Right Leg Bone Mineral Density (grams/cm^2)","Both males and females 8 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.852 to 1.888"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""466"", ""19""]; Cumulative=[""466"", ""485""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_2_B","DX2RLFAT","DX2RLFAT","Right Leg Fat (g)","Right Leg Fat (grams)","Both males and females 8 YEARS - 150 YEARS",NA,"Code.or.Value=[""962.7 to 17525"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""466"", ""19""]; Cumulative=[""466"", ""485""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_2_B","DX2RLLI","DX2RLLI","Right Leg Lean incl BMC (g)","Right Leg Lean incl Bone Mineral Content (grams)","Both males and females 8 YEARS - 150 YEARS",NA,"Code.or.Value=[""4095.6 to 16815"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""466"", ""19""]; Cumulative=[""466"", ""485""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_2_B","DX2RLLE","DX2RLLE","Right Leg Lean excl BMC (g)","Right Leg Lean excl Bone Mineral Content (grams)","Both males and females 8 YEARS - 150 YEARS",NA,"Code.or.Value=[""3842.9 to 16096.8"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""466"", ""19""]; Cumulative=[""466"", ""485""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_2_B","DX2RLPF","DX2RLPF","Right Leg Percent Fat","Right Leg Percent Fat","Both males and females 8 YEARS - 150 YEARS",NA,"Code.or.Value=[""11.8 to 59.2"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""466"", ""19""]; Cumulative=[""466"", ""485""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_2_B","DX2RLTOT","DX2RLTOT","Right Leg Total (g)","Right Leg Total (grams)","Both males and females 8 YEARS - 150 YEARS",NA,"Code.or.Value=[""7073.7 to 31272.5"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""466"", ""19""]; Cumulative=[""466"", ""485""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_2_B","DX2RRA","DX2RRA","Right Ribs Area (cm^2)","Right Ribs Area (cm^2)","Both males and females 8 YEARS - 150 YEARS",NA,"Code.or.Value=[""71.97 to 206.47"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""443"", ""42""]; Cumulative=[""443"", ""485""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_2_B","DX2RRBMC","DX2RRBMC","Right Ribs BMC (g)","Right Ribs Bone Mineral Content (grams)","Both males and females 8 YEARS - 150 YEARS",NA,"Code.or.Value=[""35.13 to 164.17"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""443"", ""42""]; Cumulative=[""443"", ""485""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_2_B","DX2RRBMD","DX2RRBMD","Right Ribs BMD (g/cm^2)","Right Ribs Bone Mineral Density (grams/cm^2)","Both males and females 8 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.472 to 0.982"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""443"", ""42""]; Cumulative=[""443"", ""485""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_2_B","DX2TSA","DX2TSA","Thoracic Spine Area (cm^2)","Thoracic Spine Area (cm^2)","Both males and females 8 YEARS - 150 YEARS",NA,"Code.or.Value=[""93.33 to 214.72"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""443"", ""42""]; Cumulative=[""443"", ""485""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_2_B","DX2TSBMC","DX2TSBMC","Thoracic Spine BMC (g)","Thoracic Spine Bone Mineral Content (grams)","Both males and females 8 YEARS - 150 YEARS",NA,"Code.or.Value=[""63.28 to 266.48"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""443"", ""42""]; Cumulative=[""443"", ""485""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_2_B","DX2TSBMD","DX2TSBMD","Thoracic Spine BMD (g/cm^2)","Thoracic Spine Bone Mineral Density (grams/cm^2)","Both males and females 8 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.6 to 1.377"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""443"", ""42""]; Cumulative=[""443"", ""485""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_2_B","DX2TRBMC","DX2TRBMC","Trunk BMC (g)","Trunk Bone Mineral Content (grams)","Both males and females 8 YEARS - 150 YEARS",NA,"Code.or.Value=[""278.23 to 1205.63"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""443"", ""42""]; Cumulative=[""443"", ""485""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_2_B","DX2TRA","DX2TRA","Trunk Bone area (cm^2)","Trunk Bone area (cm^2)","Both males and females 8 YEARS - 150 YEARS",NA,"Code.or.Value=[""412.11 to 924.54"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""443"", ""42""]; Cumulative=[""443"", ""485""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_2_B","DX2TRBMD","DX2TRBMD","Trunk Bone BMD (g/cm^2)","Trunk Bone BMD (g/cm^2)","Both males and females 8 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.65 to 1.382"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""443"", ""42""]; Cumulative=[""443"", ""485""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_2_B","DX2TRFAT","DX2TRFAT","Trunk Fat (g)","Trunk Fat (grams)","Both males and females 8 YEARS - 150 YEARS",NA,"Code.or.Value=[""2516.6 to 36126.7"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""443"", ""42""]; Cumulative=[""443"", ""485""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_2_B","DX2TRLI","DX2TRLI","Trunk Lean incl BMC (g)","Trunk Lean incl Bone Mineral Content (grams)","Both males and females 8 YEARS - 150 YEARS",NA,"Code.or.Value=[""14123.6 to 41264.3"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""443"", ""42""]; Cumulative=[""443"", ""485""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_2_B","DX2TRLE","DX2TRLE","Trunk Lean excl BMC (g)","Trunk Lean excl Bone Mineral Content (grams)","Both males and females 8 YEARS - 150 YEARS",NA,"Code.or.Value=[""13748.4 to 40333.8"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""443"", ""42""]; Cumulative=[""443"", ""485""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_2_B","DX2TRPF","DX2TRPF","Trunk Percent Fat","Trunk Percent Fat","Both males and females 8 YEARS - 150 YEARS",NA,"Code.or.Value=[""10.7 to 52.5"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""443"", ""42""]; Cumulative=[""443"", ""485""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_2_B","DX2TRTOT","DX2TRTOT","Trunk Total (g)","Trunk Total (grams)","Both males and females 8 YEARS - 150 YEARS",NA,"Code.or.Value=[""16640.3 to 71726.8"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""443"", ""42""]; Cumulative=[""443"", ""485""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_2_B","DX2STA","DX2STA","Subtotal Area (cm^2)","Subtotal Area (cm^2)","Both males and females 8 YEARS - 150 YEARS",NA,"Code.or.Value=[""1270.2 to 2502.51"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""414"", ""71""]; Cumulative=[""414"", ""485""]; Skip.to.Item=[""NA"", ""NA""]"
