"Table_name","Variable","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Codebook_table"
"DXX_2_B","SEQN","SEQN","Respondent sequence number","","Both males and females 8 YEARS - 150 YEARS",NA,NA
"DXX_2_B","DX2EXSTS","DX2EXSTS","Exam Status","","Both males and females 8 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", "".""]; Value.Description=[""Scan completed"", ""Scan completed, but invalid"", ""Missing""]; Count=[""479"", ""6"", ""0""]; Cumulative=[""479"", ""485"", ""485""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"DXX_2_B","DX2TOBMC","DX2TOBMC","Total Bone Mineral Content (g)","Total Bone Mineral Content (grams)","Both males and females 8 YEARS - 150 YEARS",NA,"Code.or.Value=[""1335.67 to 4261.05"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""414"", ""71""]; Cumulative=[""414"", ""485""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_2_B","DX2TOBMD","DX2TOBMD","Total Bone Mineral Density (g/cm^2)","Total Bone Mineral Density (grams/cm^2)","Both males and females 8 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.818 to 1.552"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""414"", ""71""]; Cumulative=[""414"", ""485""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_2_B","DX2TOFAT","DX2TOFAT","Total Fat (g)","Total Fat (grams)","Both males and females 8 YEARS - 150 YEARS",NA,"Code.or.Value=[""6669 to 56241.2"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""414"", ""71""]; Cumulative=[""414"", ""485""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_2_B","DX2TOLE","DX2TOLE","Total Lean excl BMC (g)","Total Lean excl Bone Mineral Content (grams)","Both males and females 8 YEARS - 150 YEARS",NA,"Code.or.Value=[""26256.7 to 84729.8"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""414"", ""71""]; Cumulative=[""414"", ""485""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_2_B","DX2TOPF","DX2TOPF","Total Percent Fat","Total Percent Fat","Both males and females 8 YEARS - 150 YEARS",NA,"Code.or.Value=[""12.2 to 52.3"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""414"", ""71""]; Cumulative=[""414"", ""485""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_2_B","DX2TOA","DX2TOA","Total Area (cm^2)","Total Area (cm^2)","Both males and females 8 YEARS - 150 YEARS",NA,"Code.or.Value=[""1478.61 to 2761.95"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""414"", ""71""]; Cumulative=[""414"", ""485""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_2_B","DX2TOLI","DX2TOLI","Total Lean incl BMC (g)","Total Lean incl Bone Mineral Content (grams)","Both males and females 8 YEARS - 150 YEARS",NA,"Code.or.Value=[""27592.3 to 88093.3"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""414"", ""71""]; Cumulative=[""414"", ""485""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_2_B","DX2TOTOT","DX2TOTOT","Total Lean+Fat (g)","Total Lean incl BMC and Fat (grams)","Both males and females 8 YEARS - 150 YEARS",NA,"Code.or.Value=[""39884.2 to 130999.3"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""414"", ""71""]; Cumulative=[""414"", ""485""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_2_B","DX2HEA","DX2HEA","Head Area (cm^2)","Head Area (cm^2)","Both males and females 8 YEARS - 150 YEARS",NA,"Code.or.Value=[""170.05 to 283.61"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""479"", ""6""]; Cumulative=[""479"", ""485""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_2_B","DX2HEBMC","DX2HEBMC","Head Bone Mineral Content (g)","Head Bone Mineral Content (grams)","Both males and females 8 YEARS - 150 YEARS",NA,"Code.or.Value=[""280.98 to 867.27"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""479"", ""6""]; Cumulative=[""479"", ""485""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_2_B","DX2HEBMD","DX2HEBMD","Head Bone Mineral Density (g/cm^2)","Head Bone Mineral Density (grams/cm^2)","Both males and females 8 YEARS - 150 YEARS",NA,"Code.or.Value=[""1.263 to 3.573"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""479"", ""6""]; Cumulative=[""479"", ""485""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_2_B","DX2HEFAT","DX2HEFAT","Head Fat (g)","Head Fat (grams)","Both males and females 8 YEARS - 150 YEARS",NA,"Code.or.Value=[""747.5 to 1675.7"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""479"", ""6""]; Cumulative=[""479"", ""485""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_2_B","DX2HELI","DX2HELI","Head Lean incl BMC (g)","Head Lean incl Bone Mineral Content (grams)","Both males and females 8 YEARS - 150 YEARS",NA,"Code.or.Value=[""2483.7 to 5117.9"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""479"", ""6""]; Cumulative=[""479"", ""485""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_2_B","DX2HELE","DX2HELE","Head Lean excl BMC (g)","Head Lean excl Bone Mineral Content (grams)","Both males and females 8 YEARS - 150 YEARS",NA,"Code.or.Value=[""2092 to 4417"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""479"", ""6""]; Cumulative=[""479"", ""485""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_2_B","DX2HEPF","DX2HEPF","Head Percent Fat","Head Percent Fat","Both males and females 8 YEARS - 150 YEARS",NA,"Code.or.Value=[""22.1 to 27.5"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""479"", ""6""]; Cumulative=[""479"", ""485""]; Skip.to.Item=[""NA"", ""NA""]"
