"Table_name","Variable","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Codebook_table"
"DXXT4_H","SEQN","SEQN","Sequence number","Sequence number","Both males and females 40 YEARS - 150 YEARS",NA,NA
"DXXT4_H","DXDLSPST","DXDLSPST","IVA lateral spine scan status","IVA lateral spine scan status","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""4"", ""5"", "".""]; Value.Description=[""IVA Lateral Spine scan completed, all vertebra are valid"", ""IVA Lateral Spine scan completed, but one or more vertebrae are invalid"", ""IVA Lateral Spine not scanned, pregnancy"", ""IVA Lateral Spine not scanned, weight > 450 lbs"", ""IVA Lateral Spine not scanned, other reason"", ""Missing""]; Count=[""2875"", ""455"", ""3"", ""1"", ""374"", ""0""]; Cumulative=[""2875"", ""3330"", ""3333"", ""3334"", ""3708"", ""3708""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"DXXT4_H","DXXT4CC","DXXT4CC","T4 fracture invalidity code","T4 fracture invalidity code","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", ""3"", ""4"", ""5"", ""6"", "".""]; Value.Description=[""Valid data"", ""Removable or non-removable objects"", ""Excessive x-ray noise due to morbid obesity"", ""Insufficient scan area"", ""Movement"", ""Other (degenerative diseases, spinal fusion, fractures)"", ""Missing""]; Count=[""2992"", ""1"", ""64"", ""78"", ""0"", ""195"", ""378""]; Cumulative=[""2992"", ""2993"", ""3057"", ""3135"", ""3135"", ""3330"", ""3708""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"DXXT4_H","DXXINITX","DXXINITX","x-coordinate used as center point","x-coordinate used as center point","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""98.7 to 290.1"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""2995"", ""713""]; Cumulative=[""2995"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT4_H","DXXINITY","DXXINITY","y-coordinate used as center point","y-coordinate used as center point","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""12.3 to 464.4"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""2995"", ""713""]; Cumulative=[""2995"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT4_H","DXXANIDX","DXXANIDX","Number of vertebra","Num of the vertebra from 0 (T4) to 12 (L4)","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", "".""]; Value.Description=[""0"", ""Missing""]; Count=[""2995"", ""713""]; Cumulative=[""2995"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT4_H","DXXLABEL","DXXLABEL","Label of the vertebra (T4 to L4)","Label of the vertebra (T4 to L4)","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""T4"", ""< blank >""]; Value.Description=[""T4"", ""Missing""]; Count=[""2995"", ""713""]; Cumulative=[""2995"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT4_H","DXXSQSCR","DXXSQSCR","Genant SQ score","Genant semi-quantitative score","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 2"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""2994"", ""714""]; Cumulative=[""2994"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT4_H","DXXPOSTH","DXXPOSTH","Posterior height of the vertebra","Posterior height of the vertebra","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""32.9 to 82.4"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""2995"", ""713""]; Cumulative=[""2995"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT4_H","DXXANTEH","DXXANTEH","Anterior height of the vertebra","Anterior height of the vertebra","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""30.3 to 76.5"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""2995"", ""713""]; Cumulative=[""2995"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT4_H","DXXMIDH","DXXMIDH","Middle height of the vertebra","Middle height of the vertebra","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""26.8 to 67.4"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""2995"", ""713""]; Cumulative=[""2995"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT4_H","DXXWDGRT","DXXWDGRT","Amount of wedge","Amount of wedge","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.7 to 1.1"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""2995"", ""713""]; Cumulative=[""2995"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
