"Table_name","Variable","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Codebook_table"
"DXXAG_I","SEQN","SEQN","Respondent sequence number","Respondent sequence number.","Both males and females 8 YEARS - 59 YEARS",NA,NA
"DXXAG_I","DXXGPFAT","DXXGPFAT","Gynoid percent fat","Gynoid percent fat","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""11.7 to 56.2"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""5094"", ""686""]; Cumulative=[""5094"", ""5780""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXAG_I","DXXSATA","DXXSATA","Subcutaneous fat area","Subcutaneous fat area","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""19.85 to 1019.66"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""5095"", ""685""]; Cumulative=[""5095"", ""5780""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXAG_I","DXXSATM","DXXSATM","Subcutaneous fat mass","Subcutaneous fat mass","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""95.7 to 4916.06"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""5095"", ""685""]; Cumulative=[""5095"", ""5780""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXAG_I","DXXSATV","DXXSATV","Subcutaneous fat volume","Subcutaneous fat volume","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""103.46 to 5314.66"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""5095"", ""685""]; Cumulative=[""5095"", ""5780""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXAG_I","DXXTATA","DXXTATA","Total abdominal fat area","Total abdominal fat area","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""43.46 to 1229.87"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""5095"", ""685""]; Cumulative=[""5095"", ""5780""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXAG_I","DXXTATM","DXXTATM","Total abdominal fat mass","Total abdominal fat mass","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""209.53 to 5929.55"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""5095"", ""685""]; Cumulative=[""5095"", ""5780""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXAG_I","DXXTATV","DXXTATV","Total abdominal fat volume","Total abdominal fat volume","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""226.52 to 6410.33"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""5095"", ""685""]; Cumulative=[""5095"", ""5780""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXAG_I","DXXVFATA","DXXVFATA","Visceral adipose tissue area","Visceral adipose tissue area","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""0 to 376.3"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""5095"", ""685""]; Cumulative=[""5095"", ""5780""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXAG_I","DXXVFATM","DXXVFATM","Visceral adipose tissue mass","Visceral adipose tissue mass","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""0 to 1814.26"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""5095"", ""685""]; Cumulative=[""5095"", ""5780""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXAG_I","DXXVFATV","DXXVFATV","Visceral adipose tissue volume","Visceral adipose tissue volume","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""0 to 1961.36"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""5095"", ""685""]; Cumulative=[""5095"", ""5780""]; Skip.to.Item=[""NA"", ""NA""]"
