"Table_name","Variable","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Codebook_table"
"DXXT5_H","SEQN","SEQN","Sequence number","Sequence number","Both males and females 40 YEARS - 150 YEARS",NA,NA
"DXXT5_H","DXDLSPST","DXDLSPST","IVA lateral spine scan status","IVA lateral spine scan status","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""4"", ""5"", "".""]; Value.Description=[""IVA Lateral Spine scan completed, all vertebra are valid"", ""IVA Lateral Spine scan completed, but one or more vertebrae are invalid"", ""IVA Lateral Spine not scanned, pregnancy"", ""IVA Lateral Spine not scanned, weight > 450 lbs"", ""IVA Lateral Spine not scanned, other reason"", ""Missing""]; Count=[""2875"", ""455"", ""3"", ""1"", ""374"", ""0""]; Cumulative=[""2875"", ""3330"", ""3333"", ""3334"", ""3708"", ""3708""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"DXXT5_H","DXXT5CC","DXXT5CC","T5 fracture invalidity code","T5 fracture invalidity code","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", ""3"", ""4"", ""5"", ""6"", "".""]; Value.Description=[""Valid data"", ""Removable or non-removable objects"", ""Excessive x-ray noise due to morbid obesity"", ""Insufficient scan area"", ""Movement"", ""Other (degenerative diseases, spinal fusion, fractures)"", ""Missing""]; Count=[""3107"", ""1"", ""57"", ""15"", ""0"", ""150"", ""378""]; Cumulative=[""3107"", ""3108"", ""3165"", ""3180"", ""3180"", ""3330"", ""3708""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"DXXT5_H","DXXINITX","DXXINITX","x-coordinate used as center point","x-coordinate used as center point","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""86.5 to 272.1"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3110"", ""598""]; Cumulative=[""3110"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT5_H","DXXINITY","DXXINITY","y-coordinate used as center point","y-coordinate used as center point","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""21.1 to 528.2"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3110"", ""598""]; Cumulative=[""3110"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT5_H","DXXANIDX","DXXANIDX","Number of vertebra","Num of the vertebra from 0 (T4) to 12 (L4)","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", "".""]; Value.Description=[""1"", ""Missing""]; Count=[""3110"", ""598""]; Cumulative=[""3110"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT5_H","DXXLABEL","DXXLABEL","Label of the vertebra (T4 to L4)","Label of the vertebra (T4 to L4)","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""T5"", ""< blank >""]; Value.Description=[""T5"", ""Missing""]; Count=[""3110"", ""598""]; Cumulative=[""3110"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT5_H","DXXSQSCR","DXXSQSCR","Genant SQ score","Genant semi-quantitative score","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 3"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3109"", ""599""]; Cumulative=[""3109"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT5_H","DXXPOSTH","DXXPOSTH","Posterior height of the vertebra","Posterior height of the vertebra","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""34.7 to 74.2"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3110"", ""598""]; Cumulative=[""3110"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT5_H","DXXANTEH","DXXANTEH","Anterior height of the vertebra","Anterior height of the vertebra","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""27.5 to 64.9"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3110"", ""598""]; Cumulative=[""3110"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT5_H","DXXMIDH","DXXMIDH","Middle height of the vertebra","Middle height of the vertebra","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""26.6 to 63.5"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3110"", ""598""]; Cumulative=[""3110"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT5_H","DXXWDGRT","DXXWDGRT","Amount of wedge","Amount of wedge","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.7 to 1.1"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3110"", ""598""]; Cumulative=[""3110"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
