"Table_name","Variable","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Codebook_table"
"OHXPERIO","SEQN","SEQN","Respondent sequence number","Respondent sequence number.","Both males and females 12 YEARS - 150 YEARS",NA,NA
"OHXPERIO","OHAEXSTS","OHAEXSTS","Overall Oral Health Exam Status","Overall Oral Health Exam Status","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", "".""]; Value.Description=[""Completed"", ""Partial"", ""Not Done"", ""Missing""]; Count=[""4880"", ""1488"", ""390"", ""0""]; Cumulative=[""4880"", ""6368"", ""6758"", ""6758""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
"OHXPERIO","OHASCST4","OHASCST4","Periodontal Status Code","Periodontal Status Code","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", "".""]; Value.Description=[""Complete"", ""Partial"", ""Not done"", ""Missing""]; Count=[""5206"", ""60"", ""1492"", ""0""]; Cumulative=[""5206"", ""5266"", ""6758"", ""6758""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
"OHXPERIO","OHXURGIN","OHXURGIN","Gingival bleeding: URQ","Gingival bleeding sweep: Upper right quadrant","Both males and females 12 YEARS - 49 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""9"", "".""]; Value.Description=[""Gingival bleeding detected"", ""No evidence of gingival bleeding"", ""Cannot be assessed"", ""Missing""]; Count=[""880"", ""3057"", ""48"", ""2773""]; Cumulative=[""880"", ""3937"", ""3985"", ""6758""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
"OHXPERIO","OHXULGIN","OHXULGIN","Gingival bleeding: ULQ","Gingival bleeding sweep: Upper left quadrant","Both males and females 12 YEARS - 49 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""9"", "".""]; Value.Description=[""Gingival bleeding detected"", ""No evidence of gingival bleeding"", ""Cannot be assessed"", ""Missing""]; Count=[""799"", ""3136"", ""50"", ""2773""]; Cumulative=[""799"", ""3935"", ""3985"", ""6758""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
"OHXPERIO","OHXLLGIN","OHXLLGIN","Gingival bleeding: LLQ","Gingival bleeding sweep: Lower left quadrant","Both males and females 12 YEARS - 49 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""9"", "".""]; Value.Description=[""Gingival bleeding detected"", ""No evidence of gingival bleeding"", ""Cannot be assessed"", ""Missing""]; Count=[""690"", ""3258"", ""35"", ""2775""]; Cumulative=[""690"", ""3948"", ""3983"", ""6758""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
"OHXPERIO","OHXLRGIN","OHXLRGIN","Gingival bleeding: LRQ","Gingival bleeding sweep: Lower right quadrant","Both males and females 12 YEARS - 49 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""9"", "".""]; Value.Description=[""Gingival bleeding detected"", ""No evidence of gingival bleeding"", ""Cannot be assessed"", ""Missing""]; Count=[""751"", ""3196"", ""36"", ""2775""]; Cumulative=[""751"", ""3947"", ""3983"", ""6758""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
"OHXPERIO","OHD02CJM","OHD02CJM","LOA: mid-facial #2 FGM/CEJ","Loss of Attachment: Upper right 2nd molar (2M) mid-facial - FGM to CEJ measurement (mm)","Both males and females 18 YEARS - 150 YEARS",NA,"Code.or.Value=[""-9 to 3"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""1374"", ""419"", ""4965""]; Cumulative=[""1374"", ""1793"", ""6758""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPERIO","OHD02PCM","OHD02PCM","LOA: mid-facial #2 PD","Loss of Attachment: Upper right 2nd molar (2M) mid-facial - FGM to sulcus base (pocket depth) (mm)","Both males and females 18 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 10"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""1374"", ""419"", ""4965""]; Cumulative=[""1374"", ""1793"", ""6758""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPERIO","OHD02LAM","OHD02LAM","LOA: mid-facial #2 calculated LA","Loss of Attachment: Upper right 2nd molar (2M) mid-facial - Level of attachment calculation of : (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm)","Both males and females 18 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 12"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Calculation cannot be determined"", ""Missing""]; Count=[""1374"", ""419"", ""4965""]; Cumulative=[""1374"", ""1793"", ""6758""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPERIO","OHD02CJS","OHD02CJS","LOA: mesial #2 FGM/CEJ","Loss of Attachment: Upper right 2nd molar (2M) mesio-facial - FGM to CEJ measurement (mm)","Both males and females 18 YEARS - 150 YEARS",NA,"Code.or.Value=[""-7 to 4"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""1365"", ""428"", ""4965""]; Cumulative=[""1365"", ""1793"", ""6758""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPERIO","OHD02PCS","OHD02PCS","LOA: mesial #2 PD","Loss of Attachment: Upper right 2nd molar (2M) mesio-facial - FGM to sulcus base (pocket depth) (mm)","Both males and females 18 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 7"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""1365"", ""428"", ""4965""]; Cumulative=[""1365"", ""1793"", ""6758""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPERIO","OHD02LAS","OHD02LAS","LOA: mesial #2 calculated LA","Loss of Attachment: Upper right 2nd molar (2M) mesio-facial - Level of attachment calculation of : (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm)","Both males and females 18 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 12"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Calculation cannot be determined"", ""Missing""]; Count=[""1365"", ""428"", ""4965""]; Cumulative=[""1365"", ""1793"", ""6758""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPERIO","OHD03CJM","OHD03CJM","LOA: mid-facial #3 FGM/CEJ","Loss of Attachment: Upper right 1st molar (1M) mid-facial - FGM to CEJ measurement (mm)","Both males and females 18 YEARS - 150 YEARS",NA,"Code.or.Value=[""-10 to 2"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""1360"", ""434"", ""4964""]; Cumulative=[""1360"", ""1794"", ""6758""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPERIO","OHD03PCM","OHD03PCM","LOA: mid-facial #3 PD","Loss of Attachment: Upper right 1st molar (1M) mid-facial - FGM to sulcus base (pocket depth) (mm)","Both males and females 18 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 5"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""1360"", ""434"", ""4964""]; Cumulative=[""1360"", ""1794"", ""6758""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPERIO","OHD03LAM","OHD03LAM","LOA: mid-facial #3 calculated LA","Loss of Attachment: Upper right 1st molar (1M) mid-facial - Level of attachment calculation of : (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm)","Both males and females 18 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 13"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Calculation cannot be determined"", ""Missing""]; Count=[""1360"", ""434"", ""4964""]; Cumulative=[""1360"", ""1794"", ""6758""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPERIO","OHD03CJS","OHD03CJS","LOA: mesial #3 FGM/CEJ","Loss of Attachment: Upper right 1st molar (1M) mesio-facial - FGM to CEJ measurement (mm)","Both males and females 18 YEARS - 150 YEARS",NA,"Code.or.Value=[""-6 to 4"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""1361"", ""433"", ""4964""]; Cumulative=[""1361"", ""1794"", ""6758""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPERIO","OHD03PCS","OHD03PCS","LOA: mesial #3 PD","Loss of Attachment: Upper right 1st molar (1M) mesio-facial - FGM to sulcus base (pocket depth) (mm)","Both males and females 18 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 9"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""1361"", ""433"", ""4964""]; Cumulative=[""1361"", ""1794"", ""6758""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
