"Table_name","Variable","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Codebook_table"
"BAX_C","SEQN","SEQN","Respondent sequence number","Respondent sequence number.","Both males and females 40 YEARS - 150 YEARS",NA,NA
"BAX_C","BAAEXSTS","BAAEXSTS","Status of a MEC exam","Status of a MEC exam","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", "".""]; Value.Description=[""Complete"", ""Partial"", ""Not done"", ""Missing""]; Count=[""2429"", ""74"", ""583"", ""0""]; Cumulative=[""2429"", ""2503"", ""3086"", ""3086""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
"BAX_C","BAAEXCMT","BAAEXCMT","Comment code for an exam","Comment code for an exam","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""4"", ""5"", ""7"", ""72"", ""84"", ""99"", "".""]; Value.Description=[""Safety exclusion"", ""SP refusal"", ""No time"", ""Physical limitation"", ""Communication problem"", ""SP ill/emergency"", ""Error (technician/software/supply)"", ""SP With Child"", ""Other, specify"", ""Missing""]; Count=[""279"", ""145"", ""6"", ""66"", ""3"", ""8"", ""1"", ""12"", ""137"", ""2429""]; Cumulative=[""279"", ""424"", ""430"", ""496"", ""499"", ""507"", ""508"", ""520"", ""657"", ""3086""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"BAX_C","BAQ110","BAQ110","Can you stand on your own?","Can you stand on your own?","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", "".""]; Value.Description=[""Yes"", ""No"", ""Missing""]; Count=[""2650"", ""40"", ""396""]; Cumulative=[""2650"", ""2690"", ""3086""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"BAX_C","BAQ120","BAQ120","Do you have a leg brace?","Do you have a leg brace?","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", "".""]; Value.Description=[""Yes"", ""No"", ""Missing""]; Count=[""16"", ""2634"", ""436""]; Cumulative=[""16"", ""2650"", ""3086""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"BAX_C","BAQ130","BAQ130","Feeling dizzy or lightheaded now?","Are you feeling any dizziness or lightheadedness now?","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", "".""]; Value.Description=[""Yes"", ""No"", ""Missing""]; Count=[""131"", ""2503"", ""452""]; Cumulative=[""131"", ""2634"", ""3086""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"BAX_C","BAXPFC11","BAXPFC11","Cond 1 Trial 1 Feet together eyes open","Feet together eyes open:","Females only 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", "".""]; Value.Description=[""Pass"", ""Dnp(did not pass)"", ""Missing""]; Count=[""2476"", ""11"", ""599""]; Cumulative=[""2476"", ""2487"", ""3086""]; Skip.to.Item=[""BAXPFC21"", """", """"]"
"BAX_C","BAXFTC11","BAXFTC11","Cond 1 Trial 1 Failure Time(seconds)","Number of Seconds:","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""2 to 13"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""11"", ""3075""]; Cumulative=[""11"", ""3086""]; Skip.to.Item=[""NA"", ""NA""]"
"BAX_C","BAXPFC12","BAXPFC12","Cond 1 Trial 2 Feet together eyes open","Feet together eyes open:","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", "".""]; Value.Description=[""Pass"", ""Dnp(did not pass)"", ""Missing""]; Count=[""8"", ""3"", ""3075""]; Cumulative=[""8"", ""11"", ""3086""]; Skip.to.Item=[""BAXPFC21"", """", """"]"
"BAX_C","BAXFTC12","BAXFTC12","Cond 1 Trial 2 Failure Time(seconds)","Number of Seconds:","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 7"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3"", ""3083""]; Cumulative=[""3"", ""3086""]; Skip.to.Item=[""NA"", ""NA""]"
"BAX_C","BAXPFC21","BAXPFC21","Cond 2 Trial 1 Feet together eyes closed","Feet together eyes closed:","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", "".""]; Value.Description=[""Pass"", ""Dnp(did not pass)"", ""Missing""]; Count=[""2287"", ""193"", ""606""]; Cumulative=[""2287"", ""2480"", ""3086""]; Skip.to.Item=[""BAXPFC31"", """", """"]"
"BAX_C","BAXFTC21","BAXFTC21","Cond 2 Trial 1 Failure Time(seconds)","Number of Seconds:","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""1 to 14"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""193"", ""2893""]; Cumulative=[""193"", ""3086""]; Skip.to.Item=[""NA"", ""NA""]"
"BAX_C","BAXPFC22","BAXPFC22","Cond 2 Trial 2 Feet together eyes closed","Feet together eyes closed:","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", "".""]; Value.Description=[""Pass"", ""Dnp(did not pass)"", ""Missing""]; Count=[""105"", ""88"", ""2893""]; Cumulative=[""105"", ""193"", ""3086""]; Skip.to.Item=[""BAXPFC31"", """", """"]"
"BAX_C","BAXFTC22","BAXFTC22","Cond 2 Trial 2 Failure Time(seconds)","Number of Seconds:","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""1 to 14"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""88"", ""2998""]; Cumulative=[""88"", ""3086""]; Skip.to.Item=[""NA"", ""NA""]"
"BAX_C","BAXPFC31","BAXPFC31","Cond 3 Trial 1 Foam Pad Eyes Open","Feet together eyes open:","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", "".""]; Value.Description=[""Pass"", ""Dnp(did not pass)"", ""Missing""]; Count=[""2277"", ""94"", ""715""]; Cumulative=[""2277"", ""2371"", ""3086""]; Skip.to.Item=[""BAXPFC41"", """", """"]"
"BAX_C","BAXFTC31","BAXFTC31","Cond 3 Trial 1 Failure Time(seconds)","Number of Seconds:","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 28"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""93"", ""2993""]; Cumulative=[""93"", ""3086""]; Skip.to.Item=[""NA"", ""NA""]"
"BAX_C","BAXPFC32","BAXPFC32","Cond 3 Trial 2 Foam Pad Eyes Open","Feet together eyes open:","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", "".""]; Value.Description=[""Pass"", ""Dnp(did not pass)"", ""Missing""]; Count=[""36"", ""47"", ""3003""]; Cumulative=[""36"", ""83"", ""3086""]; Skip.to.Item=[""BAXPFC41"", """", """"]"
"BAX_C","BAXFTC32","BAXFTC32","Cond 3 Trial 2 Failure Time(seconds)","Number of Seconds:","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 28"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""44"", ""3042""]; Cumulative=[""44"", ""3086""]; Skip.to.Item=[""NA"", ""NA""]"
"BAX_C","BAXPFC41","BAXPFC41","Cond 4 Trial 1 Foam Pad Eyes Closed","Feet together eyes closed:","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", "".""]; Value.Description=[""Pass"", ""Dnp(did not pass)"", ""Missing""]; Count=[""884"", ""1426"", ""776""]; Cumulative=[""884"", ""2310"", ""3086""]; Skip.to.Item=[""End of Section"", """", """"]"
