"Table_name","Variable","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Codebook_table"
"BPXO_L","SEQN","SEQN","Respondent sequence number","Respondent sequence number.","Both males and females 8 YEARS - 150 YEARS",NA,NA
"BPXO_L","BPAOARM","BPAOARM","Arm selected - oscillometric","Arm selected - oscillometric","Both males and females 8 YEARS - 150 YEARS",NA,"Code.or.Value=[""L"", ""R"", ""< blank >""]; Value.Description=[""Left"", ""Right"", ""Missing""]; Count=[""51"", ""7603"", ""147""]; Cumulative=[""51"", ""7654"", ""7801""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"BPXO_L","BPAOCSZ","BPAOCSZ","Coded cuff size - oscillometric","Mid arm circumference (cm) cuffing parameters - oscillometric","Both males and females 8 YEARS - 150 YEARS",NA,"Code.or.Value=[""2"", ""3"", ""4"", ""5"", "".""]; Value.Description=[""17-21.9 (bladder size = 9.20 x 16.68 cm)"", ""22-31.9 (bladder size = 12.49 x 23.52 cm)"", ""32-41.9 (bladder size = 14.98 x 31.19 cm)"", ""42-50 (bladder size = 17.98 x 37.89 cm)"", ""Missing""]; Count=[""330"", ""3404"", ""3442"", ""435"", ""190""]; Cumulative=[""330"", ""3734"", ""7176"", ""7611"", ""7801""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"BPXO_L","BPXOSY1","BPXOSY1","Systolic - 1st oscillometric reading","Systolic - 1st oscillometric reading","Both males and females 8 YEARS - 150 YEARS",NA,"Code.or.Value=[""61 to 232"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""7517"", ""284""]; Cumulative=[""7517"", ""7801""]; Skip.to.Item=[""NA"", ""NA""]"
"BPXO_L","BPXODI1","BPXODI1","Diastolic - 1st oscillometric reading","Diastolic - 1st oscillometric reading","Both males and females 8 YEARS - 150 YEARS",NA,"Code.or.Value=[""33 to 142"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""7517"", ""284""]; Cumulative=[""7517"", ""7801""]; Skip.to.Item=[""NA"", ""NA""]"
"BPXO_L","BPXOSY2","BPXOSY2","Systolic - 2nd oscillometric reading","Systolic - 2nd oscillometric reading","Both males and females 8 YEARS - 150 YEARS",NA,"Code.or.Value=[""59 to 233"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""7505"", ""296""]; Cumulative=[""7505"", ""7801""]; Skip.to.Item=[""NA"", ""NA""]"
"BPXO_L","BPXODI2","BPXODI2","Diastolic - 2nd oscillometric reading","Diastolic - 2nd oscillometric reading","Both males and females 8 YEARS - 150 YEARS",NA,"Code.or.Value=[""32 to 139"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""7505"", ""296""]; Cumulative=[""7505"", ""7801""]; Skip.to.Item=[""NA"", ""NA""]"
"BPXO_L","BPXOSY3","BPXOSY3","Systolic - 3rd oscillometric reading","Systolic - 3rd oscillometric reading","Both males and females 8 YEARS - 150 YEARS",NA,"Code.or.Value=[""50 to 232"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""7480"", ""321""]; Cumulative=[""7480"", ""7801""]; Skip.to.Item=[""NA"", ""NA""]"
"BPXO_L","BPXODI3","BPXODI3","Diastolic - 3rd oscillometric reading","Diastolic - 3rd oscillometric reading","Both males and females 8 YEARS - 150 YEARS",NA,"Code.or.Value=[""24 to 136"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""7480"", ""321""]; Cumulative=[""7480"", ""7801""]; Skip.to.Item=[""NA"", ""NA""]"
"BPXO_L","BPXOPLS1","BPXOPLS1","Pulse - 1st oscillometric reading","Pulse - 1st oscillometric reading","Both males and females 8 YEARS - 150 YEARS",NA,"Code.or.Value=[""35 to 158"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""7517"", ""284""]; Cumulative=[""7517"", ""7801""]; Skip.to.Item=[""NA"", ""NA""]"
"BPXO_L","BPXOPLS2","BPXOPLS2","Pulse - 2nd oscillometric reading","Pulse - 2nd oscillometric reading","Both males and females 8 YEARS - 150 YEARS",NA,"Code.or.Value=[""32 to 141"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""7505"", ""296""]; Cumulative=[""7505"", ""7801""]; Skip.to.Item=[""NA"", ""NA""]"
"BPXO_L","BPXOPLS3","BPXOPLS3","Pulse - 3rd oscillometric reading","Pulse - 3rd oscillometric reading","Both males and females 8 YEARS - 150 YEARS",NA,"Code.or.Value=[""31 to 154"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""7480"", ""321""]; Cumulative=[""7480"", ""7801""]; Skip.to.Item=[""NA"", ""NA""]"
