"Tabela","Variavel","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Tabela_Valores"
"DXXFEM_H","SEQN","SEQN","Respondent sequence number","Respondent sequence number.","Both males and females 40 YEARS - 150 YEARS",NA,NA
"DXXFEM_H","DXAFMRST","DXAFMRST","Femur scan status","Femur scan status ","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""4"", ""5"", "".""]; Value.Description=[""Femur scan completed, all data are valid"", ""Femur scan completed, but all data are invalid"", ""Femur not scanned, pregnant"", ""Femur not scanned, weight > 450 lbs"", ""Femur not scanned, other reason"", ""Missing""]; Count=[""3126"", ""177"", ""3"", ""1"", ""401"", ""0""]; Cumulative=[""3126"", ""3303"", ""3306"", ""3307"", ""3708"", ""3708""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"DXXFEM_H","DXXFMBCC","DXXFMBCC","Total femur BMD invalidity code","Total femur BMD invalidity code","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", ""3"", ""4"", ""5"", ""6"", "".""]; Value.Description=[""Valid data"", ""Removable or non-removable objects"", ""Excessive x-ray noise due to obesity"", ""Body parts out of scan region"", ""Positioning problem"", ""Other (includes panniculus, participant motion, unknown artifact)"", ""Missing""]; Count=[""3126"", ""4"", ""0"", ""3"", ""0"", ""170"", ""405""]; Cumulative=[""3126"", ""3130"", ""3130"", ""3133"", ""3133"", ""3303"", ""3708""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"DXXFEM_H","DXXOFBMD","DXXOFBMD","Total femur BMD","Total femur BMD","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.362 to 1.563"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3126"", ""582""]; Cumulative=[""3126"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXFEM_H","DXXOFBMC","DXXOFBMC","Total femur BMC","Total femur BMC","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""12.7 to 79.51"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3126"", ""582""]; Cumulative=[""3126"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXFEM_H","DXXOFA","DXXOFA","Total femur area","Total femur area","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""23.88 to 83.09"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3126"", ""582""]; Cumulative=[""3126"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXFEM_H","DXXNKBMD","DXXNKBMD","Femoral neck BMD","Femoral neck BMD","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.386 to 1.361"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3126"", ""582""]; Cumulative=[""3126"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXFEM_H","DXXNKBMC","DXXNKBMC","Femoral neck BMC","Femoral neck BMC","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""1.72 to 8.11"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3126"", ""582""]; Cumulative=[""3126"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXFEM_H","DXXNKA","DXXNKA","Femoral neck area","Femoral neck area","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""3.08 to 7.1"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3126"", ""582""]; Cumulative=[""3126"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXFEM_H","DXXTRBMD","DXXTRBMD","Trochanter BMD","Trochanter BMD","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.291 to 1.216"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3126"", ""582""]; Cumulative=[""3126"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXFEM_H","DXXTRBMC","DXXTRBMC","Trochanter BMC","Trochanter BMC","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""3.3 to 20.45"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3126"", ""582""]; Cumulative=[""3126"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXFEM_H","DXXTRA","DXXTRA","Trochanter area","Trochanter area","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""6.77 to 22.47"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3126"", ""582""]; Cumulative=[""3126"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
