"Tabela","Variavel","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Tabela_Valores"
"DXXFRX_H","SEQN","SEQN","Respondent sequence number","Respondent sequence number.","Both males and females 40 YEARS - 150 YEARS",NA,NA
"DXXFRX_H","DXXPRVFX","DXXPRVFX","Self-reported fracture age 20+","Previous self-reported fracture after age 20","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", "".""]; Value.Description=[""Yes"", ""No"", ""Missing""]; Count=[""1070"", ""2623"", ""15""]; Cumulative=[""1070"", ""3693"", ""3708""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"DXXFRX_H","DXXFRAX1","DXXFRAX1","Hip FRAX previous fracture","10-year hip fracture risk score assuming previous fracture","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 53.08"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3127"", ""581""]; Cumulative=[""3127"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXFRX_H","DXXFRAX2","DXXFRAX2","Major FRAX previous fracture","10-year major osteoporotic fracture risk score assuming previous fracture","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""1.32 to 64.78"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3127"", ""581""]; Cumulative=[""3127"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXFRX_H","DXXFRAX3","DXXFRAX3","Hip FRAX no previous fracture","10-year hip fracture risk score assuming no previous fracture","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 29.03"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""2258"", ""1450""]; Cumulative=[""2258"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXFRX_H","DXXFRAX4","DXXFRAX4","Major FRAX no previous fracture","10-year major osteoporotic fracture risk score assuming no previous fracture","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.67 to 39.82"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""2258"", ""1450""]; Cumulative=[""2258"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
