"Tabela","Variavel","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Tabela_Valores"
"DXXT6_H","SEQN","SEQN","Sequence number","Sequence number","Both males and females 40 YEARS - 150 YEARS",NA,NA
"DXXT6_H","DXDLSPST","DXDLSPST","IVA lateral spine scan status","IVA lateral spine scan status","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""4"", ""5"", "".""]; Value.Description=[""IVA Lateral Spine scan completed, all vertebra are valid"", ""IVA Lateral Spine scan completed, but one or more vertebrae are invalid"", ""IVA Lateral Spine not scanned, pregnancy"", ""IVA Lateral Spine not scanned, weight > 450 lbs"", ""IVA Lateral Spine not scanned, other reason"", ""Missing""]; Count=[""2875"", ""455"", ""3"", ""1"", ""374"", ""0""]; Cumulative=[""2875"", ""3330"", ""3333"", ""3334"", ""3708"", ""3708""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"DXXT6_H","DXXT6CC","DXXT6CC","T6 fracture invalidity code","T6 fracture invalidity code","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", ""3"", ""4"", ""5"", ""6"", "".""]; Value.Description=[""Valid data"", ""Removable or non-removable objects"", ""Excessive x-ray noise due to morbid obesity"", ""Insufficient scan area"", ""Movement"", ""Other (degenerative diseases, spinal fusion, fractures)"", ""Missing""]; Count=[""3194"", ""1"", ""39"", ""2"", ""0"", ""94"", ""378""]; Cumulative=[""3194"", ""3195"", ""3234"", ""3236"", ""3236"", ""3330"", ""3708""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"DXXT6_H","DXXINITX","DXXINITX","x-coordinate used as center point","x-coordinate used as center point","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""72.5 to 264.5"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3195"", ""513""]; Cumulative=[""3195"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT6_H","DXXINITY","DXXINITY","y-coordinate used as center point","y-coordinate used as center point","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""39.3 to 592"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3195"", ""513""]; Cumulative=[""3195"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT6_H","DXXANIDX","DXXANIDX","Number of vertebra","Num of the vertebra from 0 (T4) to 12 (L4)","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""2"", "".""]; Value.Description=[""2"", ""Missing""]; Count=[""3195"", ""513""]; Cumulative=[""3195"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT6_H","DXXLABEL","DXXLABEL","Label of the vertebra (T4 to L4)","Label of the vertebra (T4 to L4)","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""T6"", ""< blank >""]; Value.Description=[""T6"", ""Missing""]; Count=[""3195"", ""513""]; Cumulative=[""3195"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT6_H","DXXSQSCR","DXXSQSCR","Genant SQ score","Genant semi-quantitative score","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 3"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3195"", ""513""]; Cumulative=[""3195"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT6_H","DXXPOSTH","DXXPOSTH","Posterior height of the vertebra","Posterior height of the vertebra","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""35.7 to 69.5"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3195"", ""513""]; Cumulative=[""3195"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT6_H","DXXANTEH","DXXANTEH","Anterior height of the vertebra","Anterior height of the vertebra","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""27.4 to 65.5"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3195"", ""513""]; Cumulative=[""3195"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT6_H","DXXMIDH","DXXMIDH","Middle height of the vertebra","Middle height of the vertebra","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""26.8 to 64.1"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3195"", ""513""]; Cumulative=[""3195"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT6_H","DXXWDGRT","DXXWDGRT","Amount of wedge","Amount of wedge","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.6 to 1.1"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3195"", ""513""]; Cumulative=[""3195"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
