"Table_name","Variable","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Codebook_table"
"ENX_F","SEQN","SEQN","Respondent sequence number","Respondent sequence number","Both males and females 6 YEARS - 79 YEARS",NA,NA
"ENX_F","ENXSTAT","ENXSTAT","Status code for ENO exam","Status code for ENO exam","Both males and females 6 YEARS - 79 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""4"", ""5"", "".""]; Value.Description=[""Two reproducible FENO measurements"", ""One or more FENO measurement; not reproducible"", ""Attempted exam; no FENO measurements"", ""Medical exclusion; no FENO measurements"", ""Exam not done; no FENO measurements"", ""Missing""]; Count=[""7087"", ""89"", ""372"", ""182"", ""465"", ""0""]; Cumulative=[""7087"", ""7176"", ""7548"", ""7730"", ""8195"", ""8195""]; Skip.to.Item=["""", """", """", """", ""ENXCMT"", """"]"
"ENX_F","ENXCMT","ENXCMT","Comment for ENO exams not done","Comment for ENO exams not done","Both males and females 6 YEARS - 79 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""14"", ""56"", ""84"", ""99"", "".""]; Value.Description=[""Safety exclusion"", ""SP refusal"", ""No time"", ""Physical limitation"", ""Communication problem"", ""Equipment failure"", ""SP ill/emergency"", ""Interrupted"", ""Came late/left early"", ""SP with child"", ""Other"", ""Missing""]; Count=[""6"", ""65"", ""8"", ""21"", ""38"", ""21"", ""12"", ""1"", ""259"", ""24"", ""10"", ""7730""]; Cumulative=[""6"", ""71"", ""79"", ""100"", ""138"", ""159"", ""171"", ""172"", ""431"", ""455"", ""465"", ""8195""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"ENX_F","ENQ010","ENQ010","Breathing problem require oxygen?","Medical Exclusion Question","Both males and females 6 YEARS - 79 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""47"", ""7679"", ""1"", ""3"", ""465""]; Cumulative=[""47"", ""7726"", ""7727"", ""7730"", ""8195""]; Skip.to.Item=[""End of Section"", """", ""End of Section"", ""End of Section"", """"]"
"ENX_F","ENQ020","ENQ020","Problem taking deep breath?","Medical Exclusion Question","Both males and females 6 YEARS - 79 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""126"", ""7548"", ""0"", ""5"", ""516""]; Cumulative=[""126"", ""7674"", ""7674"", ""7679"", ""8195""]; Skip.to.Item=[""End of Section"", """", ""End of Section"", ""End of Section"", """"]"
"ENX_F","ENQ040","ENQ040","Smoked last hour?","Within the last hour have you smoked a cigarette cigar pipe  or used any other tobacco product?","Both males and females 16 YEARS - 79 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""341"", ""5227"", ""0"", ""0"", ""2627""]; Cumulative=[""341"", ""5568"", ""5568"", ""5568"", ""8195""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"ENX_F","ENQ050","ENQ050","Exercised strenuously last hour?","[Within the last hour] have you exercised strenuously?","Both males and females 12 YEARS - 79 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""80"", ""6100"", ""0"", ""0"", ""2015""]; Cumulative=[""80"", ""6180"", ""6180"", ""6180"", ""8195""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"ENX_F","ENQ060","ENQ060","Ate or drink last hour?","[Within the last hour] have you had anything to eat or drink?","Both males and females 12 YEARS - 79 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""3714"", ""2466"", ""0"", ""0"", ""2015""]; Cumulative=[""3714"", ""6180"", ""6180"", ""6180"", ""8195""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"ENX_F","ENQ070","ENQ070","Ate NO-rich vegetables 3 hours?","Within the last three hours have you eaten beets broccoli cabbage celery lettuce spinach or radishes?","Both males and females 12 YEARS - 79 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""267"", ""5912"", ""0"", ""1"", ""2015""]; Cumulative=[""267"", ""6179"", ""6179"", ""6180"", ""8195""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"ENX_F","ENQ080","ENQ080","Ate NO-rich rich meats 3 hours?","Within the last three hours have you eaten bacon ham hot dogs or smoked fish?","Both males and females 12 YEARS - 79 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""247"", ""5933"", ""0"", ""0"", ""2015""]; Cumulative=[""247"", ""6180"", ""6180"", ""6180"", ""8195""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"ENX_F","ENQ090","ENQ090","Used oral or inhaled steroids 2 days?","Within the last two days {have you/has SP} used any oral or inhaled steroids? This list provides some examples","Both males and females 6 YEARS - 79 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""296"", ""6877"", ""0"", ""3"", ""1019""]; Cumulative=[""296"", ""7173"", ""7173"", ""7176"", ""8195""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"ENX_F","ENQ100","ENQ100","Cough cold resp illness 7 days?","In the past 7 days {have you/has SP} had a cough cold phlegm runny nose or other respiratory illness? Do not count allergies or hay fever","Both males and females 6 YEARS - 79 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""1467"", ""5702"", ""0"", ""7"", ""1019""]; Cumulative=[""1467"", ""7169"", ""7169"", ""7176"", ""8195""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"ENX_F","ENAATMPT","ENAATMPT","Total number of exhalation attempts","Enter total number of attempts","Both males and females 6 YEARS - 79 YEARS",NA,"Code.or.Value=[""1 to 10"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""7548"", ""647""]; Cumulative=[""7548"", ""8195""]; Skip.to.Item=[""NA"", ""NA""]"
