"Table_name","Variable","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Codebook_table"
"DXXAG_H","SEQN","SEQN","Respondent sequence number","Respondent sequence number.","Both males and females 8 YEARS - 59 YEARS",NA,NA
"DXXAG_H","DXXAGST","DXXAGST","Android/gynoid region status","Android/gynoid region status","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""4"", ""5"", ""6"", "".""]; Value.Description=[""Whole body scan completed; android/gynoid region is valid"", ""Whole body scan completed, but android or gynoid region is invalid"", ""Whole body not scanned, pregnancy"", ""Whole body not scanned, weight > 450 lbs"", ""Whole body not scanned, height > 6'5”"", ""Whole body not scanned, other reason"", ""Missing""]; Count=[""5417"", ""31"", ""65"", ""2"", ""7"", ""511"", ""0""]; Cumulative=[""5417"", ""5448"", ""5513"", ""5515"", ""5522"", ""6033"", ""6033""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"DXXAG_H","DXXVATV","DXXVATV","VAT and SAT invalidity code","VAT and SAT invalidity code","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""0"", ""1"", "".""]; Value.Description=[""Valid"", ""Invalid"", ""Missing""]; Count=[""5427"", ""21"", ""585""]; Cumulative=[""5427"", ""5448"", ""6033""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"DXXAG_H","DXXANTV","DXXANTV","Android region invalidity code","Android region invalidity code","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""0"", ""1"", "".""]; Value.Description=[""Valid"", ""Invalid"", ""Missing""]; Count=[""5425"", ""23"", ""585""]; Cumulative=[""5425"", ""5448"", ""6033""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"DXXAG_H","DXXGYTV","DXXGYTV","Gynoid region invalidity code","Gynoid region invalidity code","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""0"", ""1"", "".""]; Value.Description=[""Valid"", ""Invalid"", ""Missing""]; Count=[""5426"", ""22"", ""585""]; Cumulative=[""5426"", ""5448"", ""6033""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"DXXAG_H","DXXANFM","DXXANFM","Android fat mass","Android fat mass","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""158.8 to 10155.1"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""5425"", ""608""]; Cumulative=[""5425"", ""6033""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXAG_H","DXXANLM","DXXANLM","Android lean mass","Android lean mass","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""664.3 to 10793.8"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""5425"", ""608""]; Cumulative=[""5425"", ""6033""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXAG_H","DXXANTOM","DXXANTOM","Android total mass","Android total mass","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""835.8 to 19994.4"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""5425"", ""608""]; Cumulative=[""5425"", ""6033""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXAG_H","DXXGYFM","DXXGYFM","Gynoid fat mass","Gynoid fat mass","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""443.1 to 14227.3"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""5426"", ""607""]; Cumulative=[""5426"", ""6033""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXAG_H","DXXGYLM","DXXGYLM","Gynoid lean mass","Gynoid lean mass","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""1409.3 to 18187.1"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""5426"", ""607""]; Cumulative=[""5426"", ""6033""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXAG_H","DXXGYTOM","DXXGYTOM","Gynoid total mass","Gynoid total mass","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""1852.5 to 30962.4"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""5426"", ""607""]; Cumulative=[""5426"", ""6033""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXAG_H","DXXAGRAT","DXXAGRAT","Android to Gynoid ratio","Android to gynoid ratio","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""0.4 to 1.8"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""5417"", ""616""]; Cumulative=[""5417"", ""6033""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXAG_H","DXXAPFAT","DXXAPFAT","Android percent fat","Android percent fat","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""11.4 to 58.5"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""5425"", ""608""]; Cumulative=[""5425"", ""6033""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXAG_H","DXXGPFAT","DXXGPFAT","Gynoid percent fat","Gynoid percent fat","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""12.8 to 58.6"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""5426"", ""607""]; Cumulative=[""5426"", ""6033""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXAG_H","DXXSATA","DXXSATA","Subcutaneous fat area","Subcutaneous fat area","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""17.84 to 1058.15"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""5427"", ""606""]; Cumulative=[""5427"", ""6033""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXAG_H","DXXSATM","DXXSATM","Subcutaneous fat mass","Subcutaneous fat mass","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""85.99 to 5101.63"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""5427"", ""606""]; Cumulative=[""5427"", ""6033""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXAG_H","DXXSATV","DXXSATV","Subcutaneous fat volume","Subcutaneous fat volume","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""92.96 to 5515.27"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""5427"", ""606""]; Cumulative=[""5427"", ""6033""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXAG_H","DXXTATA","DXXTATA","Total abdominal fat area","Total abdominal fat area","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""38.75 to 1210.84"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""5427"", ""606""]; Cumulative=[""5427"", ""6033""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXAG_H","DXXTATM","DXXTATM","Total abdominal fat mass","Total abdominal fat mass","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""186.81 to 5837.8"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""5427"", ""606""]; Cumulative=[""5427"", ""6033""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXAG_H","DXXTATV","DXXTATV","Total abdominal fat volume","Total abdominal fat volume","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""201.95 to 6311.13"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""5427"", ""606""]; Cumulative=[""5427"", ""6033""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXAG_H","DXXVFATA","DXXVFATA","Visceral adipose tissue area","Visceral adipose tissue area","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""0 to 388.3"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""5427"", ""606""]; Cumulative=[""5427"", ""6033""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXAG_H","DXXVFATM","DXXVFATM","Visceral adipose tissue mass","Visceral adipose tissue mass","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""0 to 1872.08"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""5427"", ""606""]; Cumulative=[""5427"", ""6033""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXAG_H","DXXVFATV","DXXVFATV","Visceral adipose tissue volume","Visceral adipose tissue volume","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""0 to 2023.87"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""5427"", ""606""]; Cumulative=[""5427"", ""6033""]; Skip.to.Item=[""NA"", ""NA""]"
