"Table_name","Variable","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Codebook_table"
"DXX_G","SEQN","SEQN","Respondent sequence number","Respondent sequence number","Both males and females 8 YEARS - 59 YEARS",NA,NA
"DXX_G","DXAEXSTS","DXAEXSTS","Exam Status","Exam Status","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""4"", ""5"", ""6"", "".""]; Value.Description=[""Whole body scan completed"", ""Whole body scan completed, but  invalid"", ""Whole body not scanned, pregnancy"", ""Whole body not scanned, weight > 450 lbs"", ""Whole body not scanned,  height > 6'5"", ""Whole body not scanned, other reason"", ""Missing""]; Count=[""4749"", ""3"", ""57"", ""1"", ""9"", ""873"", ""0""]; Cumulative=[""4749"", ""4752"", ""4809"", ""4810"", ""4819"", ""5692"", ""5692""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"DXX_G","DXAHEBV","DXAHEBV","Head Bone Invalidity Code","Head Bone Invalidity Code","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""."", ""0"", ""1"", ""5"", ""6"", ""7""]; Value.Description=[""Missing"", ""Valid data"", ""Removable or non-removable objects"", ""Body parts out of scan region"", ""Positioning problem"", ""Other""]; Count=[""943"", ""4725"", ""18"", ""0"", ""5"", ""1""]; Cumulative=[""5692"", ""4725"", ""4743"", ""4743"", ""4748"", ""4749""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"DXX_G","DXXHEA","DXXHEA","Head Area (cm^2)","Head Area (cm^2)","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""170.62 to 298.71"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4725"", ""967""]; Cumulative=[""4725"", ""5692""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_G","DXXHEBMC","DXXHEBMC","Head Bone Mineral Content (g)","Head Bone Mineral Content (grams)","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""180.53 to 909.31"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4725"", ""967""]; Cumulative=[""4725"", ""5692""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_G","DXXHEBMD","DXXHEBMD","Head Bone Mineral Density (g/cm^2)","Head Bone Mineral Density (grams/cm^2)","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""0.9 to 3.786"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4725"", ""967""]; Cumulative=[""4725"", ""5692""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_G","DXAHETV","DXAHETV","Head Tissue Invalidity Code","Head Tissue Invalidity Code","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""0"", ""1"", ""5"", ""6"", ""7"", "".""]; Value.Description=[""Valid data"", ""Removable or non-removable objects"", ""Body parts out of scan region"", ""Positioning problem"", ""Other"", ""Missing""]; Count=[""4725"", ""18"", ""0"", ""5"", ""1"", ""943""]; Cumulative=[""4725"", ""4743"", ""4743"", ""4748"", ""4749"", ""5692""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"DXX_G","DXXHEFAT","DXXHEFAT","Head Fat (g)","Head Fat (grams)","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""615.6 to 3007"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4725"", ""967""]; Cumulative=[""4725"", ""5692""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_G","DXDHELE","DXDHELE","Head Lean excl BMC (g)","Head Lean excl Bone Mineral Content (grams)","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""1705 to 5988.6"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4725"", ""967""]; Cumulative=[""4725"", ""5692""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_G","DXXHELI","DXXHELI","Head Lean incl BMC (g)","Head Lean incl Bone Mineral Content (grams)","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""1929.6 to 6568.1"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4725"", ""967""]; Cumulative=[""4725"", ""5692""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_G","DXDHETOT","DXDHETOT","Head Total (g)","Head Total (grams)","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""2545.2 to 9575.1"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4725"", ""967""]; Cumulative=[""4725"", ""5692""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_G","DXDHEPF","DXDHEPF","Head Percent Fat","Head Percent Fat","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""22.1 to 31.4"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4725"", ""967""]; Cumulative=[""4725"", ""5692""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_G","DXALABV","DXALABV","Left Arm Bone Invalidity Code","Left Arm Bone Invalidity Code","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""0"", ""1"", ""4"", ""5"", ""6"", ""7"", "".""]; Value.Description=[""Valid data"", ""Removable or non-removable objects"", ""Arm/leg overlap"", ""Body parts out of scan region"", ""Positioning problem"", ""Other"", ""Missing""]; Count=[""4681"", ""28"", ""11"", ""20"", ""7"", ""2"", ""943""]; Cumulative=[""4681"", ""4709"", ""4720"", ""4740"", ""4747"", ""4749"", ""5692""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"DXX_G","DXXLAA","DXXLAA","Left Arm Area (cm^2)","Left Arm Area (cm^2)","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""69.89 to 386.5"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4682"", ""1010""]; Cumulative=[""4682"", ""5692""]; Skip.to.Item=[""NA"", ""NA""]"
