Title,Description,Module_Name,Document,Link
Interview,,Interviewer Procedure Manual,[PDF - 47.2 MB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2019/manuals/2020-Interviewer-Procedures-Manual-508.pdf
Interview,,MEC Interviewers Procedures Manual,[PDF - 11.9 MB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2019/manuals/2020-MEC-Interviewers-Procedures-Manual-508.pdf
Laboratory,,Laboratory Procedures Manual,[PDF - 15.2 MB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2019/manuals/2020-MEC-Laboratory-Procedures-Manual-508.pdf
Examination,,Anthropometry (Body Measures),[PDF - 5.21 MB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2019/manuals/2020-Anthropometry-Procedures-Manual-508.pdf
Examination,,Audiometry,[PDF - 17.7 MB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2019/manuals/2019-Audiometry-Procedures-Manual-508.pdf
Examination,,Balance,[PDF - 10.1 MB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2019/manuals/2020-Balance-Procedures-Manual-508.pdf
Examination,,Blood Pressure,[PDF - 6.15 MB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2019/manuals/2019-Blood-Pressure-Procedures-Manual-508.pdf
Examination,,Body Composition,[PDF - 6.60 MB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2019/manuals/2019-2020-Body-Composition-Procedures-Manual-508.pdf
Examination,,Dietary Interviewer - In-Person,[PDF - 11.2 MB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2019/manuals/2019-MEC-In-Person-Dietary-Interviewers-Manual-508.pdf
Examination,,Dietary Interviewer – Phone Follow-Up,[PDF - 11.2 MB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2019/manuals/2020-Phone-Follow-Up-Dietary-Manual-508.pdf
Examination,,Liver Ultrasound Transient Elastography,[PDF - 5.38 MB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2019/manuals/2020-Liver-Ultrasound-Transient-Elastography-Procedures-Manual-508.pdf
Examination,,Oral Health Examiners,[PDF - 5.55 MB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2019/manuals/2020-Oral-Health-Examiners-Manual-508.pdf
Examination,,Oral Health Recorders,[PDF - 2.0 MB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2019/manuals/2020-Oral-Health-Recorders-Manual-508.pdf
Examination,,Physician Examination,[PDF - 6.6 MB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2019/manuals/2020-Physician-Examination-Manual-508.pdf
