Lab Method Name,Documentation,Release Date,PDF Link
Albumin,[PDF - 951 KB],August 2021,https://wwwn.cdc.gov/nchs/data/nhanes/public/2019/labmethods/ALB-CR-K-MET-Urine-Albumin-508.pdf
Anti-Müllerian Hormone,[PDF - 921 KB],December 2021,https://wwwn.cdc.gov/nchs/data/nhanes/public/2019/labmethods/TST-K-R-AMH-MET-508.pdf
"Arsenic, Chromium, and Nickel - Urine",[PDF - 2.96 MB],November 2021,https://wwwn.cdc.gov/nchs/data/nhanes/public/2019/labmethods/UTAS-UCM-UNI-K-MET-508.pdf
Arsenics - Speciated - Urine,[PDF - 3.73 MB],November 2021,https://wwwn.cdc.gov/nchs/data/nhanes/public/2019/labmethods/UAS-K-MET-508.pdf
BIOPRO - Alanine Amino Transferase (ALT),[PDF - 874 KB],August 2021,https://wwwn.cdc.gov/nchs/data/nhanes/public/2019/labmethods/BIOPRO-K-MET-ALT-508.pdf
BIOPRO - Albumin,[PDF - 296 KB],August 2021,https://wwwn.cdc.gov/nchs/data/nhanes/public/2019/labmethods/BIOPRO-K-MET-Albumin-508.pdf
BIOPRO - Alkaline Phosphatase (ALP),[PDF - 872 KB],August 2021,https://wwwn.cdc.gov/nchs/data/nhanes/public/2019/labmethods/BIOPRO-K-MET-ALP-508.pdf
BIOPRO - Aspartate Aminotransferase (AST),[PDF - 879 KB],August 2021,https://wwwn.cdc.gov/nchs/data/nhanes/public/2019/labmethods/BIOPRO-K-MET-AST-508.pdf
BIOPRO - Bicarbonate (HCO3),[PDF - 921 KB],August 2021,https://wwwn.cdc.gov/nchs/data/nhanes/public/2019/labmethods/BIOPRO-K-MET-Bicarbonate-508.pdf
BIOPRO - Blood Urea Nitrogen (BUN),[PDF - 872 KB],August 2021,https://wwwn.cdc.gov/nchs/data/nhanes/public/2019/labmethods/BIOPRO-K-MET-BUN-508.pdf
BIOPRO - Chloride,[PDF - 887 KB],August 2021,https://wwwn.cdc.gov/nchs/data/nhanes/public/2019/labmethods/BIOPRO-K-MET-Chloride-508.pdf
BIOPRO - Creatine Phosphokinase (CPK),[PDF - 872 KB],August 2021,https://wwwn.cdc.gov/nchs/data/nhanes/public/2019/labmethods/BIOPRO-K-MET-CPK-508.pdf
BIOPRO - Creatinine,[PDF - 905 KB],August 2021,https://wwwn.cdc.gov/nchs/data/nhanes/public/2019/labmethods/BIOPRO-K-MET-Creatinine-508.pdf
BIOPRO - Gamma-Glutamyl Transferase (GGT),[PDF - 893 KB],August 2021,https://wwwn.cdc.gov/nchs/data/nhanes/public/2019/labmethods/BIOPRO-K-MET-GGT-508.pdf
BIOPRO - Glucose - Serum - Refrigerated,[PDF - 900 KB],August 2021,https://wwwn.cdc.gov/nchs/data/nhanes/public/2019/labmethods/BIOPRO-K-MET-Glucose-508.pdf
BIOPRO - Iron - Refrigerated,[PDF - 899 KB],August 2021,https://wwwn.cdc.gov/nchs/data/nhanes/public/2019/labmethods/BIOPRO-K-MET-Iron-508.pdf
BIOPRO - Lactate Dehydrogenase (LDH),[PDF - 898 KB],August 2021,https://wwwn.cdc.gov/nchs/data/nhanes/public/2019/labmethods/BIOPRO-K-MET-LDH-508.pdf
BIOPRO - Phosphorus,[PDF - 918 KB],August 2021,https://wwwn.cdc.gov/nchs/data/nhanes/public/2019/labmethods/BIOPRO-K-MET-Phosphorus-508.pdf
BIOPRO - Potassium,[PDF - 869 KB],August 2021,https://wwwn.cdc.gov/nchs/data/nhanes/public/2019/labmethods/BIOPRO-K-MET-Potassium-508.pdf
BIOPRO - Sodium,[PDF - 877 KB],August 2021,https://wwwn.cdc.gov/nchs/data/nhanes/public/2019/labmethods/BIOPRO-K-MET-Sodium-508.pdf
BIOPRO - Total Bilirubin,[PDF - 891 KB],August 2021,https://wwwn.cdc.gov/nchs/data/nhanes/public/2019/labmethods/BIOPRO-K-MET-Total Bilirubin-508.pdf
BIOPRO - Total Calcium,[PDF - 875 KB],August 2021,https://wwwn.cdc.gov/nchs/data/nhanes/public/2019/labmethods/BIOPRO-K-MET-Total Calcium-508.pdf
BIOPRO - Total Cholesterol - Refrigerated,[PDF - 881 KB],August 2021,https://wwwn.cdc.gov/nchs/data/nhanes/public/2019/labmethods/BIOPRO-K-MET-Total Cholesterol-508.pdf
BIOPRO - Total Protein,[PDF - 898 KB],August 2021,https://wwwn.cdc.gov/nchs/data/nhanes/public/2019/labmethods/BIOPRO-K-MET-Total Protein-508.pdf
BIOPRO - Triglycerides - Refrigerated,[PDF - 907 KB],August 2021,https://wwwn.cdc.gov/nchs/data/nhanes/public/2019/labmethods/BIOPRO-K-MET-Triglycerides-508.pdf
BIOPRO - Uric Acid,[PDF - 902 KB],August 2021,https://wwwn.cdc.gov/nchs/data/nhanes/public/2019/labmethods/BIOPRO-K-MET-Uric acid-508.pdf
