"Table_name","Variable","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Codebook_table"
"CUSEZN_H","SEQN","SEQN","Respondent sequence number","Respondent sequence number","Both males and females 6 YEARS - 150 YEARS",NA,NA
"CUSEZN_H","WTSA2YR","WTSA2YR","Subsample A weights","Subsample A weights","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""16284.37488 to 530325.34726"", ""0"", "".""]; Value.Description=[""Range of Values"", ""No lab result"", ""Missing""]; Count=[""2724"", ""31"", ""0""]; Cumulative=[""2724"", ""2755"", ""2755""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"CUSEZN_H","LBXSCU","LBXSCU","Serum Copper (ug/dL)","Serum Copper (ug/dL)","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""24.7 to 297.5"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""2520"", ""235""]; Cumulative=[""2520"", ""2755""]; Skip.to.Item=[""NA"", ""NA""]"
"CUSEZN_H","LBDSCUSI","LBDSCUSI","Serum Copper (umol/L)","Serum Copper (umol/L)","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""3.88 to 46.71"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""2520"", ""235""]; Cumulative=[""2520"", ""2755""]; Skip.to.Item=[""NA"", ""NA""]"
"CUSEZN_H","LBXSSE","LBXSSE","Serum Selenium (ug/L)","Serum Selenium (ug/L)","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""74.9 to 297.9"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""2519"", ""236""]; Cumulative=[""2519"", ""2755""]; Skip.to.Item=[""NA"", ""NA""]"
"CUSEZN_H","LBDSSESI","LBDSSESI","Serum Selenium (umol/L)","Serum Selenium (umol/L)","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.95 to 3.78"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""2519"", ""236""]; Cumulative=[""2519"", ""2755""]; Skip.to.Item=[""NA"", ""NA""]"
"CUSEZN_H","LBXSZN","LBXSZN","Serum Zinc (ug/dL)","Serum Zinc (ug/dL)","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""38.9 to 160.9"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""2519"", ""236""]; Cumulative=[""2519"", ""2755""]; Skip.to.Item=[""NA"", ""NA""]"
"CUSEZN_H","LBDSZNSI","LBDSZNSI","Serum Zinc (umol/L)","Serum Zinc (umol/L)","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""5.95 to 24.62"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""2519"", ""236""]; Cumulative=[""2519"", ""2755""]; Skip.to.Item=[""NA"", ""NA""]"
"CUSEZN_H","URXUCR","URXUCR","Urinary creatinine (mg/dL)","Urinary creatinine (mg/dL)","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""5 to 546"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""2681"", ""74""]; Cumulative=[""2681"", ""2755""]; Skip.to.Item=[""NA"", ""NA""]"
