"Table_name","Variable","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Codebook_table"
"GLU_L","SEQN","SEQN","Respondent sequence number","Respondent sequence number","Both males and females 12 YEARS - 150 YEARS",NA,NA
"GLU_L","WTSAF2YR","WTSAF2YR","Fasting Subsample 2 Year MEC Weight","Fasting Subsample 2 Year MEC Weight","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""11459.183689 to 561922.42956"", ""0"", "".""]; Value.Description=[""Range of Values"", ""No Lab Result or Not Fasting for 8 to <24 hours"", ""Missing""]; Count=[""3361"", ""635"", ""0""]; Cumulative=[""3361"", ""3996"", ""3996""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"GLU_L","LBXGLU","LBXGLU","Fasting Glucose (mg/dL)","Fasting Glucose (mg/dL)","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""59 to 561"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3672"", ""324""]; Cumulative=[""3672"", ""3996""]; Skip.to.Item=[""NA"", ""NA""]"
"GLU_L","LBDGLUSI","LBDGLUSI","Fasting Glucose (mmol/L)","Fasting Glucose (mmol/L)","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""3.28 to 31.1"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3672"", ""324""]; Cumulative=[""3672"", ""3996""]; Skip.to.Item=[""NA"", ""NA""]"
