"Table_name","Variable","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Codebook_table"
"GLU_G","SEQN","SEQN","Respondent sequence number","Respondent sequence number","Both males and females 12 YEARS - 150 YEARS",NA,NA
"GLU_G","WTSAF2YR","WTSAF2YR","Fasting Subsample 2 Year MEC Weight","Fasting Subsample 2 Year MEC Weight","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 521033.371"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3239"", ""0""]; Cumulative=[""3239"", ""3239""]; Skip.to.Item=[""NA"", ""NA""]"
"GLU_G","LBXGLU","LBXGLU","Fasting Glucose (mg/dL)","Fasting Glucose (mg/dL)","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""39 to 382"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3033"", ""206""]; Cumulative=[""3033"", ""3239""]; Skip.to.Item=[""NA"", ""NA""]"
"GLU_G","LBDGLUSI","LBDGLUSI","Fasting Glucose (mmol/L)","Fasting Glucose (mmol/L)","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""2.165 to 21.205"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3033"", ""206""]; Cumulative=[""3033"", ""3239""]; Skip.to.Item=[""NA"", ""NA""]"
"GLU_G","LBXIN","LBXIN","Insulin (uU/mL)","Insulin (uU/mL)","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.14 to 647.5"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""2881"", ""358""]; Cumulative=[""2881"", ""3239""]; Skip.to.Item=[""NA"", ""NA""]"
"GLU_G","LBDINSI","LBDINSI","Insulin (pmol/L)","Insulin (pmol/L)","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.85 to 3885"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""2881"", ""358""]; Cumulative=[""2881"", ""3239""]; Skip.to.Item=[""NA"", ""NA""]"
"GLU_G","PHAFSTHR","PHAFSTHR","Total length of food fast hours","Total length of food fast hours","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 36"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3167"", ""72""]; Cumulative=[""3167"", ""3239""]; Skip.to.Item=[""NA"", ""NA""]"
"GLU_G","PHAFSTMN","PHAFSTMN","Total length of food fast minutes","Total length of food fast minutes","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 59"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3167"", ""72""]; Cumulative=[""3167"", ""3239""]; Skip.to.Item=[""NA"", ""NA""]"
