"Table_name","Variable","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Codebook_table"
"SSPST_B","POOLID","POOLID","Pool ID number","Pool ID number","Both males and females 3 YEARS - 150 YEARS",NA,"Code.or.Value=["".""]; Value.Description=[""Missing""]; Count=[""0""]; Cumulative=[""0""]; Skip.to.Item=[""NA""]"
"SSPST_B","RIAGENDR","RIAGENDR","Gender","Gender","Both males and females 3 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", "".""]; Value.Description=[""Male"", ""Female"", ""Missing""]; Count=[""38"", ""40"", ""0""]; Cumulative=[""38"", ""78"", ""78""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"SSPST_B","RIDRAETN","RIDRAETN","Ethnicity","Ethnicity","Both males and females 3 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", "".""]; Value.Description=[""Non-Hispanic White"", ""Non-Hispanic Black"", ""Mexican American"", ""Missing""]; Count=[""35"", ""20"", ""23"", ""0""]; Cumulative=[""35"", ""55"", ""78"", ""78""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
"SSPST_B","RIDAGGRP","RIDAGGRP","Age Group","Age Group","Both males and females 3 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", ""2"", ""3"", ""4"", ""-1"", "".""]; Value.Description=[""6 Yrs. to 11 Yrs."", ""12 Yrs. to 19 Yrs."", ""20 Yrs. to 39 Yrs."", ""40 Yrs. to 59 Yrs."", ""60 Yrs. to 150 Yrs."", ""3 Yrs. to 5 Yrs."", ""Missing""]; Count=[""12"", ""19"", ""13"", ""10"", ""12"", ""12"", ""0""]; Cumulative=[""12"", ""31"", ""44"", ""54"", ""66"", ""78"", ""78""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"SSPST_B","RIANSMP","RIANSMP","Number of samples included in Pool","Number of samples included in Pool","Both males and females 3 YEARS - 150 YEARS",NA,"Code.or.Value=[""21 to 57"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""78"", ""0""]; Cumulative=[""78"", ""78""]; Skip.to.Item=[""NA"", ""NA""]"
"SSPST_B","SSHCB","SSHCB","HCB","HCB","Both males and females 3 YEARS - 150 YEARS",NA,"Code.or.Value=[""6.5 to 34"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""78"", ""0""]; Cumulative=[""78"", ""78""]; Skip.to.Item=[""NA"", ""NA""]"
"SSPST_B","SSBHC","SSBHC","B-HCCH","B-HCCH","Both males and females 3 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.3 to 186.1"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""78"", ""0""]; Cumulative=[""78"", ""78""]; Skip.to.Item=[""NA"", ""NA""]"
"SSPST_B","SSGHC","SSGHC","G-HCCH","G-HCCH","Both males and females 3 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.4 to 13.8"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""78"", ""0""]; Cumulative=[""78"", ""78""]; Skip.to.Item=[""NA"", ""NA""]"
"SSPST_B","SSOXY","SSOXY","OXYCHLOR","OXYCHLOR","Both males and females 3 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.3 to 48.6"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""78"", ""0""]; Cumulative=[""78"", ""78""]; Skip.to.Item=[""NA"", ""NA""]"
"SSPST_B","SSTNA","SSTNA","T-NONA","T-NONA","Both males and females 3 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.3 to 77"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""78"", ""0""]; Cumulative=[""78"", ""78""]; Skip.to.Item=[""NA"", ""NA""]"
"SSPST_B","SSPDE","SSPDE","PP-DDE7","PP-DDE7","Both males and females 3 YEARS - 150 YEARS",NA,"Code.or.Value=[""79 to 2398.9"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""78"", ""0""]; Cumulative=[""78"", ""78""]; Skip.to.Item=[""NA"", ""NA""]"
"SSPST_B","SSODT","SSODT","OP-DDT","OP-DDT","Both males and females 3 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.3 to 4.5"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""78"", ""0""]; Cumulative=[""78"", ""78""]; Skip.to.Item=[""NA"", ""NA""]"
"SSPST_B","SSPDT","SSPDT","PP-DDT","PP-DDT","Both males and females 3 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.4 to 144"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""78"", ""0""]; Cumulative=[""78"", ""78""]; Skip.to.Item=[""NA"", ""NA""]"
"SSPST_B","SSMIR","SSMIR","MIREX","MIREX","Both males and females 3 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.4 to 80.7"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""78"", ""0""]; Cumulative=[""78"", ""78""]; Skip.to.Item=[""NA"", ""NA""]"
