"Table_name","Variable","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Codebook_table"
"TFR_L","SEQN","SEQN","Respondent sequence number","Respondent sequence number.","Both males and females 1 YEARS - 5 YEARS",NA,NA
"TFR_L","WTPH2YR","WTPH2YR","Phlebotomy 2 Year Weight","Phlebotomy 2 MEC Weight","Both males and females 1 YEARS - 5 YEARS",NA,"Code.or.Value=[""6213.3002375 to 253478.77765"", ""0"", "".""]; Value.Description=[""Range of Values"", ""No blood sample provided"", ""Missing""]; Count=[""2051"", ""513"", ""0""]; Cumulative=[""2051"", ""2564"", ""2564""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"TFR_L","LBXTFR","LBXTFR","Transferrin receptor (mg/L)","Transferrin receptor (mg/L)","Both males and females 1 YEARS - 5 YEARS",NA,"Code.or.Value=[""1.41 to 29.4"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""1949"", ""615""]; Cumulative=[""1949"", ""2564""]; Skip.to.Item=[""NA"", ""NA""]"
"TFR_L","LBDTFRSI","LBDTFRSI","Transferrin receptor (nmol/L)","Transferrin receptor (nmol/L)","Both males and females 1 YEARS - 5 YEARS",NA,"Code.or.Value=[""16.6 to 347"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""1949"", ""615""]; Cumulative=[""1949"", ""2564""]; Skip.to.Item=[""NA"", ""NA""]"
