"Table_name","Variable","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Codebook_table"
"LAB04","SEQN","SEQN","Respondent sequence number","Respondent sequence number.","Both males and females 20 YEARS - 59 YEARS",NA,NA
"LAB04","WTSVOC2Y","WTSVOC2Y","VOC subsample 2 yr MEC Weight","","Both males and females 20 YEARS - 59 YEARS",NA,"Code.or.Value=[""6703.435144 to 992877.35227"", ""0"", "".""]; Value.Description=[""Range of Values"", ""Non-Respondent"", ""Missing""]; Count=[""669"", ""182"", ""0""]; Cumulative=[""669"", ""851"", ""851""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"LAB04","WTSVOC4Y","WTSVOC4Y","VOC subsample 4 yr MEC Weight","","Both males and females 20 YEARS - 59 YEARS",NA,"Code.or.Value=[""2836.3452371 to 306407.42974"", ""0"", "".""]; Value.Description=[""Range of Values"", ""Non-Respondent"", ""Missing""]; Count=[""669"", ""182"", ""0""]; Cumulative=[""669"", ""851"", ""851""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"LAB04","LBXWBF","LBXWBF","Water Bromoform (ng/ml)","Bromoform Result","Both males and females 20 YEARS - 59 YEARS",NA,"Code.or.Value=[""0.0327 to 48.3"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""617"", ""234""]; Cumulative=[""617"", ""851""]; Skip.to.Item=[""NA"", ""NA""]"
"LAB04","LBXWCF","LBXWCF","Water Chloroform (ng/ml)","Chloroform Result","Both males and females 20 YEARS - 59 YEARS",NA,"Code.or.Value=[""0.1506 to 233"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""630"", ""221""]; Cumulative=[""630"", ""851""]; Skip.to.Item=[""NA"", ""NA""]"
"LAB04","LBXWBM","LBXWBM","Water Bromodichloromethane (ng/ml)","Bromodichloromethane Result","Both males and females 20 YEARS - 59 YEARS",NA,"Code.or.Value=[""0.0785 to 39.3"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""622"", ""229""]; Cumulative=[""622"", ""851""]; Skip.to.Item=[""NA"", ""NA""]"
"LAB04","LBXWCM","LBXWCM","Water Dibromochloromethane (ng/ml)","Dibromochloromethane Result","Both males and females 20 YEARS - 59 YEARS",NA,"Code.or.Value=[""0.0785 to 31.7"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""617"", ""234""]; Cumulative=[""617"", ""851""]; Skip.to.Item=[""NA"", ""NA""]"
"LAB04","LBXWME","LBXWME","Water MTBE (ng/ml)","Methyl tert. butyl ether (MTBE) Result","Both males and females 20 YEARS - 59 YEARS",NA,"Code.or.Value=[""0.0707 to 25.4"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""620"", ""231""]; Cumulative=[""620"", ""851""]; Skip.to.Item=[""NA"", ""NA""]"
"LAB04","LBXV4C","LBXV4C","Blood Tetrachloroethene (ng/ml)","Tetrachloroethene Result","Both males and females 20 YEARS - 59 YEARS",NA,"Code.or.Value=[""0.0144 to 9.7"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""286"", ""565""]; Cumulative=[""286"", ""851""]; Skip.to.Item=[""NA"", ""NA""]"
"LAB04","LBXVBF","LBXVBF","Blood Bromoform (pg/ml)","Bromoform Result","Both males and females 20 YEARS - 59 YEARS",NA,"Code.or.Value=[""0.3543 to 20.3"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""330"", ""521""]; Cumulative=[""330"", ""851""]; Skip.to.Item=[""NA"", ""NA""]"
"LAB04","LBXVBM","LBXVBM","Blood Bromodichloromethane (pg/ml)","Bromodichloromethane Result","Both males and females 20 YEARS - 59 YEARS",NA,"Code.or.Value=[""0.1563 to 47.4"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""354"", ""497""]; Cumulative=[""354"", ""851""]; Skip.to.Item=[""NA"", ""NA""]"
"LAB04","LBXVBZ","LBXVBZ","Blood Benzene (ng/ml)","Benzene Result","Both males and females 20 YEARS - 59 YEARS",NA,"Code.or.Value=[""0.0323 to 1.69"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""300"", ""551""]; Cumulative=[""300"", ""851""]; Skip.to.Item=[""NA"", ""NA""]"
"LAB04","LBXVCF","LBXVCF","Blood Chloroform (pg/ml)","Chloroform Result","Both males and females 20 YEARS - 59 YEARS",NA,"Code.or.Value=[""6.42 to 1570"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""255"", ""596""]; Cumulative=[""255"", ""851""]; Skip.to.Item=[""NA"", ""NA""]"
"LAB04","LBXVCM","LBXVCM","Blood Dibromochloromethane (pg/ml)","Dibromochloromethane Result","Both males and females 20 YEARS - 59 YEARS",NA,"Code.or.Value=[""0.152 to 57"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""350"", ""501""]; Cumulative=[""350"", ""851""]; Skip.to.Item=[""NA"", ""NA""]"
"LAB04","LBXVCT","LBXVCT","Blood Carbon Tetrachloride (ng/ml)","Carbon Tetrachloride Result","Both males and females 20 YEARS - 59 YEARS",NA,"Code.or.Value=[""0.007 to 0.116"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""287"", ""564""]; Cumulative=[""287"", ""851""]; Skip.to.Item=[""NA"", ""NA""]"
"LAB04","LBXVDB","LBXVDB","Blood 14-Dichlorobenzene (ng/ml)","14-Dichlorobenzene Result","Both males and females 20 YEARS - 59 YEARS",NA,"Code.or.Value=[""0.026 to 249"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""304"", ""547""]; Cumulative=[""304"", ""851""]; Skip.to.Item=[""NA"", ""NA""]"
"LAB04","LBXVEB","LBXVEB","Blood Ethylbenzene (ng/ml)","Ethylbenzene Result","Both males and females 20 YEARS - 59 YEARS",NA,"Code.or.Value=[""0.01 to 5.16"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""262"", ""589""]; Cumulative=[""262"", ""851""]; Skip.to.Item=[""NA"", ""NA""]"
"LAB04","LBXVME","LBXVME","Blood MTBE (pg/ml)","Methyl t-Butyl Ether (MTBE) Result","Both males and females 20 YEARS - 59 YEARS",NA,"Code.or.Value=[""0.784 to 6270"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""284"", ""567""]; Cumulative=[""284"", ""851""]; Skip.to.Item=[""NA"", ""NA""]"
"LAB04","LBXVOX","LBXVOX","Blood o-Xylene (ng/ml)","o-Xylene Result","Both males and females 20 YEARS - 59 YEARS",NA,"Code.or.Value=[""0.021 to 6.42"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""309"", ""542""]; Cumulative=[""309"", ""851""]; Skip.to.Item=[""NA"", ""NA""]"
"LAB04","LBXVST","LBXVST","Blood Styrene (ng/ml)","Styrene Result","Both males and females 20 YEARS - 59 YEARS",NA,"Code.or.Value=[""0.0066 to 9.45"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""284"", ""567""]; Cumulative=[""284"", ""851""]; Skip.to.Item=[""NA"", ""NA""]"
"LAB04","LBXVTC","LBXVTC","Blood Trichloroethene (ng/ml)","Trichloroethene Result","Both males and females 20 YEARS - 59 YEARS",NA,"Code.or.Value=[""0.0066 to 0.923"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""303"", ""548""]; Cumulative=[""303"", ""851""]; Skip.to.Item=[""NA"", ""NA""]"
"LAB04","LBXV3A","LBXV3A","Blood 111-Trichloroethane (ng/ml)","111-Trichloroethane Result","Both males and females 20 YEARS - 59 YEARS",NA,"Code.or.Value=[""0.0161 to 4.26"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""286"", ""565""]; Cumulative=[""286"", ""851""]; Skip.to.Item=[""NA"", ""NA""]"
"LAB04","LBXVTO","LBXVTO","Blood Toluene (ng/ml)","Toluene Result","Both males and females 20 YEARS - 59 YEARS",NA,"Code.or.Value=[""0.0231 to 10.2"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""304"", ""547""]; Cumulative=[""304"", ""851""]; Skip.to.Item=[""NA"", ""NA""]"
"LAB04","LBXVXY","LBXVXY","Blood m-/p-Xylene (ng/ml)","m-/p-Xylene Result","Both males and females 20 YEARS - 59 YEARS",NA,"Code.or.Value=[""0.0358 to 14.3"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""296"", ""555""]; Cumulative=[""296"", ""851""]; Skip.to.Item=[""NA"", ""NA""]"
"LAB04","LBDWBFLC","LBDWBFLC","Water Bromoform Comment Code","Bromoform Comment","Both males and females 20 YEARS - 59 YEARS",NA,"Code.or.Value=[""0"", ""1"", ""2"", "".""]; Value.Description=[""Detectable Result"", ""Below Detectable Limit"", ""Detectable Result and Exceeds the Calibrated Range of 
      Assay"", ""Missing""]; Count=[""428"", ""188"", ""1"", ""234""]; Cumulative=[""428"", ""616"", ""617"", ""851""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
"LAB04","LBDWCFLC","LBDWCFLC","Water Chloroform Comment Code","Chloroform Comment","Both males and females 20 YEARS - 59 YEARS",NA,"Code.or.Value=[""0"", ""1"", ""2"", "".""]; Value.Description=[""Detectable Result"", ""Below Detectable Limit"", ""Detectable Result and Exceeds the Calibrated Range of 
      Assay"", ""Missing""]; Count=[""526"", ""103"", ""1"", ""221""]; Cumulative=[""526"", ""629"", ""630"", ""851""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
"LAB04","LBDWBMLC","LBDWBMLC","Water Bromodichloromethane Comment Code","Bromodichloromethane Comment","Both males and females 20 YEARS - 59 YEARS",NA,"Code.or.Value=[""0"", ""1"", ""2"", "".""]; Value.Description=[""Detectable Result"", ""Below Detectable Limit"", ""Detectable Result and Exceeds the Calibrated Range of 
      Assay"", ""Missing""]; Count=[""521"", ""101"", ""0"", ""229""]; Cumulative=[""521"", ""622"", ""622"", ""851""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
"LAB04","LBDWCMLC","LBDWCMLC","Water Dibromochloromethane Comment Code","","Both males and females 20 YEARS - 59 YEARS",NA,"Code.or.Value=[""0"", ""1"", ""2"", "".""]; Value.Description=[""Detectable Result"", ""Below Detectable Limit"", ""Detectable Result and Exceeds the Calibrated Range of 
      Assay"", ""Missing""]; Count=[""531"", ""86"", ""0"", ""234""]; Cumulative=[""531"", ""617"", ""617"", ""851""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
"LAB04","LBDWMELC","LBDWMELC","Water MTBE Comment Code","Methyl tert. butyl ether (MTBE) Comment","Both males and females 20 YEARS - 59 YEARS",NA,"Code.or.Value=[""0"", ""1"", ""2"", "".""]; Value.Description=[""Detectable Result"", ""Below Detectable Limit"", ""Detectable Result and Exceeds the Calibrated Range of 
      Assay"", ""Missing""]; Count=[""180"", ""440"", ""0"", ""231""]; Cumulative=[""180"", ""620"", ""620"", ""851""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
"LAB04","LBDV4CLC","LBDV4CLC","Blood Tetrachloroethene Comment Code","Tetrachloroethene Comment","Both males and females 20 YEARS - 59 YEARS",NA,"Code.or.Value=[""0"", ""1"", ""2"", "".""]; Value.Description=[""Detectable Result"", ""Below Detectable Limit"", ""Detectable Result and Exceeds the Calibrated Range of 
      Assay"", ""Missing""]; Count=[""218"", ""65"", ""3"", ""565""]; Cumulative=[""218"", ""283"", ""286"", ""851""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
"LAB04","LBDVBFLC","LBDVBFLC","Blood Bromoform Comment Code","Bromoform Comment","Both males and females 20 YEARS - 59 YEARS",NA,"Code.or.Value=[""0"", ""1"", ""2"", "".""]; Value.Description=[""Detectable Result"", ""Below Detectable Limit"", ""Detectable Result and Exceeds the Calibrated Range of 
      Assay"", ""Missing""]; Count=[""251"", ""79"", ""0"", ""521""]; Cumulative=[""251"", ""330"", ""330"", ""851""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
"LAB04","LBDVBMLC","LBDVBMLC","Blood Bromodichloromethane Comment Code","Bromodichloromethane Comment","Both males and females 20 YEARS - 59 YEARS",NA,"Code.or.Value=[""0"", ""1"", ""2"", "".""]; Value.Description=[""Detectable Result"", ""Below Detectable Limit"", ""Detectable Result and Exceeds the Calibrated Range of 
      Assay"", ""Missing""]; Count=[""336"", ""18"", ""0"", ""497""]; Cumulative=[""336"", ""354"", ""354"", ""851""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
"LAB04","LBDVBZLC","LBDVBZLC","Blood Benzene Comment Code","Benzene Comment","Both males and females 20 YEARS - 59 YEARS",NA,"Code.or.Value=[""0"", ""1"", ""2"", "".""]; Value.Description=[""Detectable Result"", ""Below Detectable Limit"", ""Detectable Result and Exceeds the Calibrated Range of 
      Assay"", ""Missing""]; Count=[""300"", ""0"", ""0"", ""551""]; Cumulative=[""300"", ""300"", ""300"", ""851""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
"LAB04","LBDVCFLC","LBDVCFLC","Blood Chloroform Comment Code","Chloroform Comment","Both males and females 20 YEARS - 59 YEARS",NA,"Code.or.Value=[""0"", ""1"", ""2"", "".""]; Value.Description=[""Detectable Result"", ""Below Detectable Limit"", ""Detectable Result and Exceeds the Calibrated Range of 
      Assay"", ""Missing""]; Count=[""253"", ""0"", ""2"", ""596""]; Cumulative=[""253"", ""253"", ""255"", ""851""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
