"Tabela","Variavel","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Tabela_Valores"
"CUSEZN_I","SEQN","SEQN","Respondent sequence number","Respondent sequence number","Both males and females 6 YEARS - 150 YEARS",NA,NA
"CUSEZN_I","WTSA2YR","WTSA2YR","Subsample A weights","Subsample A weights","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""16357.767797 to 708844.24678"", ""0"", "".""]; Value.Description=[""Range of Values"", ""No lab specimen"", ""Missing""]; Count=[""2644"", ""48"", ""0""]; Cumulative=[""2644"", ""2692"", ""2692""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"CUSEZN_I","LBXSCU","LBXSCU","Serum Copper (ug/dL)","Serum Copper (ug/dL)","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""52.9 to 306.6"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""2436"", ""256""]; Cumulative=[""2436"", ""2692""]; Skip.to.Item=[""NA"", ""NA""]"
"CUSEZN_I","LBDSCUSI","LBDSCUSI","Serum Copper (umol/L)","Serum Copper (umol/L)","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""8.31 to 48.14"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""2436"", ""256""]; Cumulative=[""2436"", ""2692""]; Skip.to.Item=[""NA"", ""NA""]"
"CUSEZN_I","LBXSSE","LBXSSE","Serum Selenium (ug/L)","Serum Selenium (ug/L)","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""58.1 to 217.8"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""2436"", ""256""]; Cumulative=[""2436"", ""2692""]; Skip.to.Item=[""NA"", ""NA""]"
"CUSEZN_I","LBDSSESI","LBDSSESI","Serum Selenium (umol/L)","Serum Selenium (umol/L)","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.74 to 2.77"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""2436"", ""256""]; Cumulative=[""2436"", ""2692""]; Skip.to.Item=[""NA"", ""NA""]"
"CUSEZN_I","LBXSZN","LBXSZN","Serum Zinc (ug/dL)","Serum Zinc (ug/dL)","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""31.4 to 150.7"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""2436"", ""256""]; Cumulative=[""2436"", ""2692""]; Skip.to.Item=[""NA"", ""NA""]"
"CUSEZN_I","LBDSZNSI","LBDSZNSI","Serum Zinc (umol/L)","Serum Zinc (umol/L)","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""4.8 to 23.06"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""2436"", ""256""]; Cumulative=[""2436"", ""2692""]; Skip.to.Item=[""NA"", ""NA""]"
