"Table_name","Variable","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Codebook_table"
"SSDEET_I","SEQN","SEQN","Respondent sequence number","Respondent sequence number.","Both males and females 3 YEARS - 150 YEARS",NA,NA
"SSDEET_I","WTSSBI2Y","WTSSBI2Y","Surplus specimen B 15-16 2 year weights","Surplus specimen 2 year weights B for 2015-2016","Both males and females 3 YEARS - 150 YEARS",NA,"Code.or.Value=[""11617.110763 to 931491.77436"", ""0"", "".""]; Value.Description=[""Range of Values"", ""No lab specimen"", ""Missing""]; Count=[""2436"", ""0"", ""0""]; Cumulative=[""2436"", ""2436"", ""2436""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"SSDEET_I","SSEMEA","SSEMEA","3-(Ethylcarbamoyl)benzoic acid (ug/L)","3-(Ethylcarbamoyl)benzoic acid (ug/L)","Both males and females 3 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.14 to 17500"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""2386"", ""50""]; Cumulative=[""2386"", ""2436""]; Skip.to.Item=[""NA"", ""NA""]"
"SSDEET_I","SSEMEAL","SSEMEAL","3-(Ethylcarbamoyl)benzoic acid Cmt code","3-(Ethylcarbamoyl)benzoic acid Cmt code","Both males and females 3 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", "".""]; Value.Description=[""At or above the detection limit"", ""Below lower detection limit"", ""Missing""]; Count=[""1787"", ""599"", ""50""]; Cumulative=[""1787"", ""2386"", ""2436""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
