"Table_name","Variable","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Codebook_table"
"TRIGLY_D","SEQN","SEQN","Respondent sequence number","Respondent sequence number.","Both males and females 12 YEARS - 150 YEARS",NA,NA
"TRIGLY_D","WTSAF2YR","WTSAF2YR","Fasting Subsample 2 Year MEC Weight","Fasting Subsample 2 Year MEC Weight","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 327394.027"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3352"", ""0""]; Cumulative=[""3352"", ""3352""]; Skip.to.Item=[""NA"", ""NA""]"
"TRIGLY_D","LBXTR","LBXTR","Triglyceride (mg/dL)","Triglyceride (mg/dL)","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""19 to 1600"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3089"", ""263""]; Cumulative=[""3089"", ""3352""]; Skip.to.Item=[""NA"", ""NA""]"
"TRIGLY_D","LBDTRSI","LBDTRSI","Triglyceride (mmol/L)","Triglyceride (mmol/L)","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.215 to 18.064"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3089"", ""263""]; Cumulative=[""3089"", ""3352""]; Skip.to.Item=[""NA"", ""NA""]"
"TRIGLY_D","LBDLDL","LBDLDL","LDL-cholesterol (mg/dL)","LDL-cholesterol (mg/dL)","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""19 to 328"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3026"", ""326""]; Cumulative=[""3026"", ""3352""]; Skip.to.Item=[""NA"", ""NA""]"
"TRIGLY_D","LBDLDLSI","LBDLDLSI","LDL-cholesterol (mmol/L)","LDL-cholesterol (mmol/L)","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.491 to 8.482"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3026"", ""326""]; Cumulative=[""3026"", ""3352""]; Skip.to.Item=[""NA"", ""NA""]"
"TRIGLY_D","LBXAPB","LBXAPB","Apolipoprotein (B) (mg/dL)","Apolipoprotein (B) (mg/dL)","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""24 to 345"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3106"", ""246""]; Cumulative=[""3106"", ""3352""]; Skip.to.Item=[""NA"", ""NA""]"
"TRIGLY_D","LBDAPBSI","LBDAPBSI","Apolipoprotein (B) (g/L)","Apolipoprotein (B) (g/L)","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.24 to 3.45"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3106"", ""246""]; Cumulative=[""3106"", ""3352""]; Skip.to.Item=[""NA"", ""NA""]"
