"Tabela","Variavel","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Tabela_Valores"
"SSFR_I","SEQN","SEQN","Respondent sequence number","Respondent sequence number","Both males and females 3 YEARS - 150 YEARS",NA,NA
"SSFR_I","WTSSBI2Y","WTSSBI2Y","Surplus specimen B 15-16 2 year weights","Surplus specimen 2 year weights B for 2015-2016","Both males and females 3 YEARS - 150 YEARS",NA,"Code.or.Value=[""11617.110763 to 931491.77436"", ""0"", "".""]; Value.Description=[""Range of Values"", ""No lab specimen"", ""Missing""]; Count=[""2430"", ""0"", ""0""]; Cumulative=[""2430"", ""2430"", ""2430""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"SSFR_I","SSDPHP","SSDPHP","Diphenyl phosphate (ug/L)","Diphenyl phosphate (ug/L)","Both males and females 3 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.071 to 2220"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""2430"", ""0""]; Cumulative=[""2430"", ""2430""]; Skip.to.Item=[""NA"", ""NA""]"
"SSFR_I","SSDPHPL","SSDPHPL","Diphenyl phosphate (ug/L) cmt code","Diphenyl phosphate (ug/L) comment code","Both males and females 3 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", "".""]; Value.Description=[""At or above the detection limit"", ""Below lower detection limit"", ""Missing""]; Count=[""2378"", ""52"", ""0""]; Cumulative=[""2378"", ""2430"", ""2430""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"SSFR_I","SSBDCPP","SSBDCPP","Bis(13-dichloro-2-propyl) phos(ug/L)","Bis(13-dichloro-2-propyl) phos(ug/L)","Both males and females 3 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.071 to 122"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""2430"", ""0""]; Cumulative=[""2430"", ""2430""]; Skip.to.Item=[""NA"", ""NA""]"
"SSFR_I","SSBDCPPL","SSBDCPPL","Bis(13dichloro-2propyl)phos(ug/L)cmt cd","Bis(13-dichloro-2-propyl) phos(ug/L) comment code","Both males and females 3 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", "".""]; Value.Description=[""At or above the detection limit"", ""Below lower detection limit"", ""Missing""]; Count=[""2352"", ""78"", ""0""]; Cumulative=[""2352"", ""2430"", ""2430""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"SSFR_I","SSBCPP","SSBCPP","Bis(1-chloro-2-propyl) phosphate (ug/L)","Bis(1-chloro-2-propyl) phosphate (ug/L)","Both males and females 3 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.071 to 67.4"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""2430"", ""0""]; Cumulative=[""2430"", ""2430""]; Skip.to.Item=[""NA"", ""NA""]"
"SSFR_I","SSBCPPL","SSBCPPL","Bis(1chloro-2propyl) phosp(ug/L) cmt cd","Bis(1-chloro-2-propyl) phosphate (ug/L) comment code","Both males and females 3 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", "".""]; Value.Description=[""At or above the detection limit"", ""Below lower detection limit"", ""Missing""]; Count=[""1385"", ""1045"", ""0""]; Cumulative=[""1385"", ""2430"", ""2430""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"SSFR_I","SSBCEP","SSBCEP","Bis(2-chloroethyl) phosphate (ug/L)","Bis(2-chloroethyl) phosphate (ug/L)","Both males and females 3 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.071 to 156"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""2430"", ""0""]; Cumulative=[""2430"", ""2430""]; Skip.to.Item=[""NA"", ""NA""]"
"SSFR_I","SSBCEPL","SSBCEPL","Bis(2-chloroethyl) phosphate(ug/L)cmt cd","Bis(2-chloroethyl) phosphate(ug/L) comment code","Both males and females 3 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", "".""]; Value.Description=[""At or above the detection limit"", ""Below lower detection limit"", ""Missing""]; Count=[""2102"", ""328"", ""0""]; Cumulative=[""2102"", ""2430"", ""2430""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"SSFR_I","SSDCP","SSDCP","Di-cresyl phosphates (ug/L)","Di-cresyl phosphates (ug/L)","Both males and females 3 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.354 to 0.354"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""2430"", ""0""]; Cumulative=[""2430"", ""2430""]; Skip.to.Item=[""NA"", ""NA""]"
"SSFR_I","SSDCPL","SSDCPL","Di-cresyl phosphates (ug/L) cmt code","Di-cresyl phosphates (ug/L) comment code","Both males and females 3 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", "".""]; Value.Description=[""At or above the detection limit"", ""Below lower detection limit"", ""Missing""]; Count=[""0"", ""2430"", ""0""]; Cumulative=[""0"", ""2430"", ""2430""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"SSFR_I","SSDBUP","SSDBUP","Dibutyl phosphate (ug/L)","Dibutyl phosphate (ug/L)","Both males and females 3 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.071 to 15.9"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""2430"", ""0""]; Cumulative=[""2430"", ""2430""]; Skip.to.Item=[""NA"", ""NA""]"
"SSFR_I","SSDBUPL","SSDBUPL","Dibutyl phosphate (ug/L) cmt code","Dibutyl phosphate (ug/L) comment code","Both males and females 3 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", "".""]; Value.Description=[""At or above the detection limit"", ""Below lower detection limit"", ""Missing""]; Count=[""1160"", ""1270"", ""0""]; Cumulative=[""1160"", ""2430"", ""2430""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"SSFR_I","SSDBZP","SSDBZP","Dibenzyl phosphate (ug/L)","Dibenzyl phosphate (ug/L)","Both males and females 3 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.035 to 0.3"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""2430"", ""0""]; Cumulative=[""2430"", ""2430""]; Skip.to.Item=[""NA"", ""NA""]"
"SSFR_I","SSDBZPL","SSDBZPL","Dibenzyl phosphate (ug/L) cmt code","Dibenzyl phosphate (ug/L) comment code","Both males and females 3 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", "".""]; Value.Description=[""At or above the detection limit"", ""Below lower detection limit"", ""Missing""]; Count=[""1"", ""2429"", ""0""]; Cumulative=[""1"", ""2430"", ""2430""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"SSFR_I","SSTBBA","SSTBBA","2345-tetrabromobenzoic acid (ug/L)","2345-tetrabromobenzoic acid (ug/L)","Both males and females 3 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.035 to 3.16"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""2430"", ""0""]; Cumulative=[""2430"", ""2430""]; Skip.to.Item=[""NA"", ""NA""]"
"SSFR_I","SSTBBAL","SSTBBAL","2345tetrabromobenzoicacid(ug/L)cmt cd","2345-tetrabromobenzoic acid (ug/L) comment code","Both males and females 3 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", "".""]; Value.Description=[""At or above the detection limit"", ""Below lower detection limit"", ""Missing""]; Count=[""222"", ""2208"", ""0""]; Cumulative=[""222"", ""2430"", ""2430""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"SSFR_I","SSIPPP","SSIPPP","2(isopropyl)phenyl)phenyl phosphateug/L","2(isopropyl)phenyl)phenyl phosphate (ug/L)","Both males and females 3 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.035 to 2.14"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""2416"", ""14""]; Cumulative=[""2416"", ""2430""]; Skip.to.Item=[""NA"", ""NA""]"
"SSFR_I","SSIPPPL","SSIPPPL","2(isopropyl)phenyl)phenyl phosphate cd","2(isopropyl)phenyl)phenyl phosphate comment code","Both males and females 3 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", "".""]; Value.Description=[""At or above the detection limit"", ""1 Below lower detection limit"", ""Missing""]; Count=[""606"", ""1810"", ""14""]; Cumulative=[""606"", ""2416"", ""2430""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"SSFR_I","SSBPPP","SSBPPP","4(tert-butyl)phenyl)phenyl phosphateug/L","4(tert-butyl)phenyl)phenyl phosphate (ug/L)","Both males and females 3 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.035 to 7.56"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""2427"", ""3""]; Cumulative=[""2427"", ""2430""]; Skip.to.Item=[""NA"", ""NA""]"
"SSFR_I","SSBPPPL","SSBPPPL","4(tert-butyl)phenyl)phenyl phosphate cd","4(tert-butyl)phenyl)phenyl phosphate comment code","Both males and females 3 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", "".""]; Value.Description=[""At or above the detection limit"", ""Below lower detection limit"", ""Missing""]; Count=[""649"", ""1778"", ""3""]; Cumulative=[""649"", ""2427"", ""2430""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
