"Table_name","Variable","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Codebook_table"
"APOB_H","SEQN","SEQN","Respondent sequence number","Respondent sequence number","Both males and females 12 YEARS - 150 YEARS",NA,NA
"APOB_H","WTSAF2YR","WTSAF2YR","Fasting Subsample 2 Year MEC Weight","Fasting Subsample 2 Year MEC Weight","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""12937.987305 to 395978.46579"", ""0"", "".""]; Value.Description=[""Range of Values"", ""No Lab Result"", ""Missing""]; Count=[""2927"", ""402"", ""0""]; Cumulative=[""2927"", ""3329"", ""3329""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"APOB_H","LBXAPB","LBXAPB","Apolipoprotein (B) (mg/dL)","Apolipoprotein (B) (mg/dL)","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""20 to 234"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3145"", ""184""]; Cumulative=[""3145"", ""3329""]; Skip.to.Item=[""NA"", ""NA""]"
"APOB_H","LBDAPBSI","LBDAPBSI","Apolipoprotein (B) (g/L)","Apolipoprotein (B) (g/L)","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.2 to 2.34"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3145"", ""184""]; Cumulative=[""3145"", ""3329""]; Skip.to.Item=[""NA"", ""NA""]"
