"Table_name","Variable","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Codebook_table"
"SSTOXO_F","SEQN","SEQN","Respondent sequence number","Respondent sequence number.","Both males and females 6 YEARS - 150 YEARS",NA,NA
"SSTOXO_F","SSTOXO","SSTOXO","T.gondii antibodies (IU/ml)","T.gondii antibodies (IU/ml)","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 332"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""6670"", ""9""]; Cumulative=[""6670"", ""6679""]; Skip.to.Item=[""NA"", ""NA""]"
