"Tabela","Variavel","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Tabela_Valores"
"TRIGLY_H","SEQN","SEQN","Respondent sequence number","Respondent sequence number","Both males and females 12 YEARS - 150 YEARS",NA,NA
"TRIGLY_H","WTSAF2YR","WTSAF2YR","Fasting Subsample 2 Year MEC Weight","Fasting Subsample 2 Year MEC Weight","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""12937.987305 to 395978.46579"", ""0"", "".""]; Value.Description=[""Range of Values"", ""No Lab Result"", ""Missing""]; Count=[""2927"", ""402"", ""0""]; Cumulative=[""2927"", ""3329"", ""3329""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"TRIGLY_H","LBXTR","LBXTR","Triglyceride (mg/dL)","Triglyceride (mg/dL)","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""13 to 4233"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3146"", ""183""]; Cumulative=[""3146"", ""3329""]; Skip.to.Item=[""NA"", ""NA""]"
"TRIGLY_H","LBDTRSI","LBDTRSI","Triglyceride (mmol/L)","Triglyceride (mmol/L)","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.147 to 47.791"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3146"", ""183""]; Cumulative=[""3146"", ""3329""]; Skip.to.Item=[""NA"", ""NA""]"
"TRIGLY_H","LBDLDL","LBDLDL","LDL-cholesterol (mg/dL)","LDL-cholesterol (mg/dL)","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""14 to 375"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3105"", ""224""]; Cumulative=[""3105"", ""3329""]; Skip.to.Item=[""NA"", ""NA""]"
"TRIGLY_H","LBDLDLSI","LBDLDLSI","LDL-cholesterol (mmol/L)","LDL-cholesterol (mmol/L)","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.362 to 9.698"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3105"", ""224""]; Cumulative=[""3105"", ""3329""]; Skip.to.Item=[""NA"", ""NA""]"
