"Tabela","Variavel","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Tabela_Valores"
"VNA_H","SEQN","SEQN","Respondent Sequence Number","Respondent Sequence Number","Both males and females 6 YEARS - 150 YEARS",NA,NA
"VNA_H","WTSA2YR","WTSA2YR","Subsample A Weights","Subsample A Weights","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""16284.37488 to 530325.34726"", ""0"", "".""]; Value.Description=[""Range of Values"", ""No Lab Result"", ""Missing""]; Count=[""2724"", ""31"", ""0""]; Cumulative=[""2724"", ""2755"", ""2755""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"VNA_H","URXNDEA","URXNDEA","N-Nitrosodiethylamine (NDEA) (ng/L)","N-Nitrosodiethylamine (NDEA) (ng/L)","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""3.55 to 75.5"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""2470"", ""285""]; Cumulative=[""2470"", ""2755""]; Skip.to.Item=[""NA"", ""NA""]"
"VNA_H","URDNDELC","URDNDELC","NDEA Comment Code","N-Nitrosodiethylamine (NDEA) Comment Code","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", ""2"", "".""]; Value.Description=[""At or above detection limit"", ""Below lower detection limit"", ""Detectable result and exceeds the calibrated range of assay"", ""Missing""]; Count=[""10"", ""2460"", ""0"", ""285""]; Cumulative=[""10"", ""2470"", ""2470"", ""2755""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
"VNA_H","URXNMEA","URXNMEA","N-Nitrosoethylmethylamine (NMEA) (ng/L)","N-Nitrosoethylmethylamine (NMEA) (ng/L)","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""2.57 to 33.3"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""2509"", ""246""]; Cumulative=[""2509"", ""2755""]; Skip.to.Item=[""NA"", ""NA""]"
"VNA_H","URDMEALC","URDMEALC","NMEA Comment Code","N-Nitrosoethylmethylamine (NMEA) Comment Code","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", ""2"", "".""]; Value.Description=[""At or above detection limit"", ""Below lower detection limit"", ""Detectable result and exceeds the calibrated range of assay"", ""Missing""]; Count=[""18"", ""2491"", ""0"", ""246""]; Cumulative=[""18"", ""2509"", ""2509"", ""2755""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
"VNA_H","URXNMOR","URXNMOR","N-Nitrosomorpholine (NMOR) (ng/L)","NÂ­-Nitrosomorpholine (NMOR) (ng/L)","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""5.54 to 115"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""2384"", ""371""]; Cumulative=[""2384"", ""2755""]; Skip.to.Item=[""NA"", ""NA""]"
"VNA_H","URDMORLC","URDMORLC","NMOR Comment Code","NÂ­-Nitrosomorpholine (NMOR) Comment Code","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", ""2"", "".""]; Value.Description=[""At or above detection limit"", ""Below lower detection limit"", ""Detectable result and exceeds the calibrated range of assay"", ""Missing""]; Count=[""123"", ""2261"", ""0"", ""371""]; Cumulative=[""123"", ""2384"", ""2384"", ""2755""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
"VNA_H","URXNPIP","URXNPIP","N-Nitrosopiperidine (NPIP) (ng/L)","N-Nitrosopiperidine (NPIP) (ng/L)","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""3.59 to 388"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""2529"", ""226""]; Cumulative=[""2529"", ""2755""]; Skip.to.Item=[""NA"", ""NA""]"
"VNA_H","URDPIPLC","URDPIPLC","NPIP Comment Code","N-Nitrosopiperidine (NPIP) Comment Code","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", ""2"", "".""]; Value.Description=[""At or above detection limit"", ""Below lower detection limit"", ""Detectable result and exceeds the calibrated range of assay"", ""Missing""]; Count=[""138"", ""2391"", ""0"", ""226""]; Cumulative=[""138"", ""2529"", ""2529"", ""2755""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
"VNA_H","URXNPYR","URXNPYR","N-Nitrosopyrrolidine (NPYR) (ng/L)","N-Nitrosopyrrolidine (NPYR) (ng/L)","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""5.76 to 69.8"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""2583"", ""172""]; Cumulative=[""2583"", ""2755""]; Skip.to.Item=[""NA"", ""NA""]"
"VNA_H","URDPYRLC","URDPYRLC","NPYR Comment Code","N-Nitrosopyrrolidine (NPYR) Comment Code","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", ""2"", "".""]; Value.Description=[""At or above detection limit"", ""Below lower detection limit"", ""Detectable result and exceeds the calibrated range of assay"", ""Missing""]; Count=[""12"", ""2571"", ""0"", ""172""]; Cumulative=[""12"", ""2583"", ""2583"", ""2755""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
