"Table_name","Variable","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Codebook_table"
"HEPC_I","SEQN","SEQN","Respondent sequence number","Respondent sequence number.","Both males and females 6 YEARS - 150 YEARS",NA,NA
"HEPC_I","LBXHCR","LBXHCR","Hepatitis C RNA","Hepatitis C RNA","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", "".""]; Value.Description=[""Positive"", ""Negative"", ""Negative Screening HCV Antibody"", ""Missing""]; Count=[""50"", ""63"", ""6964"", ""944""]; Cumulative=[""50"", ""113"", ""7077"", ""8021""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
"HEPC_I","LBXHCG","LBXHCG","Hepatitis C Genotype","Hepatitis C Genotype","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9"", "".""]; Value.Description=[""Genotype 1a"", ""Genotype 1b"", ""Gen1 other than a/b/not determined"", ""Genotype 2"", ""Genotype 3"", ""Genotype 4"", ""Genotype 5"", ""Genotype 6"", ""Genotype undetermined"", ""Missing""]; Count=[""34"", ""6"", ""0"", ""5"", ""4"", ""0"", ""0"", ""0"", ""1"", ""7971""]; Cumulative=[""34"", ""40"", ""40"", ""45"", ""49"", ""49"", ""49"", ""49"", ""50"", ""8021""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
