"Table_name","Variable","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Codebook_table"
"UCPREG_H","SEQN","SEQN","Respondent sequence number","Respondent sequence number.","Females only 20 YEARS - 44 YEARS",NA,NA
"UCPREG_H","URXPREG","URXPREG","Pregnancy test result","Pregnancy test result","Females only 20 YEARS - 44 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""4"", "".""]; Value.Description=[""Positive"", ""Negative"", ""Not done"", ""Invalid"", ""Missing""]; Count=[""60"", ""1180"", ""21"", ""0"", ""1""]; Cumulative=[""60"", ""1240"", ""1261"", ""1261"", ""1262""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
