"Table_name","Variable","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Codebook_table"
"L10_2_B","SEQN","SEQN","Respondent sequence number","Respondent sequence number.","Both males and females 16 YEARS - 69 YEARS",NA,NA
"L10_2_B","LB2DAY","LB2DAY","Days between the 1st and 2nd exams","Days between the 1st and 2nd exams","Both males and females 16 YEARS - 69 YEARS",NA,"Code.or.Value=[""3 to 47"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""557"", ""0""]; Cumulative=[""557"", ""557""]; Skip.to.Item=[""NA"", ""NA""]"
"L10_2_B","LB2GH","LB2GH","Glycohemoglobin (%)","Glycohemoglobin (%)","Both males and females 16 YEARS - 69 YEARS",NA,"Code.or.Value=[""3.6 to 14"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""550"", ""7""]; Cumulative=[""550"", ""557""]; Skip.to.Item=[""NA"", ""NA""]"
"L10_2_B","LB2GLU","LB2GLU","Plasma glucose (mg/dL)","Plasma glucose (mg/dL)","Both males and females 16 YEARS - 69 YEARS",NA,"Code.or.Value=[""66.1 to 317.9"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""212"", ""345""]; Cumulative=[""212"", ""557""]; Skip.to.Item=[""NA"", ""NA""]"
"L10_2_B","LB2GLUSI","LB2GLUSI","Plasma glucose: SI(mmol/L)","Plasma glucose: SI(mmol/L)","Both males and females 16 YEARS - 69 YEARS",NA,"Code.or.Value=[""3.669 to 17.647"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""212"", ""345""]; Cumulative=[""212"", ""557""]; Skip.to.Item=[""NA"", ""NA""]"
"L10_2_B","LB2CP","LB2CP","C-peptide: pmol/mL","C-peptide: pmol/mL","Both males and females 16 YEARS - 69 YEARS",NA,"Code.or.Value=[""0.196 to 7.336"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""205"", ""352""]; Cumulative=[""205"", ""557""]; Skip.to.Item=[""NA"", ""NA""]"
"L10_2_B","LB2CPSI","LB2CPSI","C-peptide: SI(nmol/L)","C-peptide (nmol/L) in SI units","Both males and females 16 YEARS - 69 YEARS",NA,"Code.or.Value=[""0.196 to 7.336"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""205"", ""352""]; Cumulative=[""205"", ""557""]; Skip.to.Item=[""NA"", ""NA""]"
"L10_2_B","LB2IN","LB2IN","Insulin (uU/mL)","Insulin (uU/mL)","Both males and females 16 YEARS - 69 YEARS",NA,"Code.or.Value=[""3.08 to 154.3"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""205"", ""352""]; Cumulative=[""205"", ""557""]; Skip.to.Item=[""NA"", ""NA""]"
"L10_2_B","LB2INSI","LB2INSI","Insulin: SI(pmol/L)","Insulin: SI(pmol/L)","Both males and females 16 YEARS - 69 YEARS",NA,"Code.or.Value=[""18.48 to 925.8"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""205"", ""352""]; Cumulative=[""205"", ""557""]; Skip.to.Item=[""NA"", ""NA""]"
