"Tabela","Variavel","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Tabela_Valores"
"HDL_L","SEQN","SEQN","Respondent Sequence Number","Respondent Sequence Number","Both males and females 6 YEARS - 150 YEARS",NA,NA
"HDL_L","WTPH2YR","WTPH2YR","Phlebotomy 2 Year Weight","Phlebotomy 2 Year Weight","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""4391.8220579 to 241728.85724"", ""0"", "".""]; Value.Description=[""Range of Values"", ""No blood sample provided"", ""Missing""]; Count=[""7316"", ""752"", ""0""]; Cumulative=[""7316"", ""8068"", ""8068""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"HDL_L","LBDHDD","LBDHDD","Direct HDL-Cholesterol (mg/dL)","Direct HDL-Cholesterol (mg/dL)","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""22 to 159"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""6890"", ""1178""]; Cumulative=[""6890"", ""8068""]; Skip.to.Item=[""NA"", ""NA""]"
"HDL_L","LBDHDDSI","LBDHDDSI","Direct HDL-Cholesterol (mmol/L)","Direct HDL-Cholesterol (mmol/L)","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.57 to 4.11"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""6890"", ""1178""]; Cumulative=[""6890"", ""8068""]; Skip.to.Item=[""NA"", ""NA""]"
