"Tabela","Variavel","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Tabela_Valores"
"OGTT_I","SEQN","SEQN","Respondent sequence number","Respondent sequence number.","Both males and females 12 YEARS - 150 YEARS",NA,NA
"OGTT_I","WTSOG2YR","WTSOG2YR","OGTT Subsample MEC Weight","OGTT Subsample 2 Year MEC Weight","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""14446.051556 to 565055.45969"", ""0"", "".""]; Value.Description=[""Range of Values"", ""No Lab Result"", ""Missing""]; Count=[""2414"", ""299"", ""0""]; Cumulative=[""2414"", ""2713"", ""2713""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OGTT_I","LBXGLT","LBXGLT","Two Hour Glucose (OGTT) (mg/dL)","Two Hour Glucose (OGTT) (mg/dL)","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""35 to 542"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""2084"", ""629""]; Cumulative=[""2084"", ""2713""]; Skip.to.Item=[""NA"", ""NA""]"
"OGTT_I","LBDGLTSI","LBDGLTSI","Two Hour Glucose (OGTT) (mmol/L)","Two Hour Glucose (OGTT) (mmol/L)","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""1.943 to 30.086"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""2084"", ""629""]; Cumulative=[""2084"", ""2713""]; Skip.to.Item=[""NA"", ""NA""]"
"OGTT_I","GTDSCMMN","GTDSCMMN","Glucose challenge Administer Time in min","Glucose challenge Administer Time in minutes","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 11"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""2107"", ""606""]; Cumulative=[""2107"", ""2713""]; Skip.to.Item=[""NA"", ""NA""]"
"OGTT_I","GTDDR1MN","GTDDR1MN","Time from fast glucose & challenge(min)","Time from fast glucose & challenge(min)","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""1 to 76"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""2107"", ""606""]; Cumulative=[""2107"", ""2713""]; Skip.to.Item=[""NA"", ""NA""]"
"OGTT_I","GTDBL2MN","GTDBL2MN","Time from fasting glucose & OGTT (min)","Time from fasting glucose & OGTT (min)","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""69 to 184"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""2086"", ""627""]; Cumulative=[""2086"", ""2713""]; Skip.to.Item=[""NA"", ""NA""]"
"OGTT_I","GTDDR2MN","GTDDR2MN","Time from glucose challenge & OGTT(min)","Time from glucose challenge & OGTT(min)","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""65 to 138"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""2086"", ""627""]; Cumulative=[""2086"", ""2713""]; Skip.to.Item=[""NA"", ""NA""]"
"OGTT_I","GTXDRANK","GTXDRANK","Amount of glucose challenge drank","Amount of glucose challenge drank","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", "".""]; Value.Description=[""All"", ""Some"", ""None"", ""Missing""]; Count=[""2099"", ""3"", ""81"", ""530""]; Cumulative=[""2099"", ""2102"", ""2183"", ""2713""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
"OGTT_I","GTDCODE","GTDCODE","Incomplete OGTT Comment Code","Incomplete OGTT Comment Code","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""20"", ""21"", ""22"", ""23"", ""24"", ""25"", ""26"", ""27"", ""28"", ""29"", ""30"", "".""]; Value.Description=[""OGTT complete"", ""Hemophiliac"", ""Cancer chemotherapy within 4 weeks"", ""Diabetic on medications"", ""Refused venipuncture"", ""Ill/faint during test"", ""Venipuncture unsuccessful"", ""Currently pregnant"", ""Refused glucose challenge"", ""Fasting less than 9 hours"", ""Came late/left early"", ""Other"", ""Missing""]; Count=[""2084"", ""0"", ""0"", ""322"", ""0"", ""4"", ""12"", ""1"", ""85"", ""7"", ""18"", ""180"", ""0""]; Cumulative=[""2084"", ""2084"", ""2084"", ""2406"", ""2406"", ""2410"", ""2422"", ""2423"", ""2508"", ""2515"", ""2533"", ""2713"", ""2713""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
