"Table_name","Variable","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Codebook_table"
"SSOL_A","SSK_FLC","SSK_FLC","Kappa FLC","Kappa FLC","Both males and females 1 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.65 to 10.3"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""147"", ""1570""]; Cumulative=[""147"", ""1717""]; Skip.to.Item=[""NA"", ""NA""]"
"SSOL_A","SSL_FLC","SSL_FLC","Lambda FLC","Lambda FLC","Both males and females 1 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.586 to 26.2"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""147"", ""1570""]; Cumulative=[""147"", ""1717""]; Skip.to.Item=[""NA"", ""NA""]"
"SSOL_A","SSKL_R","SSKL_R","K/L Ratio","K/L Ratio","Both males and females 1 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.0525 to 5.92"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""147"", ""1570""]; Cumulative=[""147"", ""1717""]; Skip.to.Item=[""NA"", ""NA""]"
"SSOL_A","SSK_FLCX","SSK_FLCX","Denotes imprecise kappa (n=2)","Denotes imprecise kappa (n=2)","Both males and females 1 YEARS - 150 YEARS",NA,"Code.or.Value=[""< blank >""]; Value.Description=[""Missing""]; Count=[""1717""]; Cumulative=[""1717""]; Skip.to.Item=[""NA""]"
"SSOL_A","SSKL_RX","SSKL_RX","Denotes imprecise k/l (n=2)","Denotes imprecise k/l (n=2)","Both males and females 1 YEARS - 150 YEARS",NA,"Code.or.Value=[""< blank >""]; Value.Description=[""Missing""]; Count=[""1717""]; Cumulative=[""1717""]; Skip.to.Item=[""NA""]"
"SSOL_A","SSIS","SSIS","Flag:Insufficient sample","Flag:Insufficient sample","Both males and females 1 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""< blank >""]; Value.Description=[""1"", ""Missing""]; Count=[""26"", ""1691""]; Cumulative=[""26"", ""1717""]; Skip.to.Item=[""NA"", ""NA""]"
"SSOL_A","SSTTGV","SSTTGV","TTG IGA value","TTG IGA value","Both males and females 1 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.43 to 77.08"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""1699"", ""18""]; Cumulative=[""1699"", ""1717""]; Skip.to.Item=[""NA"", ""NA""]"
"SSOL_A","SSTTGR","SSTTGR","TTG IGA result","TTG IGA result","Both males and females 1 YEARS - 150 YEARS",NA,"Code.or.Value=[""NEG"", ""POS"", ""WKPOS"", ""< blank >""]; Value.Description=[""NEG"", ""POS"", ""WKPOS"", ""Missing""]; Count=[""1690"", ""2"", ""7"", ""18""]; Cumulative=[""1690"", ""1692"", ""1699"", ""1717""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
"SSOL_A","SSEMA","SSEMA","EMA result","EMA result","Both males and females 1 YEARS - 150 YEARS",NA,"Code.or.Value=[""NA"", ""NEG"", ""POS"", ""QNS"", ""< blank >""]; Value.Description=[""NA"", ""NEG"", ""POS"", ""QNS"", ""Missing""]; Count=[""1690"", ""6"", ""2"", ""1"", ""18""]; Cumulative=[""1690"", ""1696"", ""1698"", ""1699"", ""1717""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"SSOL_A","SSSERO","SSSERO","Serology result (associated with CD)","Serology result (associated with CD)","Both males and females 1 YEARS - 150 YEARS",NA,"Code.or.Value=[""IND"", ""NEG"", ""POS"", ""< blank >""]; Value.Description=[""IND"", ""NEG"", ""POS"", ""Missing""]; Count=[""7"", ""1690"", ""2"", ""18""]; Cumulative=[""7"", ""1697"", ""1699"", ""1717""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
"SSOL_A","SSOL_H","SSOL_H","Heavy chain MGUS","Heavy chain MGUS","Both males and females 1 YEARS - 150 YEARS",NA,"Code.or.Value=[""A"", ""BI"", ""G"", ""M"", ""< blank >""]; Value.Description=[""IgA"", ""Biclonal"", ""IgG"", ""IgM"", ""Missing""]; Count=[""2"", ""5"", ""26"", ""4"", ""1680""]; Cumulative=[""2"", ""7"", ""33"", ""37"", ""1717""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"SSOL_A","SSOL_L","SSOL_L","Light chain MGUS","Light chain MGUS","Both males and females 1 YEARS - 150 YEARS",NA,"Code.or.Value=[""BI"", ""K"", ""L"", ""< blank >""]; Value.Description=[""Biclonal"", ""Kappa"", ""Lambda"", ""Missing""]; Count=[""5"", ""21"", ""11"", ""1680""]; Cumulative=[""5"", ""26"", ""37"", ""1717""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
