"Table_name","Variable","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Codebook_table"
"CUSEZN_G","SEQN","SEQN","Respondent sequence number","Respondent sequence number","Both males and females 6 YEARS - 150 YEARS",NA,NA
"CUSEZN_G","WTSA2YR","WTSA2YR","Subsample A weights","Subsample A weights","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""12199.652219 to 643202.3505"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""2551"", ""43""]; Cumulative=[""2551"", ""2594""]; Skip.to.Item=[""NA"", ""NA""]"
"CUSEZN_G","URXUCR","URXUCR","Urinary creatinine (mg/dL)","Urinary creatinine (mg/dL)","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""4 to 800"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""2525"", ""69""]; Cumulative=[""2525"", ""2594""]; Skip.to.Item=[""NA"", ""NA""]"
"CUSEZN_G","LBXSCU","LBXSCU","Serum Copper (ug/dL)","Serum Copper (ug/dL)","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""32.1 to 293.3"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""2329"", ""265""]; Cumulative=[""2329"", ""2594""]; Skip.to.Item=[""NA"", ""NA""]"
"CUSEZN_G","LBDSCUSI","LBDSCUSI","Serum Copper (umol/L)","Serum Copper (umol/L)","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""5.04 to 46.05"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""2329"", ""265""]; Cumulative=[""2329"", ""2594""]; Skip.to.Item=[""NA"", ""NA""]"
"CUSEZN_G","LBXSSE","LBXSSE","Serum Selenium (ug/L)","Serum Selenium (ug/L)","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""70.6 to 299.1"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""2329"", ""265""]; Cumulative=[""2329"", ""2594""]; Skip.to.Item=[""NA"", ""NA""]"
"CUSEZN_G","LBDSSESI","LBDSSESI","Serum Selenium (umol/L)","Serum Selenium (umol/L)","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.9 to 3.8"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""2329"", ""265""]; Cumulative=[""2329"", ""2594""]; Skip.to.Item=[""NA"", ""NA""]"
"CUSEZN_G","LBXSZN","LBXSZN","Serum Zinc (ug/dL)","Serum Zinc (ug/dL)","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""44.3 to 232.5"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""2329"", ""265""]; Cumulative=[""2329"", ""2594""]; Skip.to.Item=[""NA"", ""NA""]"
"CUSEZN_G","LBDSZNSI","LBDSZNSI","Serum Zinc (umol/L)","Serum Zinc (umol/L)","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""6.78 to 35.57"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""2329"", ""265""]; Cumulative=[""2329"", ""2594""]; Skip.to.Item=[""NA"", ""NA""]"
