"Table_name","Variable","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Codebook_table"
"PHTHTE_I","SEQN","SEQN","Respondent sequence number","Respondent sequence number.","Both males and females 3 YEARS - 150 YEARS",NA,NA
"PHTHTE_I","WTSB2YR","WTSB2YR","Environmental B 2-year weights","Environmental B 2-year weights","Both males and females 3 YEARS - 150 YEARS",NA,"Code.or.Value=[""6552.119284 to 874638.01159"", ""0"", "".""]; Value.Description=[""Range of Values"", ""Participants 6+ years with no lab specimen"", ""Missing""]; Count=[""3149"", ""56"", ""0""]; Cumulative=[""3149"", ""3205"", ""3205""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"PHTHTE_I","URXCNP","URXCNP","Mono(carboxynonyl) Phthalate (ng/mL)","Mono(carboxynonyl) Phthalate (ng/mL)","Both males and females 3 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.14 to 246.4"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""2975"", ""230""]; Cumulative=[""2975"", ""3205""]; Skip.to.Item=[""NA"", ""NA""]"
"PHTHTE_I","URDCNPLC","URDCNPLC","Mono(carboxynonyl) Phthalate cmt code","Mono(carboxynonyl) phthalate comment code","Both males and females 3 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", "".""]; Value.Description=[""At or above the detection limit"", ""Below lower detection limit"", ""Missing""]; Count=[""2915"", ""60"", ""230""]; Cumulative=[""2915"", ""2975"", ""3205""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"PHTHTE_I","URXCOP","URXCOP","Mono(carboxyoctyl) Phthalate (ng/mL)","Mono(carboxyoctyl) Phthalate (ng/mL)","Both males and females 3 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.21 to 1096.7"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""2975"", ""230""]; Cumulative=[""2975"", ""3205""]; Skip.to.Item=[""NA"", ""NA""]"
"PHTHTE_I","URDCOPLC","URDCOPLC","Mono(carboxyoctyl) phthalate cmt code","Mono(carboxyoctyl) phthalate comment code","Both males and females 3 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", "".""]; Value.Description=[""At or above the detection limit"", ""Below lower detection limit"", ""Missing""]; Count=[""2959"", ""16"", ""230""]; Cumulative=[""2959"", ""2975"", ""3205""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"PHTHTE_I","URXECP","URXECP","MECP phthalate (ng/mL)","Mono-2-ethyl-5-carboxypentyl phthalate (ng/mL)","Both males and females 3 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.28 to 621.3"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""2975"", ""230""]; Cumulative=[""2975"", ""3205""]; Skip.to.Item=[""NA"", ""NA""]"
"PHTHTE_I","URDECPLC","URDECPLC","MECP phthalate comment code","Mono-2-ethyl-5-carboxypentyl phthalate comment code","Both males and females 3 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", "".""]; Value.Description=[""At or above the detection limit"", ""Below lower detection limit"", ""Missing""]; Count=[""2969"", ""6"", ""230""]; Cumulative=[""2969"", ""2975"", ""3205""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"PHTHTE_I","URXHIBP","URXHIBP","MHIBP phthalate (ng/mL)","Mono-2-hydroxy-iso-butyl phthalate (ng/mL)","Both males and females 3 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.28 to 533"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""2975"", ""230""]; Cumulative=[""2975"", ""3205""]; Skip.to.Item=[""NA"", ""NA""]"
"PHTHTE_I","URDHIBLC","URDHIBLC","MHIBP phthalate Comment Code","Mono-2-hydroxy-iso-butyl phthalate Comment Code","Both males and females 3 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", "".""]; Value.Description=[""At or above the detection limit"", ""Below lower detection limit"", ""Missing""]; Count=[""2863"", ""112"", ""230""]; Cumulative=[""2863"", ""2975"", ""3205""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"PHTHTE_I","URXMBP","URXMBP","Mono-n-butyl phthalate (ng/mL)","Mono-n-butyl phthalate (ng/mL)","Both males and females 3 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.28 to 1792.3"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""2975"", ""230""]; Cumulative=[""2975"", ""3205""]; Skip.to.Item=[""NA"", ""NA""]"
"PHTHTE_I","URDMBPLC","URDMBPLC","Mono-n-butyl phthalate comment code","Mono-n-butyl phthalate comment code","Both males and females 3 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", "".""]; Value.Description=[""At or above the detection limit"", ""Below lower detection limit"", ""Missing""]; Count=[""2954"", ""21"", ""230""]; Cumulative=[""2954"", ""2975"", ""3205""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"PHTHTE_I","URXMC1","URXMC1","Mono-(3-carboxypropyl) phthalate (ng/mL)","Mono-(3-carboxypropyl) phthalate (ng/mL)","Both males and females 3 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.28 to 297.4"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""2975"", ""230""]; Cumulative=[""2975"", ""3205""]; Skip.to.Item=[""NA"", ""NA""]"
"PHTHTE_I","URDMC1LC","URDMC1LC","Mono-(3-carboxypropyl) phthalate cmt","Mono-(3-carboxypropyl) phthalate comment code","Both males and females 3 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", "".""]; Value.Description=[""At or above the detection limit"", ""Below lower detection limit"", ""Missing""]; Count=[""2437"", ""538"", ""230""]; Cumulative=[""2437"", ""2975"", ""3205""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"PHTHTE_I","URXMCOH","URXMCOH","MCOCH phthalate (ng/mL)","Cyclohexane-12-dicarboxylic acid-mono(carboxyoctyl) ester  phthalate (ng/mL)","Both males and females 3 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.35 to 285.4"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""2975"", ""230""]; Cumulative=[""2975"", ""3205""]; Skip.to.Item=[""NA"", ""NA""]"
"PHTHTE_I","URDMCOLC","URDMCOLC","MCOCH phthalate Comment Code","Cyclohexane-12-dicarboxylic acid-mono(carboxyoctyl) ester  phthalate Comment Code","Both males and females 3 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", "".""]; Value.Description=[""At or above detection limit"", ""Below lower detection limit"", ""Missing""]; Count=[""1783"", ""1192"", ""230""]; Cumulative=[""1783"", ""2975"", ""3205""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"PHTHTE_I","URXMEP","URXMEP","Mono-ethyl phthalate (ng/mL)","Mono-ethyl phthalate (ng/mL)","Both males and females 3 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.85 to 15021"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""2975"", ""230""]; Cumulative=[""2975"", ""3205""]; Skip.to.Item=[""NA"", ""NA""]"
"PHTHTE_I","URDMEPLC","URDMEPLC","Mono-ethyl phthalate comment code","Mono-ethyl phthalate comment code","Both males and females 3 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", "".""]; Value.Description=[""At or above the detection limit"", ""Below lower detection limit"", ""Missing""]; Count=[""2963"", ""12"", ""230""]; Cumulative=[""2963"", ""2975"", ""3205""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"PHTHTE_I","URXMHBP","URXMHBP","Mono-3-hydroxy-n-butyl phthalate (ng/mL)","Mono-3-hydroxy-n-butyl phthalate (ng/mL)","Both males and females 3 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.28 to 240.6"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""2975"", ""230""]; Cumulative=[""2975"", ""3205""]; Skip.to.Item=[""NA"", ""NA""]"
"PHTHTE_I","URDMHBLC","URDMHBLC","MHBP phthalate Comment Code","Mono-3-hydroxy-n-butyl phthalate Comment Code","Both males and females 3 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", "".""]; Value.Description=[""At or above detection limit"", ""Below lower detection limit"", ""Missing""]; Count=[""2327"", ""648"", ""230""]; Cumulative=[""2327"", ""2975"", ""3205""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"PHTHTE_I","URXMHH","URXMHH","MEHP phthalate (ng/mL)","Mono-(2-ethyl-5-hydroxyhexyl) phthalate (ng/mL)","Both males and females 3 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.28 to 559.9"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""2975"", ""230""]; Cumulative=[""2975"", ""3205""]; Skip.to.Item=[""NA"", ""NA""]"
"PHTHTE_I","URDMHHLC","URDMHHLC","MEHP phthalate comment code","Mono-(2-ethyl-5-hydroxyhexyl) phthalate comment code","Both males and females 3 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", "".""]; Value.Description=[""At or above the detection limit"", ""Below lower detection limit"", ""Missing""]; Count=[""2961"", ""14"", ""230""]; Cumulative=[""2961"", ""2975"", ""3205""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"PHTHTE_I","URXMHNC","URXMHNC","MHNCH (ng/mL)","Cyclohexane 12-dicarboxylic acid monohydroxy isononyl ester  (ng/mL)","Both males and females 3 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.28 to 1051.9"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""2975"", ""230""]; Cumulative=[""2975"", ""3205""]; Skip.to.Item=[""NA"", ""NA""]"
"PHTHTE_I","URDMCHLC","URDMCHLC","MHNCH comment code","Cyclohexane 12-dicarboxylic acid monohydroxy isononyl ester  comment code","Both males and females 3 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", "".""]; Value.Description=[""At or above the detection limit"", ""Below lower detection limit"", ""Missing""]; Count=[""1977"", ""998"", ""230""]; Cumulative=[""1977"", ""2975"", ""3205""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"PHTHTE_I","URXMHP","URXMHP","Mono-(2-ethyl)-hexyl phthalate (ng/mL)","Mono-(2-ethyl)-hexyl phthalate (ng/mL)","Both males and females 3 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.57 to 152.3"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""2975"", ""230""]; Cumulative=[""2975"", ""3205""]; Skip.to.Item=[""NA"", ""NA""]"
"PHTHTE_I","URDMHPLC","URDMHPLC","Mono-(2-ethyl)-hexyl phthalate cmt code","Mono-(2-ethyl)-hexyl phthalate comment code","Both males and females 3 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", "".""]; Value.Description=[""At or above the detection limit"", ""Below lower detection limit"", ""Missing""]; Count=[""1853"", ""1122"", ""230""]; Cumulative=[""1853"", ""2975"", ""3205""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"PHTHTE_I","URXMIB","URXMIB","Mono-isobutyl phthalate (ng/mL)","Mono-isobutyl phthalate (ng/mL)","Both males and females 3 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.57 to 1384.8"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""2975"", ""230""]; Cumulative=[""2975"", ""3205""]; Skip.to.Item=[""NA"", ""NA""]"
"PHTHTE_I","URDMIBLC","URDMIBLC","Mono-isobutyl phthalate comment code","Mono-isobutyl phthalate comment code","Both males and females 3 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", "".""]; Value.Description=[""At or above the detection limit"", ""Below lower detection limit"", ""Missing""]; Count=[""2929"", ""46"", ""230""]; Cumulative=[""2929"", ""2975"", ""3205""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"PHTHTE_I","URXMNP","URXMNP","Mono-isononyl phthalate (ng/mL)","Mono-isononyl phthalate (ng/mL)","Both males and females 3 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.64 to 875.4"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""2975"", ""230""]; Cumulative=[""2975"", ""3205""]; Skip.to.Item=[""NA"", ""NA""]"
"PHTHTE_I","URDMNPLC","URDMNPLC","Mono-isononyl phthalate comment code","Mono-isononyl phthalate comment code","Both males and females 3 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", "".""]; Value.Description=[""At or above the detection limit"", ""Below lower detection limit"", ""Missing""]; Count=[""793"", ""2182"", ""230""]; Cumulative=[""793"", ""2975"", ""3205""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"PHTHTE_I","URXMOH","URXMOH","MEOH phthalate (ng/mL)","Mono-(2-ethyl-5-oxohexyl) phthalate (ng/mL)","Both males and females 3 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.14 to 300.5"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""2975"", ""230""]; Cumulative=[""2975"", ""3205""]; Skip.to.Item=[""NA"", ""NA""]"
"PHTHTE_I","URDMOHLC","URDMOHLC","MEOH phthalate comment code","Mono-(2-ethyl-5-oxohexyl) phthalate comment code","Both males and females 3 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", "".""]; Value.Description=[""At or above the detection limit"", ""Below lower detection limit"", ""Missing""]; Count=[""2959"", ""16"", ""230""]; Cumulative=[""2959"", ""2975"", ""3205""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"PHTHTE_I","URXMZP","URXMZP","Mono-benzyl phthalate (ng/mL)","Mono-benzyl phthalate (ng/mL)","Both males and females 3 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.21 to 1525.1"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""2975"", ""230""]; Cumulative=[""2975"", ""3205""]; Skip.to.Item=[""NA"", ""NA""]"
"PHTHTE_I","URDMZPLC","URDMZPLC","Mono-benzyl phthalate comment code","Mono-benzyl phthalate comment code","Both males and females 3 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", "".""]; Value.Description=[""At or above the detection limit"", ""Below lower detection limit"", ""Missing""]; Count=[""2913"", ""62"", ""230""]; Cumulative=[""2913"", ""2975"", ""3205""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
