"Table_name","Variable","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Codebook_table"
"APOB_G","SEQN","SEQN","Respondent sequence number","Respondent sequence number","Both males and females 12 YEARS - 150 YEARS",NA,NA
"APOB_G","WTSAF2YR","WTSAF2YR","Fasting Subsample 2 Year MEC Weight","Fasting Subsample 2 Year MEC Weight","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 521033.371"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3239"", ""0""]; Cumulative=[""3239"", ""3239""]; Skip.to.Item=[""NA"", ""NA""]"
"APOB_G","LBXAPB","LBXAPB","Apolipoprotein (B) (mg/dL)","Apolipoprotein (B) (mg/dL)","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""15 to 260"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""2992"", ""247""]; Cumulative=[""2992"", ""3239""]; Skip.to.Item=[""NA"", ""NA""]"
"APOB_G","LBDAPBSI","LBDAPBSI","Apolipoprotein (B) (g/L)","Apolipoprotein (B) (g/L)","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.15 to 2.6"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""2992"", ""247""]; Cumulative=[""2992"", ""3239""]; Skip.to.Item=[""NA"", ""NA""]"
