"Table_name","Variable","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Codebook_table"
"SSUVOC_D","SEQN","SEQN","Respondent sequence number","Respondent sequence number.","Both males and females 12 YEARS - 150 YEARS",NA,NA
"SSUVOC_D","WTSVOC2Y","WTSVOC2Y","VOC Subsample 2 yr MEC weight","VOC Subsample 2 yr MEC weight","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""."", ""2605.678075 to 325216.78843""]; Value.Description=[""No Lab Result"", ""Missing"", ""Range of Values""]; Count=[""17"", ""0"", ""3300""]; Cumulative=[""3317"", ""3317"", ""3300""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"SSUVOC_D","URXUCR","URXUCR","Creatinine urine (mg/dL)","Creatinine urine (mg/dL)","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""6 to 678"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3244"", ""73""]; Cumulative=[""3244"", ""3317""]; Skip.to.Item=[""NA"", ""NA""]"
"SSUVOC_D","URX1DC","URX1DC","N-acel-S-(12-dichlorovinl)-L-cys(ng/mL)","N-acetyl-S-(12-dichlorovinyl)-L-cysteine (ng/mL)","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""8.9 to 50"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3169"", ""148""]; Cumulative=[""3169"", ""3317""]; Skip.to.Item=[""NA"", ""NA""]"
"SSUVOC_D","URD1DCLC","URD1DCLC","N-acel-S-(12-dichlorovinl)-L-cys comt","N-acetyl-S-(12-dichlorovinyl)-L-cysteine comment code","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", "".""]; Value.Description=[""At or above the detection limit"", ""Below lower detection limit"", ""Missing""]; Count=[""2"", ""3167"", ""148""]; Cumulative=[""2"", ""3169"", ""3317""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"SSUVOC_D","URX2DC","URX2DC","N-acel-S-(22-Dichlorvinyl)-L-cys(ng/mL)","N-acetyl-S-(22-Dichlorovinyl)-L-cysteine (ng/mL)","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""3.32 to 28.1"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3169"", ""148""]; Cumulative=[""3169"", ""3317""]; Skip.to.Item=[""NA"", ""NA""]"
"SSUVOC_D","URD2DCLC","URD2DCLC","N-acel-S-(22-Dichlorvinyl)-L-cys comt","N-acetyl-S-(22-Dichlorovinyl)-L-cysteine comment code","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", "".""]; Value.Description=[""At or above the detection limit"", ""Below lower detection limit"", ""Missing""]; Count=[""22"", ""3147"", ""148""]; Cumulative=[""22"", ""3169"", ""3317""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"SSUVOC_D","URX2MH","URX2MH","2-methylhippuric acid (ng/mL)","2-methylhippuric acid (ng/mL)","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""3.54 to 10300"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3169"", ""148""]; Cumulative=[""3169"", ""3317""]; Skip.to.Item=[""NA"", ""NA""]"
"SSUVOC_D","URD2MHLC","URD2MHLC","2-methylhippuric acid comment code","2-methylhippuric acid comment code","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", "".""]; Value.Description=[""At or above the detection limit"", ""Below lower detection limit"", ""Missing""]; Count=[""2999"", ""170"", ""148""]; Cumulative=[""2999"", ""3169"", ""3317""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"SSUVOC_D","URX34M","URX34M","3-methipurc acd & 4-methipurc acd(ng/mL)","3-methylhippuric acid & 4-methylhippuric acid(ng/mL)","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""5.66 to 125000"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3169"", ""148""]; Cumulative=[""3169"", ""3317""]; Skip.to.Item=[""NA"", ""NA""]"
"SSUVOC_D","URD34MLC","URD34MLC","3-methipurc acd & 4-methipurc acid comt","3-methylhippuric acid & 4-methylhippuric acid comment code","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", "".""]; Value.Description=[""At or above the detection limit"", ""Below lower detection limit"", ""Missing""]; Count=[""3152"", ""17"", ""148""]; Cumulative=[""3152"", ""3169"", ""3317""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"SSUVOC_D","URXAAM","URXAAM","N-ace-S-(2-carbamoylethyl)-L-cys(ng/mL)","N-acetyl-S-(2-carbamoylethyl)-L-cysteine(ng/mL)","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""1.56 to 2930"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3169"", ""148""]; Cumulative=[""3169"", ""3317""]; Skip.to.Item=[""NA"", ""NA""]"
