"Table_name","Variable","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Codebook_table"
"OGTT_H","SEQN","SEQN","Respondent sequence number","Respondent sequence number.","Both males and females 12 YEARS - 150 YEARS",NA,NA
"OGTT_H","WTSOG2YR","WTSOG2YR","OGTT Subsample 2 Year MEC Weight","OGTT Subsample 2 Year MEC Weight","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""15353.54074 to 415382.80096"", ""0"", "".""]; Value.Description=[""Range of Values"", ""No Lab Result"", ""Missing""]; Count=[""2600"", ""309"", ""0""]; Cumulative=[""2600"", ""2909"", ""2909""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OGTT_H","LBXGLT","LBXGLT","Two Hour Glucose(OGTT) (mg/dL)","Two Hour Glucose(OGTT) (mg/dL)","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""40 to 604"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""2345"", ""564""]; Cumulative=[""2345"", ""2909""]; Skip.to.Item=[""NA"", ""NA""]"
"OGTT_H","LBDGLTSI","LBDGLTSI","Two Hour Glucose(OGTT) (mmol/L)","Two Hour Glucose(OGTT) (mmol/L)","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""2.22 to 33.528"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""2345"", ""564""]; Cumulative=[""2345"", ""2909""]; Skip.to.Item=[""NA"", ""NA""]"
"OGTT_H","GTDSCMMN","GTDSCMMN","Glucose challenge Administer Time in min","Glucose challenge Administer Time in minutes","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 53"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""2409"", ""500""]; Cumulative=[""2409"", ""2909""]; Skip.to.Item=[""NA"", ""NA""]"
"OGTT_H","GTDDR1MN","GTDDR1MN","Time from fast glucose & challenge(min)","Time from fast glucose & challenge(min)","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""1 to 74"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""2409"", ""500""]; Cumulative=[""2409"", ""2909""]; Skip.to.Item=[""NA"", ""NA""]"
"OGTT_H","GTDBL2MN","GTDBL2MN","Time from fasting glucose & OGTT (min)","Time from fasting glucose & OGTT (min)","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""42 to 183"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""2346"", ""563""]; Cumulative=[""2346"", ""2909""]; Skip.to.Item=[""NA"", ""NA""]"
"OGTT_H","GTDDR2MN","GTDDR2MN","Time from glucose challenge & OGTT(min)","Time from glucose challenge & OGTT(min)","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""65 to 135"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""2346"", ""563""]; Cumulative=[""2346"", ""2909""]; Skip.to.Item=[""NA"", ""NA""]"
"OGTT_H","GTXDRANK","GTXDRANK","Amount of glucose challenge drank","Amount of glucose challenge drank","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", "".""]; Value.Description=[""All"", ""Some"", ""None"", ""Missing""]; Count=[""2381"", ""9"", ""124"", ""395""]; Cumulative=[""2381"", ""2390"", ""2514"", ""2909""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
"OGTT_H","PHAFSTHR","PHAFSTHR","Total length of food fast hours","Total length of food fast hours","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""8 to 23"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""2909"", ""0""]; Cumulative=[""2909"", ""2909""]; Skip.to.Item=[""NA"", ""NA""]"
"OGTT_H","PHAFSTMN","PHAFSTMN","Total length of food fast minutes","Total length of food fast minutes","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 59"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""2909"", ""0""]; Cumulative=[""2909"", ""2909""]; Skip.to.Item=[""NA"", ""NA""]"
"OGTT_H","GTDCODE","GTDCODE","Incomplete OGTT Comment Code","Incomplete OGTT Comment Code","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""20"", ""21"", ""22"", ""23"", ""24"", ""25"", ""26"", ""27"", ""28"", ""29"", ""30"", "".""]; Value.Description=[""OGTT complete"", ""Hemophiliac"", ""Cancer chemotherapy within 4 weeks"", ""Diabetic on medications"", ""Refused venipuncture"", ""Ill/faint during test"", ""Venipuncture unsuccessful"", ""Currently pregnant"", ""Refused glucose challenge"", ""Fasting less than 9 hours"", ""Came late/left early"", ""Other"", ""Missing""]; Count=[""2345"", ""0"", ""0"", ""266"", ""0"", ""5"", ""11"", ""1"", ""59"", ""7"", ""38"", ""177"", ""0""]; Cumulative=[""2345"", ""2345"", ""2345"", ""2611"", ""2611"", ""2616"", ""2627"", ""2628"", ""2687"", ""2694"", ""2732"", ""2909"", ""2909""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
