"Table_name","Variable","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Codebook_table"
"GLU_D","SEQN","SEQN","Respondent sequence number","Respondent sequence number.","Both males and females 12 YEARS - 150 YEARS",NA,NA
"GLU_D","WTSAF2YR","WTSAF2YR","Fasting Subsample 2 Year MEC Weight","Fasting Subsample 2 Year MEC Weight","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 327394.027"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3352"", ""0""]; Cumulative=[""3352"", ""3352""]; Skip.to.Item=[""NA"", ""NA""]"
"GLU_D","LBXGLU","LBXGLU","Fasting Glucose (mg/dL)","Fasting Glucose (mg/dL)","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""45 to 418"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3128"", ""224""]; Cumulative=[""3128"", ""3352""]; Skip.to.Item=[""NA"", ""NA""]"
"GLU_D","LBDGLUSI","LBDGLUSI","Fasting Glucose (mmol/L)","Fasting Glucose (mmol/L)","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""2.498 to 23.203"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3128"", ""224""]; Cumulative=[""3128"", ""3352""]; Skip.to.Item=[""NA"", ""NA""]"
"GLU_D","LBXIN","LBXIN","Insulin (uU/mL )","Insulin (uU/mL )","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""1 to 293.58"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3080"", ""272""]; Cumulative=[""3080"", ""3352""]; Skip.to.Item=[""NA"", ""NA""]"
"GLU_D","LBDINSI","LBDINSI","Insulin (pmol/L)","Insulin (pmol/L)","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""6 to 1761.48"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3080"", ""272""]; Cumulative=[""3080"", ""3352""]; Skip.to.Item=[""NA"", ""NA""]"
"GLU_D","PHAFSTHR","PHAFSTHR","Total length of food fast hours","Total length of food fast hours","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 64"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3251"", ""101""]; Cumulative=[""3251"", ""3352""]; Skip.to.Item=[""NA"", ""NA""]"
"GLU_D","PHAFSTMN","PHAFSTMN","Total length of food fast minutes","Total length of food fast minutes","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 59"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3251"", ""101""]; Cumulative=[""3251"", ""3352""]; Skip.to.Item=[""NA"", ""NA""]"
