"Tabela","Variavel","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Tabela_Valores"
"TRIGLY_I","SEQN","SEQN","Respondent sequence number","Respondent sequence number","Both males and females 12 YEARS - 150 YEARS",NA,NA
"TRIGLY_I","WTSAF2YR","WTSAF2YR","Fasting Subsample 2 Year MEC Weight","Fasting Subsample 2 Year MEC Weight","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""13612.331812 to 521632.18583"", ""0"", "".""]; Value.Description=[""Range of Values"", ""No Lab Result"", ""Missing""]; Count=[""2743"", ""448"", ""0""]; Cumulative=[""2743"", ""3191"", ""3191""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"TRIGLY_I","LBXTR","LBXTR","Triglyceride (mg/dL)","Triglyceride (mg/dL)","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""14 to 2141"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""2723"", ""468""]; Cumulative=[""2723"", ""3191""]; Skip.to.Item=[""NA"", ""NA""]"
"TRIGLY_I","LBDTRSI","LBDTRSI","Triglyceride (mmol/L)","Triglyceride (mmol/L)","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.158 to 24.172"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""2723"", ""468""]; Cumulative=[""2723"", ""3191""]; Skip.to.Item=[""NA"", ""NA""]"
"TRIGLY_I","LBDLDL","LBDLDL","LDL-cholesterol (mg/dL)","LDL-cholesterol (mg/dL)","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""23 to 277"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""2699"", ""492""]; Cumulative=[""2699"", ""3191""]; Skip.to.Item=[""NA"", ""NA""]"
"TRIGLY_I","LBDLDLSI","LBDLDLSI","LDL-cholesterol (mmol/L)","LDL-cholesterol (mmol/L)","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.595 to 7.163"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""2699"", ""492""]; Cumulative=[""2699"", ""3191""]; Skip.to.Item=[""NA"", ""NA""]"
