"Table_name","Variable","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Codebook_table"
"CBC_L","SEQN","SEQN","Respondent sequence number","Respondent sequence number.","Both males and females 1 YEARS - 150 YEARS",NA,NA
"CBC_L","LBDBANO","LBDBANO","Basophils number (1000 cells/uL)","Basophils number (1000 cells/uL)","Both males and females 1 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 0.3"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""7582"", ""1145""]; Cumulative=[""7582"", ""8727""]; Skip.to.Item=[""NA"", ""NA""]"
"CBC_L","LBXRBCSI","LBXRBCSI","Red blood cell count (million cells/uL)","Red blood cell count (million cells/uL)","Both males and females 1 YEARS - 150 YEARS",NA,"Code.or.Value=[""2.44 to 7.08"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""7593"", ""1134""]; Cumulative=[""7593"", ""8727""]; Skip.to.Item=[""NA"", ""NA""]"
"CBC_L","LBXHGB","LBXHGB","Hemoglobin (g/dL)","Hemoglobin (g/dL)","Both males and females 1 YEARS - 150 YEARS",NA,"Code.or.Value=[""6.3 to 18.6"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""7593"", ""1134""]; Cumulative=[""7593"", ""8727""]; Skip.to.Item=[""NA"", ""NA""]"
"CBC_L","LBXHCT","LBXHCT","Hematocrit (%)","Hematocrit (%)","Both males and females 1 YEARS - 150 YEARS",NA,"Code.or.Value=[""19.9 to 54.9"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""7593"", ""1134""]; Cumulative=[""7593"", ""8727""]; Skip.to.Item=[""NA"", ""NA""]"
"CBC_L","LBXMCVSI","LBXMCVSI","Mean cell volume (fL)","Mean cell volume (fL)","Both males and females 1 YEARS - 150 YEARS",NA,"Code.or.Value=[""52.5 to 116.7"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""7593"", ""1134""]; Cumulative=[""7593"", ""8727""]; Skip.to.Item=[""NA"", ""NA""]"
"CBC_L","LBXMC","LBXMC","Mean Cell Hgb Conc. (g/dL)","Mean cell hemoglobin concentration (g/dL)","Both males and females 1 YEARS - 150 YEARS",NA,"Code.or.Value=[""27.8 to 40.5"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""7593"", ""1134""]; Cumulative=[""7593"", ""8727""]; Skip.to.Item=[""NA"", ""NA""]"
"CBC_L","LBXMCHSI","LBXMCHSI","Mean cell hemoglobin (pg)","Mean cell hemoglobin (pg)","Both males and females 1 YEARS - 150 YEARS",NA,"Code.or.Value=[""15.6 to 41.1"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""7593"", ""1134""]; Cumulative=[""7593"", ""8727""]; Skip.to.Item=[""NA"", ""NA""]"
"CBC_L","LBXRDW","LBXRDW","Red cell distribution width (%)","Red cell distribution width (%)","Both males and females 1 YEARS - 150 YEARS",NA,"Code.or.Value=[""11.2 to 37.5"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""7593"", ""1134""]; Cumulative=[""7593"", ""8727""]; Skip.to.Item=[""NA"", ""NA""]"
"CBC_L","LBXPLTSI","LBXPLTSI","Platelet count (1000 cells/uL)","Platelet count (1000 cells/uL)","Both males and females 1 YEARS - 150 YEARS",NA,"Code.or.Value=[""46 to 787"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""7593"", ""1134""]; Cumulative=[""7593"", ""8727""]; Skip.to.Item=[""NA"", ""NA""]"
"CBC_L","LBXMPSI","LBXMPSI","Mean platelet volume (fL)","Mean platelet volume (fL)","Both males and females 1 YEARS - 150 YEARS",NA,"Code.or.Value=[""5.5 to 12.9"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""7593"", ""1134""]; Cumulative=[""7593"", ""8727""]; Skip.to.Item=[""NA"", ""NA""]"
"CBC_L","LBXNRBC","LBXNRBC","Nucleated red blood cells","Nucleated red blood cells","Both males and females 1 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 4"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""7582"", ""1145""]; Cumulative=[""7582"", ""8727""]; Skip.to.Item=[""NA"", ""NA""]"
