"Tabela","Variavel","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Tabela_Valores"
"TST_G","SEQN","SEQN","Respondent sequence number","Respondent sequence number","Both males and females 6 YEARS - 150 YEARS",NA,NA
"TST_G","LBXTST","LBXTST","Testosterone total (ng/dL)","Testosterone total (ng/dL)","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.25 to 2543.99"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""6826"", ""995""]; Cumulative=[""6826"", ""7821""]; Skip.to.Item=[""NA"", ""NA""]"
