"Tabela","Variavel","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Tabela_Valores"
"SSTOXO_G","SEQN","SEQN","Respondent sequence number","Respondent sequence number.","Both males and females 6 YEARS - 150 YEARS",NA,NA
"SSTOXO_G","WTSSTT2Y","WTSSTT2Y","SSTOCA and SSTOXO 2 year weights","Surplus specimen SSTOCA and SSTOXO 2 year weights","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""5700.578442 to 247519.73303"", ""0"", "".""]; Value.Description=[""Range of Values"", ""No lab specimen"", ""Missing""]; Count=[""6099"", ""0"", ""0""]; Cumulative=[""6099"", ""6099"", ""6099""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"SSTOXO_G","SSTOXG","SSTOXG","Toxoplasmosis IgG antibodies (IU/ml)","Toxoplasmosis IgG antibodies (IU/ml)","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 234"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""6097"", ""2""]; Cumulative=[""6097"", ""6099""]; Skip.to.Item=[""NA"", ""NA""]"
"SSTOXO_G","SSTOXM","SSTOXM","Toxoplasmosis IgM antibodies","Toxoplasmosis IgM antibodies","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 8.1"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""5975"", ""124""]; Cumulative=[""5975"", ""6099""]; Skip.to.Item=[""NA"", ""NA""]"
"SSTOXO_G","SSTOXAV","SSTOXAV","Toxoplasmosis IgG Avidity (IU/ml)","Toxoplasmosis IgG Avidity (IU/ml)","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""5 to 68.6"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""38"", ""6061""]; Cumulative=[""38"", ""6099""]; Skip.to.Item=[""NA"", ""NA""]"
